timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698928442.008,23.0,-71.0,-1009.0,26.0,31.0,21.0,413.0,59.0,829.0,197.0,69.0,1841.0,1526.0,1898.0
1698928442.06,23.0,-71.0,-1010.0,26.0,29.0,22.0,413.0,58.0,828.0,201.0,81.0,1843.0,1522.0,1900.0
1698928442.062,23.0,-71.0,-1009.0,26.0,32.0,21.0,411.0,58.0,826.0,202.0,74.0,1841.0,1528.0,1901.0
1698928442.089,23.0,-71.0,-1010.0,26.0,32.0,21.0,411.0,58.0,826.0,204.0,63.0,1842.0,1524.0,1902.0
1698928442.104,23.0,-70.0,-1009.0,27.0,34.0,22.0,411.0,58.0,825.0,202.0,62.0,1843.0,1521.0,1905.0
1698928442.105,23.0,-69.0,-1009.0,27.0,34.0,20.0,411.0,59.0,825.0,201.0,66.0,1842.0,1529.0,1905.0
1698928442.127,23.0,-70.0,-1008.0,25.0,33.0,19.0,411.0,59.0,826.0,198.0,71.0,1841.0,1527.0,1903.0
1698928442.172,24.0,-70.0,-1009.0,26.0,33.0,20.0,412.0,60.0,826.0,198.0,69.0,1846.0,1526.0,1905.0
1698928442.174,23.0,-70.0,-1009.0,25.0,36.0,21.0,412.0,59.0,826.0,198.0,76.0,1847.0,1526.0,1904.0
1698928442.187,23.0,-71.0,-1010.0,24.0,34.0,20.0,412.0,58.0,825.0,200.0,72.0,1848.0,1526.0,1906.0
1698928442.203,23.0,-71.0,-1009.0,23.0,34.0,23.0,412.0,58.0,827.0,200.0,67.0,1847.0,1524.0,1906.0
1698928442.232,23.0,-71.0,-1009.0,24.0,30.0,22.0,412.0,58.0,828.0,199.0,76.0,1847.0,1524.0,1906.0
1698928442.292,23.0,-71.0,-1009.0,23.0,29.0,21.0,412.0,58.0,829.0,195.0,73.0,1846.0,1523.0,1905.0
1698928442.307,23.0,-71.0,-1010.0,23.0,34.0,19.0,412.0,57.0,830.0,199.0,73.0,1847.0,1525.0,1908.0
1698928442.308,23.0,-70.0,-1009.0,25.0,33.0,20.0,412.0,58.0,830.0,197.0,71.0,1847.0,1525.0,1907.0
1698928442.322,23.0,-70.0,-1010.0,25.0,33.0,19.0,412.0,57.0,831.0,194.0,75.0,1848.0,1525.0,1908.0
1698928442.323,23.0,-70.0,-1010.0,23.0,34.0,20.0,412.0,58.0,830.0,195.0,68.0,1850.0,1527.0,1911.0
1698928442.367,22.0,-71.0,-1010.0,26.0,32.0,21.0,412.0,59.0,831.0,199.0,68.0,1847.0,1524.0,1909.0
1698928442.368,22.0,-71.0,-1011.0,25.0,30.0,20.0,412.0,59.0,831.0,194.0,74.0,1847.0,1525.0,1905.0
1698928442.389,23.0,-71.0,-1011.0,27.0,32.0,19.0,412.0,60.0,832.0,195.0,71.0,1850.0,1525.0,1907.0
1698928442.406,23.0,-71.0,-1011.0,25.0,33.0,22.0,413.0,60.0,830.0,195.0,71.0,1851.0,1529.0,1908.0
1698928442.435,23.0,-71.0,-1012.0,24.0,32.0,21.0,412.0,59.0,830.0,195.0,71.0,1850.0,1526.0,1905.0
1698928442.443,24.0,-71.0,-1011.0,26.0,34.0,22.0,413.0,59.0,831.0,192.0,72.0,1850.0,1528.0,1903.0
1698928442.472,23.0,-71.0,-1010.0,28.0,32.0,22.0,414.0,59.0,830.0,195.0,67.0,1849.0,1529.0,1905.0
1698928442.488,23.0,-71.0,-1010.0,30.0,30.0,20.0,413.0,58.0,831.0,201.0,62.0,1849.0,1527.0,1907.0
1698928442.509,24.0,-71.0,-1010.0,28.0,33.0,18.0,414.0,57.0,831.0,202.0,61.0,1850.0,1529.0,1909.0
1698928442.548,24.0,-70.0,-1010.0,28.0,32.0,19.0,414.0,57.0,830.0,200.0,63.0,1849.0,1529.0,1907.0
1698928442.549,23.0,-70.0,-1010.0,27.0,31.0,19.0,413.0,58.0,830.0,203.0,63.0,1850.0,1534.0,1908.0
1698928442.562,23.0,-70.0,-1010.0,27.0,35.0,22.0,412.0,59.0,829.0,196.0,65.0,1848.0,1532.0,1906.0
1698928442.592,23.0,-70.0,-1010.0,28.0,35.0,23.0,412.0,59.0,829.0,212.0,63.0,1850.0,1532.0,1905.0
1698928442.622,24.0,-70.0,-1010.0,26.0,34.0,23.0,411.0,58.0,830.0,213.0,67.0,1852.0,1530.0,1904.0
1698928442.63,24.0,-70.0,-1009.0,26.0,33.0,21.0,411.0,59.0,830.0,210.0,67.0,1850.0,1529.0,1902.0
1698928442.645,24.0,-70.0,-1010.0,28.0,34.0,22.0,411.0,59.0,830.0,205.0,63.0,1851.0,1529.0,1902.0
1698928442.682,25.0,-71.0,-1008.0,25.0,33.0,24.0,411.0,59.0,829.0,203.0,66.0,1851.0,1530.0,1906.0
1698928442.705,24.0,-71.0,-1009.0,25.0,32.0,23.0,411.0,59.0,830.0,204.0,65.0,1852.0,1523.0,1903.0
1698928442.706,24.0,-71.0,-1010.0,29.0,30.0,18.0,410.0,59.0,829.0,210.0,69.0,1850.0,1522.0,1904.0
1698928442.727,23.0,-72.0,-1010.0,28.0,31.0,22.0,411.0,59.0,830.0,209.0,72.0,1848.0,1528.0,1902.0
1698928442.749,23.0,-71.0,-1009.0,27.0,34.0,22.0,411.0,58.0,830.0,210.0,74.0,1849.0,1523.0,1904.0
1698928442.787,24.0,-71.0,-1010.0,24.0,33.0,19.0,411.0,58.0,830.0,210.0,76.0,1851.0,1530.0,1904.0
1698928442.788,24.0,-70.0,-1011.0,25.0,31.0,20.0,410.0,58.0,829.0,209.0,75.0,1850.0,1531.0,1905.0
1698928442.818,22.0,-70.0,-1012.0,26.0,31.0,22.0,409.0,58.0,829.0,209.0,73.0,1849.0,1532.0,1903.0
1698928442.832,22.0,-70.0,-1011.0,26.0,32.0,23.0,409.0,57.0,830.0,207.0,75.0,1844.0,1526.0,1903.0
1698928442.893,23.0,-71.0,-1010.0,27.0,32.0,21.0,409.0,58.0,828.0,202.0,76.0,1844.0,1528.0,1902.0
1698928442.894,23.0,-71.0,-1009.0,27.0,33.0,20.0,409.0,58.0,828.0,207.0,71.0,1843.0,1527.0,1905.0
1698928442.922,24.0,-71.0,-1010.0,26.0,31.0,20.0,409.0,58.0,828.0,208.0,71.0,1843.0,1526.0,1908.0
1698928442.929,24.0,-71.0,-1010.0,26.0,29.0,19.0,409.0,58.0,828.0,208.0,75.0,1843.0,1525.0,1909.0
1698928442.944,24.0,-71.0,-1010.0,26.0,32.0,17.0,410.0,57.0,828.0,206.0,72.0,1845.0,1525.0,1907.0
1698928442.952,24.0,-71.0,-1010.0,26.0,33.0,21.0,410.0,57.0,829.0,214.0,71.0,1843.0,1518.0,1908.0
1698928443.005,24.0,-71.0,-1010.0,24.0,32.0,19.0,411.0,57.0,830.0,214.0,71.0,1837.0,1520.0,1901.0
1698928443.009,24.0,-71.0,-1011.0,24.0,32.0,17.0,411.0,57.0,831.0,208.0,71.0,1837.0,1519.0,1906.0
1698928443.034,24.0,-71.0,-1011.0,25.0,31.0,21.0,411.0,57.0,830.0,214.0,71.0,1837.0,1521.0,1900.0
1698928443.035,24.0,-71.0,-1011.0,26.0,31.0,20.0,411.0,56.0,830.0,210.0,70.0,1840.0,1522.0,1905.0
1698928443.064,23.0,-71.0,-1012.0,26.0,30.0,21.0,411.0,56.0,830.0,207.0,69.0,1837.0,1520.0,1905.0
1698928443.066,24.0,-71.0,-1011.0,27.0,32.0,21.0,412.0,56.0,830.0,207.0,76.0,1837.0,1522.0,1904.0
1698928443.087,23.0,-71.0,-1011.0,24.0,33.0,23.0,411.0,56.0,830.0,202.0,78.0,1840.0,1519.0,1905.0
1698928443.139,23.0,-71.0,-1011.0,23.0,36.0,24.0,411.0,57.0,830.0,204.0,79.0,1838.0,1523.0,1907.0
1698928443.14,23.0,-71.0,-1011.0,24.0,34.0,25.0,412.0,57.0,830.0,207.0,73.0,1840.0,1520.0,1908.0
1698928443.162,23.0,-72.0,-1010.0,25.0,32.0,21.0,412.0,56.0,831.0,206.0,71.0,1838.0,1520.0,1906.0
1698928443.17,23.0,-72.0,-1010.0,26.0,30.0,20.0,411.0,56.0,830.0,205.0,69.0,1839.0,1523.0,1908.0
1698928443.2,23.0,-71.0,-1010.0,27.0,31.0,19.0,412.0,56.0,830.0,212.0,71.0,1837.0,1519.0,1906.0
1698928443.201,23.0,-71.0,-1011.0,28.0,34.0,19.0,413.0,57.0,831.0,205.0,71.0,1840.0,1520.0,1908.0
1698928443.259,23.0,-71.0,-1010.0,27.0,33.0,22.0,413.0,58.0,831.0,206.0,71.0,1840.0,1519.0,1909.0
1698928443.26,22.0,-71.0,-1011.0,27.0,31.0,21.0,413.0,57.0,831.0,209.0,70.0,1837.0,1518.0,1906.0
1698928443.262,23.0,-72.0,-1010.0,26.0,32.0,19.0,412.0,58.0,830.0,204.0,74.0,1840.0,1518.0,1906.0
1698928443.283,23.0,-72.0,-1010.0,25.0,31.0,20.0,412.0,57.0,831.0,206.0,71.0,1839.0,1517.0,1905.0
1698928443.305,24.0,-73.0,-1011.0,25.0,31.0,21.0,411.0,58.0,831.0,202.0,72.0,1841.0,1517.0,1907.0
1698928443.342,23.0,-72.0,-1011.0,26.0,31.0,20.0,412.0,58.0,831.0,203.0,72.0,1841.0,1518.0,1907.0
1698928443.343,23.0,-71.0,-1011.0,28.0,32.0,20.0,411.0,59.0,832.0,203.0,68.0,1842.0,1520.0,1907.0
1698928443.365,22.0,-70.0,-1011.0,26.0,34.0,21.0,412.0,59.0,832.0,205.0,71.0,1840.0,1518.0,1903.0
1698928443.395,23.0,-70.0,-1012.0,26.0,34.0,23.0,411.0,60.0,831.0,208.0,68.0,1840.0,1518.0,1903.0
1698928443.416,23.0,-70.0,-1012.0,24.0,33.0,23.0,412.0,60.0,832.0,207.0,69.0,1842.0,1518.0,1906.0
1698928443.44,23.0,-70.0,-1012.0,25.0,33.0,22.0,412.0,60.0,832.0,214.0,68.0,1843.0,1520.0,1905.0
1698928443.462,22.0,-71.0,-1011.0,25.0,33.0,24.0,412.0,59.0,832.0,218.0,68.0,1842.0,1520.0,1905.0
1698928443.463,22.0,-71.0,-1010.0,24.0,31.0,21.0,411.0,59.0,831.0,216.0,71.0,1843.0,1520.0,1905.0
1698928443.485,23.0,-70.0,-1010.0,23.0,33.0,21.0,411.0,58.0,831.0,212.0,69.0,1844.0,1519.0,1907.0
1698928443.508,23.0,-71.0,-1010.0,24.0,33.0,22.0,411.0,58.0,831.0,218.0,70.0,1845.0,1520.0,1907.0
1698928443.567,23.0,-71.0,-1009.0,26.0,34.0,21.0,410.0,59.0,830.0,215.0,67.0,1842.0,1520.0,1905.0
1698928443.568,24.0,-71.0,-1009.0,28.0,33.0,19.0,410.0,58.0,831.0,214.0,67.0,1842.0,1517.0,1906.0
1698928443.612,23.0,-71.0,-1008.0,28.0,31.0,21.0,410.0,59.0,830.0,219.0,66.0,1842.0,1518.0,1904.0
1698928443.613,23.0,-71.0,-1009.0,28.0,29.0,21.0,410.0,58.0,830.0,218.0,64.0,1844.0,1516.0,1906.0
1698928443.649,22.0,-71.0,-1008.0,26.0,30.0,25.0,410.0,59.0,830.0,214.0,68.0,1847.0,1518.0,1904.0
1698928443.651,23.0,-71.0,-1009.0,26.0,29.0,21.0,410.0,59.0,829.0,220.0,68.0,1845.0,1520.0,1906.0
1698928443.672,23.0,-71.0,-1009.0,28.0,30.0,20.0,410.0,59.0,828.0,215.0,69.0,1845.0,1523.0,1905.0
1698928443.673,22.0,-71.0,-1009.0,25.0,32.0,23.0,410.0,58.0,828.0,218.0,62.0,1846.0,1525.0,1905.0
1698928443.695,22.0,-71.0,-1009.0,29.0,34.0,21.0,410.0,58.0,828.0,219.0,60.0,1844.0,1524.0,1905.0
1698928443.732,22.0,-71.0,-1010.0,26.0,32.0,21.0,410.0,58.0,830.0,221.0,60.0,1842.0,1524.0,1904.0
1698928443.747,23.0,-71.0,-1009.0,24.0,33.0,20.0,410.0,58.0,830.0,222.0,57.0,1844.0,1525.0,1905.0
1698928443.761,23.0,-71.0,-1009.0,24.0,34.0,21.0,409.0,59.0,831.0,225.0,61.0,1843.0,1524.0,1901.0
1698928443.784,23.0,-71.0,-1009.0,26.0,33.0,21.0,410.0,59.0,831.0,222.0,60.0,1845.0,1526.0,1905.0
1698928443.785,24.0,-71.0,-1008.0,27.0,33.0,22.0,409.0,59.0,832.0,224.0,63.0,1847.0,1520.0,1903.0
1698928443.822,23.0,-71.0,-1007.0,25.0,31.0,22.0,410.0,59.0,832.0,223.0,62.0,1851.0,1522.0,1903.0
1698928443.824,24.0,-70.0,-1008.0,26.0,31.0,22.0,410.0,58.0,831.0,229.0,59.0,1850.0,1520.0,1905.0
1698928443.86,23.0,-71.0,-1007.0,26.0,35.0,20.0,411.0,58.0,830.0,230.0,54.0,1847.0,1523.0,1905.0
1698928443.862,23.0,-70.0,-1009.0,27.0,37.0,19.0,411.0,57.0,831.0,230.0,52.0,1846.0,1522.0,1907.0
