timestamp,magnRawx,magnRawy,magnRawz
1698923667.006,345,771,395
1698923667.086,339,782,387
1698923667.166,337,786,378
1698923667.246,332,784,384
1698923667.326,339,776,364
1698923667.406,344,775,364
1698923667.486,342,777,355
1698923667.566,344,791,350
1698923667.646,340,782,362
1698923667.726,344,781,361
1698923667.808,337,789,352
1698923667.886,345,775,360
1698923667.97,348,775,359
1698923668.046,339,783,357
1698923668.126,345,771,362
1698923668.206,335,773,379
1698923668.286,347,788,375
1698923668.366,340,783,375
1698923668.446,345,787,381
1698923668.526,353,783,370
1698923668.606,340,787,376
1698923668.686,328,785,375
1698923668.766,336,774,361
1698923668.847,336,774,370
1698923668.926,333,790,389
1698923669.008,331,788,380
1698923669.086,341,780,376
1698923669.166,340,780,378
1698923669.246,346,781,383
1698923669.326,345,775,377
1698923669.408,341,779,383
1698923669.486,345,779,386
1698923669.566,334,779,393
1698923669.646,344,781,401
1698923669.726,338,780,387
1698923669.806,332,770,403
1698923669.886,337,784,399
1698923669.966,343,782,393
1698923670.048,338,778,406
1698923670.126,341,782,404
1698923670.206,326,774,393
1698923670.288,341,785,399
1698923670.366,342,779,387
1698923670.448,334,791,390
1698923670.526,354,784,396
1698923670.606,340,781,396
1698923670.686,351,758,391
1698923670.766,339,776,399
1698923670.846,342,778,413
1698923670.925,332,774,394
1698923671.006,345,785,387
1698923671.085,329,781,368
1698923671.165,344,775,354
1698923671.246,368,764,344
1698923671.327,398,729,346
1698923671.406,446,704,347
1698923671.488,455,670,334
1698923671.565,458,649,325
1698923671.645,433,667,330
1698923671.726,412,686,342
1698923671.805,373,728,360
1698923671.889,334,745,388
1698923671.966,268,767,399
1698923672.045,232,761,407
1698923672.125,213,764,417
1698923672.206,220,749,407
1698923672.285,279,727,409
1698923672.367,328,715,399
1698923672.446,385,678,376
1698923672.529,414,617,350
1698923672.605,424,563,352
1698923672.686,421,551,351
1698923672.765,412,565,353
1698923672.845,395,609,339
1698923672.929,368,672,372
1698923673.005,297,724,397
1698923673.085,218,741,396
1698923673.166,157,747,437
1698923673.245,141,743,429
1698923673.325,167,740,433
1698923673.406,220,759,429
1698923673.485,303,732,422
1698923673.568,385,685,394
1698923673.645,415,644,363
1698923673.725,438,570,342
1698923673.807,442,555,355
1698923673.885,458,582,361
1698923673.968,421,648,384
1698923674.045,364,706,432
1698923674.125,284,744,451
1698923674.205,205,776,454
1698923674.285,158,781,446
1698923674.365,189,769,454
1698923674.445,247,758,456
1698923674.525,349,754,421
1698923674.605,437,693,386
1698923674.685,475,609,360
1698923674.765,488,543,354
1698923674.847,475,533,354
1698923674.925,489,529,368
1698923675.007,484,597,358
1698923675.086,450,677,384
1698923675.165,352,746,421
1698923675.245,278,779,449
1698923675.325,218,768,473
1698923675.405,207,765,465
1698923675.485,252,768,461
1698923675.565,340,756,441
1698923675.645,419,729,418
1698923675.725,465,669,381
1698923675.805,500,591,372
1698923675.885,501,512,363
1698923675.965,499,490,357
1698923676.048,511,525,344
1698923676.125,508,628,387
1698923676.205,443,700,421
1698923676.285,324,753,453
1698923676.365,226,780,472
1698923676.447,152,761,485
1698923676.525,129,763,481
1698923676.605,179,737,491
1698923676.685,280,737,476
1698923676.765,380,731,430
1698923676.845,465,671,393
1698923676.924,498,590,384
1698923677.005,504,538,387
1698923677.087,499,532,382
1698923677.164,478,563,384
1698923677.245,466,615,394
1698923677.326,408,684,419
1698923677.404,338,751,435
1698923677.487,275,797,436
1698923677.564,206,830,410
1698923677.644,210,831,410
1698923677.725,253,831,388
1698923677.804,326,815,404
1698923677.884,386,774,405
1698923677.965,432,750,390
1698923678.044,459,716,380
1698923678.124,466,699,368
1698923678.205,478,707,358
1698923678.284,459,719,370
1698923678.365,465,739,356
1698923678.444,441,757,358
1698923678.527,433,760,367
1698923678.604,426,750,365
1698923678.684,441,755,375
1698923678.764,447,736,370
1698923678.844,442,752,372
1698923678.927,452,747,375
1698923679.004,445,745,363
1698923679.084,445,740,363
1698923679.164,451,747,360
1698923679.244,441,740,369
1698923679.324,447,742,372
1698923679.404,440,742,368
1698923679.484,437,749,361
1698923679.567,454,736,365
1698923679.645,438,749,360
1698923679.724,443,723,364
1698923679.806,447,750,365
1698923679.884,448,740,358
1698923679.967,434,736,376
1698923680.044,445,739,364
1698923680.124,454,744,351
1698923680.204,450,740,363
1698923680.284,452,739,363
1698923680.365,442,731,370
1698923680.444,449,751,370
1698923680.524,441,748,356
1698923680.605,446,754,369
1698923680.684,453,758,369
1698923680.764,450,741,368
