ts(msec),PPG
1698923667008.318,21444.0
1698923667028.7637,21436.0
1698923667049.209,21433.0
1698923667069.6543,21422.0
1698923667090.1,21409.0
1698923667110.5454,21410.0
1698923667130.991,21405.0
1698923667151.4363,21407.0
1698923667171.8818,21396.0
1698923667192.3274,21403.0
1698923667212.7727,21396.0
1698923667233.2185,21396.0
1698923667253.6636,21393.0
1698923667274.1091,21386.0
1698923667294.5544,21386.0
1698923667335.3733,21377.0
1698923667355.7466,21371.0
1698923667376.12,21378.0
1698923667396.4932,21373.0
1698923667416.8665,21372.0
1698923667437.2395,21374.0
1698923667457.613,21375.0
1698923667477.9863,21390.0
1698923667498.3596,21395.0
1698923667518.733,21396.0
1698923667539.1062,21398.0
1698923667559.4795,21404.0
1698923667579.8528,21406.0
1698923667600.226,21404.0
1698923667620.5994,21414.0
1698923667640.973,21411.0
1698923667661.346,21416.0
1698923667681.7192,21413.0
1698923667702.0923,21411.0
1698923667722.4658,21413.0
1698923667742.839,21414.0
1698923667763.2124,21409.0
1698923667783.5857,21412.0
1698923667803.959,21405.0
1698923667824.3325,21412.0
1698923667844.7056,21408.0
1698923667865.0789,21415.0
1698923667885.4524,21419.0
1698923667905.8257,21437.0
1698923667926.199,21432.0
1698923667946.5725,21448.0
1698923667966.9456,21452.0
1698923667987.3188,21471.0
1698923668007.692,21459.0
1698923668028.0654,21515.0
1698923668048.4387,21501.0
1698923668068.812,21507.0
1698923668089.1853,21508.0
1698923668109.5586,21509.0
1698923668129.932,21519.0
1698923668150.3052,21534.0
1698923668170.6785,21540.0
1698923668191.0518,21539.0
1698923668211.425,21542.0
1698923668231.7983,21548.0
1698923668252.1716,21551.0
1698923668272.545,21554.0
1698923668292.9182,21556.0
1698923668313.2915,21570.0
1698923668333.6648,21558.0
1698923668354.038,21581.0
1698923668374.4114,21578.0
1698923668394.785,21579.0
1698923668415.158,21578.0
1698923668435.5312,21576.0
1698923668455.9043,21564.0
1698923668476.2778,21560.0
1698923668496.6511,21547.0
1698923668517.0244,21538.0
1698923668537.3977,21535.0
1698923668557.771,21522.0
1698923668578.1443,21517.0
1698923668598.5176,21506.0
1698923668618.8909,21504.0
1698923668639.2642,21503.0
1698923668659.6377,21496.0
1698923668680.0107,21491.0
1698923668700.384,21491.0
1698923668720.757,21485.0
1698923668741.1306,21481.0
1698923668761.504,21480.0
1698923668781.8772,21488.0
1698923668802.2505,21487.0
1698923668822.6238,21493.0
1698923668842.997,21478.0
1698923668863.3704,21468.0
1698923668883.7437,21460.0
1698923668904.117,21457.0
1698923668924.4902,21447.0
1698923668944.8635,21440.0
1698923668965.2368,21440.0
1698923668985.61,21432.0
1698923669005.9836,21447.0
1698923669026.357,21433.0
1698923669046.7302,21433.0
1698923669067.1035,21428.0
1698923669087.4768,21419.0
1698923669107.85,21420.0
1698923669128.2234,21417.0
1698923669148.5967,21406.0
1698923669168.97,21404.0
1698923669189.3433,21401.0
1698923669209.7166,21396.0
1698923669230.0898,21396.0
1698923669250.4631,21397.0
1698923669270.8364,21405.0
1698923669291.2097,21402.0
1698923669311.583,21397.0
1698923669331.9563,21407.0
1698923669352.3296,21399.0
1698923669372.703,21399.0
1698923669393.0762,21402.0
1698923669413.4497,21387.0
1698923669433.8228,21383.0
1698923669454.196,21379.0
1698923669474.569,21368.0
1698923669494.9426,21366.0
1698923669515.316,21360.0
1698923669535.6892,21371.0
1698923669556.0625,21365.0
1698923669576.4358,21366.0
1698923669596.809,21363.0
1698923669617.1824,21360.0
1698923669637.5557,21358.0
1698923669657.929,21365.0
1698923669678.3022,21356.0
1698923669698.6755,21354.0
1698923669719.0488,21359.0
1698923669739.422,21356.0
1698923669759.7954,21349.0
1698923669780.1687,21346.0
1698923669800.542,21335.0
1698923669820.9153,21343.0
1698923669841.2886,21335.0
1698923669861.662,21339.0
1698923669882.0352,21334.0
1698923669902.4084,21325.0
1698923669922.7815,21314.0
1698923669943.155,21306.0
1698923669963.5283,21309.0
1698923669983.9016,21306.0
1698923670004.275,21304.0
1698923670024.6482,21305.0
1698923670045.0215,21300.0
1698923670065.3948,21311.0
1698923670085.768,21308.0
1698923670106.1414,21304.0
1698923670126.515,21298.0
1698923670146.8882,21305.0
1698923670167.2617,21301.0
1698923670187.6348,21292.0
1698923670208.008,21292.0
1698923670228.381,21293.0
1698923670248.7546,21285.0
1698923670269.128,21295.0
1698923670289.5012,21286.0
1698923670309.8745,21289.0
1698923670330.2478,21287.0
1698923670350.621,21288.0
1698923670370.9944,21288.0
1698923670391.3677,21282.0
1698923670411.741,21290.0
1698923670432.1145,21285.0
1698923670452.4875,21280.0
1698923670472.8608,21275.0
1698923670493.234,21278.0
1698923670513.6074,21271.0
1698923670533.9807,21271.0
1698923670554.354,21269.0
1698923670574.7273,21261.0
1698923670595.1006,21257.0
1698923670615.474,21260.0
1698923670635.8472,21259.0
1698923670656.2205,21244.0
1698923670676.5938,21248.0
1698923670696.967,21252.0
1698923670717.3403,21242.0
1698923670737.7136,21241.0
1698923670758.087,21250.0
1698923670778.4602,21249.0
1698923670798.8335,21249.0
1698923670819.2068,21243.0
1698923670839.58,21238.0
1698923670859.9534,21246.0
1698923670880.327,21246.0
1698923670900.7,21248.0
1698923670921.0732,21257.0
1698923670941.4463,21262.0
1698923670961.8198,21271.0
1698923670982.193,21277.0
1698923671002.5664,21273.0
1698923671022.9397,21275.0
1698923671043.313,21274.0
1698923671063.6863,21276.0
1698923671084.0596,21271.0
1698923671104.4329,21261.0
1698923671124.8062,21259.0
1698923671145.1794,21250.0
1698923671165.5527,21247.0
1698923671185.926,21238.0
1698923671206.2993,21233.0
1698923671226.6726,21236.0
1698923671247.046,21232.0
1698923671267.4194,21237.0
1698923671287.7927,21234.0
1698923671308.166,21235.0
1698923671328.5393,21234.0
1698923671348.9126,21238.0
1698923671369.286,21233.0
1698923671389.6592,21237.0
1698923671410.0325,21236.0
1698923671430.4058,21242.0
1698923671450.779,21245.0
1698923671471.1523,21234.0
1698923671491.5256,21236.0
1698923671511.899,21237.0
1698923671532.2722,21243.0
1698923671552.6455,21240.0
1698923671573.0188,21250.0
1698923671593.392,21242.0
