timestamp,accGx,accGy,accGz
1698923800.183,505,708,551
1698923800.982,505,705,567
1698923801.783,499,684,584
1698923802.584,499,707,591
1698923803.383,471,640,580
1698923804.182,528,681,515
1698923804.986,359,646,506
1698923805.782,342,841,710
1698923805.868,249,824,707
1698923805.948,212,747,691
1698923806.03,231,650,659
1698923806.108,284,599,632
1698923806.188,388,602,744
1698923806.268,510,676,879
1698923806.348,550,740,966
1698923806.428,482,753,947
1698923806.508,406,729,914
1698923806.589,342,659,850
1698923806.668,305,603,700
1698923806.748,346,610,642
1698923806.828,281,678,655
1698923806.908,175,772,705
1698923806.988,135,825,751
1698923807.068,110,812,744
1698923807.148,135,727,703
1698923807.231,127,717,603
1698923807.307,212,778,610
1698923807.387,431,800,854
1698923807.468,397,750,939
1698923807.547,289,687,944
1698923807.627,183,584,811
1698923807.708,199,523,667
1698923807.787,246,547,599
1698923807.867,248,676,636
1698923807.948,144,826,688
1698923808.027,23,897,718
1698923808.109,2,837,716
1698923808.187,14,688,655
1698923808.267,45,547,593
1698923808.347,173,547,664
1698923808.428,275,764,837
1698923808.509,221,982,989
1698923808.587,85,1068,1030
1698923808.67,-20,962,977
1698923808.747,-3,774,875
1698923808.827,89,698,727
1698923808.907,194,680,612
1698923808.987,175,661,533
1698923809.067,64,667,549
1698923809.147,-47,760,631
1698923809.227,-96,874,694
1698923809.307,-25,911,706
1698923809.387,51,800,663
1698923809.467,281,826,885
1698923809.547,255,938,1047
1698923809.627,106,939,1067
1698923809.707,-28,899,1011
1698923809.787,-40,808,904
1698923809.867,10,680,678
1698923809.949,92,578,474
1698923810.027,177,530,412
1698923810.107,103,634,467
1698923810.187,-89,877,567
1698923810.267,-252,1034,646
1698923810.347,-236,997,667
1698923810.427,-77,889,677
1698923810.507,50,874,649
1698923810.587,146,966,805
1698923810.667,159,1029,1002
1698923810.747,70,1035,949
1698923810.827,-30,1039,967
1698923810.907,-70,940,882
1698923810.988,-39,735,662
1698923811.067,32,585,561
1698923811.149,135,522,518
1698923811.227,150,576,503
1698923811.307,32,748,596
1698923811.387,-170,872,739
1698923811.467,-238,913,759
1698923811.547,-100,864,642
1698923811.627,163,802,619
1698923811.707,147,951,716
1698923811.787,74,953,869
1698923811.867,40,921,921
1698923811.947,-42,868,853
1698923812.027,-68,758,746
1698923812.107,25,685,669
1698923812.187,115,657,586
1698923812.267,95,693,553
1698923812.347,-24,769,585
1698923812.428,-137,867,614
1698923812.507,-189,935,673
1698923812.589,-132,909,696
1698923812.667,-25,823,649
1698923812.747,89,766,646
1698923812.827,145,854,760
1698923812.907,94,1005,833
1698923812.987,16,1049,827
1698923813.067,-78,985,900
1698923813.147,-118,865,830
1698923813.227,-66,719,677
1698923813.307,43,652,607
1698923813.387,151,657,561
1698923813.467,120,688,545
1698923813.546,-47,745,591
1698923813.626,-221,834,687
1698923813.706,-251,872,708
1698923813.786,-96,762,646
1698923813.869,-19,816,640
1698923813.947,99,897,742
1698923814.026,108,934,870
1698923814.106,44,951,938
1698923814.186,-68,914,923
1698923814.266,-136,836,838
1698923814.346,-83,757,717
1698923814.426,26,705,575
1698923814.506,193,654,444
1698923814.586,257,642,413
1698923814.666,10,688,343
1698923814.746,-291,800,390
1698923814.826,-354,908,616
1698923814.907,-243,880,686
1698923814.986,-96,771,657
1698923815.069,11,722,618
1698923815.147,86,772,655
1698923815.226,126,893,790
1698923815.309,114,966,881
1698923815.386,50,938,852
1698923815.466,-78,896,892
1698923815.546,-158,842,913
1698923815.626,-136,751,794
1698923815.706,-60,661,618
1698923815.786,66,636,468
1698923815.866,115,809,464
1698923815.946,-159,938,595
