ts,alpha,beta,gamma
1698923800185.0,-154,625,295
1698923800985.0,-163,635,302
1698923801786.0,-158,633,298
1698923802586.0,-154,628,315
1698923803386.0,-151,624,302
1698923804185.0,-152,631,294
1698923804989.0,-163,616,283
1698923805785.0,-105,635,249
1698923805870.0,-166,666,315
1698923805950.0,-152,640,263
1698923806033.0,-127,641,251
1698923806110.0,-86,637,210
1698923806193.0,-38,621,189
1698923806271.0,-24,638,195
1698923806350.0,1,632,194
1698923806430.0,-17,630,191
1698923806510.0,-45,636,198
1698923806594.0,-77,653,229
1698923806670.0,-116,640,246
1698923806751.0,-155,647,285
1698923806830.0,-155,654,305
1698923806910.0,-149,657,306
1698923806991.0,-148,653,282
1698923807071.0,-104,642,252
1698923807150.0,-62,631,222
1698923807233.0,-36,622,211
1698923807310.0,-13,631,210
1698923807390.0,0,632,193
1698923807470.0,-2,634,183
1698923807550.0,-27,628,201
1698923807633.0,-70,649,207
1698923807710.0,-119,638,229
1698923807790.0,-160,663,263
1698923807870.0,-182,685,289
1698923807951.0,-190,701,290
1698923808030.0,-171,694,281
1698923808112.0,-152,687,260
1698923808190.0,-109,704,237
1698923808270.0,-42,710,200
1698923808350.0,17,731,199
1698923808430.0,94,737,190
1698923808512.0,133,722,180
1698923808590.0,92,686,167
1698923808673.0,30,693,192
1698923808750.0,-42,708,218
1698923808830.0,-121,705,271
1698923808910.0,-163,678,309
1698923808990.0,-172,660,331
1698923809072.0,-171,658,341
1698923809150.0,-146,689,299
1698923809230.0,-91,692,270
1698923809310.0,-25,694,222
1698923809390.0,28,697,204
1698923809470.0,84,682,199
1698923809550.0,111,688,198
1698923809630.0,106,689,203
1698923809710.0,49,677,204
1698923809790.0,-24,681,241
1698923809870.0,-82,679,258
1698923809952.0,-126,637,307
1698923810030.0,-142,638,327
1698923810112.0,-140,648,347
1698923810190.0,-102,674,331
1698923810270.0,-53,707,291
1698923810350.0,2,718,262
1698923810430.0,60,705,237
1698923810510.0,104,680,230
1698923810590.0,158,683,228
1698923810670.0,140,697,230
1698923810750.0,129,693,227
1698923810830.0,86,684,232
1698923810910.0,31,679,244
1698923810990.0,-37,660,284
1698923811070.0,-88,643,300
1698923811152.0,-97,629,316
1698923811229.0,-100,639,315
1698923811310.0,-84,658,300
1698923811390.0,-53,674,273
1698923811469.0,10,676,258
1698923811553.0,57,673,234
1698923811629.0,92,657,217
1698923811709.0,119,653,221
1698923811790.0,116,662,224
1698923811869.0,108,663,227
1698923811949.0,57,654,232
1698923812030.0,24,661,250
1698923812109.0,-30,644,266
1698923812189.0,-80,625,282
1698923812270.0,-111,604,310
1698923812349.0,-114,604,314
1698923812430.0,-89,609,282
1698923812510.0,-52,613,265
1698923812592.0,-2,622,244
1698923812669.0,57,621,225
1698923812750.0,113,619,205
1698923812829.0,143,604,227
1698923812909.0,166,597,215
1698923812992.0,155,594,229
1698923813069.0,137,589,220
1698923813149.0,90,599,230
1698923813229.0,39,594,247
1698923813309.0,-9,595,269
1698923813389.0,-38,599,290
1698923813469.0,-53,591,294
1698923813549.0,-34,601,281
1698923813629.0,-23,601,272
1698923813709.0,17,594,249
1698923813789.0,56,576,237
1698923813871.0,105,577,231
1698923813950.0,135,577,226
1698923814032.0,172,584,232
1698923814109.0,170,604,237
1698923814189.0,128,581,232
1698923814269.0,87,591,236
1698923814349.0,25,608,245
1698923814432.0,-32,607,286
1698923814509.0,-62,593,285
1698923814589.0,-85,590,297
1698923814669.0,-74,606,294
1698923814749.0,-45,630,279
1698923814829.0,-11,648,264
1698923814910.0,37,642,245
1698923814989.0,105,635,231
1698923815071.0,145,641,220
1698923815150.0,177,636,224
1698923815229.0,181,645,225
1698923815311.0,171,635,213
1698923815389.0,136,624,217
1698923815471.0,78,643,225
1698923815549.0,20,663,246
1698923815629.0,-25,656,258
1698923815709.0,-52,658,276
1698923815789.0,-74,657,295
1698923815869.0,-78,664,307
1698923815949.0,-55,685,298
1698923816029.0,-37,676,282
1698923816109.0,-22,677,264
1698923816189.0,30,678,239
1698923816269.0,75,662,222
1698923816350.0,121,658,222
1698923816429.0,173,658,214
1698923816511.0,192,650,206
1698923816589.0,197,646,215
1698923816669.0,182,633,199
1698923816750.0,125,651,221
1698923816829.0,68,662,214
1698923816911.0,2,646,236
1698923816988.0,-28,640,256
1698923817069.0,-54,621,250
1698923817149.0,-66,628,264
1698923817229.0,-61,609,254
1698923817309.0,-57,606,258
1698923817389.0,-41,625,249
1698923817468.0,-28,631,244
1698923817549.0,-29,620,236
1698923817628.0,-24,629,235
1698923817708.0,-24,624,231
1698923817790.0,-22,640,226
1698923817868.0,-8,658,238
1698923817951.0,-6,670,241
1698923818029.0,-21,689,247
1698923818108.0,-21,719,267
1698923818188.0,-14,738,294
1698923818304.0,-21,762,312
1698923818419.0,3,780,325
1698923818430.0,30,785,337
1698923818509.0,63,812,343
1698923818588.0,95,820,349
1698923818668.0,126,823,336
1698923818748.0,146,817,346
1698923818904.0,167,828,347
1698923818910.0,194,836,349
1698923819049.0,213,825,357
1698923819068.0,222,811,348
1698923819148.0,246,818,343
1698923819228.0,258,812,332
1698923819308.0,255,798,319
1698923819391.0,261,786,293
1698923819468.0,255,759,268
1698923819548.0,235,738,254
1698923819628.0,231,744,253
1698923819708.0,234,748,254
1698923819788.0,248,747,267
1698923819868.0,258,757,274
1698923819949.0,287,773,312
1698923820028.0,289,785,322
1698923820108.0,288,800,333
1698923820188.0,293,785,350
1698923820269.0,309,796,358
1698923820348.0,311,767,359
1698923820431.0,294,769,352
1698923820508.0,287,771,347
1698923820588.0,269,773,336
1698923820668.0,256,777,322
1698923820748.0,246,769,315
