ms,hr,conf
1698923800597.0,61,68
1698923801435.0,61,16
1698923802272.0,63,43
1698923803110.0,65,49
1698923803947.0,65,20
1698923804819.0,65,10
1698923805656.0,65,64
1698923806527.0,65,32
1698923807398.0,65,39
1698923808302.0,70,40
1698923809173.0,73,41
1698923810078.0,75,69
1698923810992.0,77,69
1698923811886.0,78,69
1698923812757.0,79,73
1698923813695.0,79,69
1698923814566.0,79,41
1698923815437.0,79,61
1698923816352.0,79,42
1698923817246.0,79,73
1698923818117.0,79,100
1698923819054.0,79,9
1698923819926.0,79,89
1698923820833.0,79,31
1698923821735.0,79,18
1698923822639.0,79,43
1698923823476.0,79,15
1698923824381.0,79,3
1698923825285.0,79,54
1698923826223.0,79,41
1698923827071.0,79,65
1698923827965.0,79,19
1698923828802.0,79,45
1698923829712.0,79,46
1698923830786.0,79,59
1698923831515.0,79,13
1698923832708.0,79,0
