ts,steps
1698923809552.0,4259
1698923809954.0,4260
1698923810592.0,4261
1698923811072.0,4262
1698923811792.0,4263
1698923812191.0,4264
1698923812831.0,4265
1698923813311.0,4266
1698923813952.0,4267
1698923814434.0,4268
1698923815231.0,4269
1698923815631.0,4270
1698923816354.0,4271
1698923816913.0,4272
1698923818299.0,4273
1698923824109.0,4279
1698923824670.0,4280
1698923825309.0,4281
1698923825870.0,4282
1698923826349.0,4283
1698923826989.0,4284
1698923827469.0,4285
1698923828109.0,4286
1698923828589.0,4287
1698923829229.0,4288
1698923829714.0,4289
1698923830452.0,4290
1698923830938.0,4291
1698923832028.0,4292
