timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698927400.017,-40,-56,-1040.0,86.0,148.0,1.0,-3012.0,1759.0,-691.0,1156.0,1269.0,1581.0,1036.0,273.0
1698927400.032,-41,-56,-1040.0,88.0,149.0,1.0,-3011.0,1758.0,-691.0,1174.0,1279.0,1588.0,1046.0,325.0
1698927400.055,-40,-56,-1041.0,88.0,146.0,5.0,-3010.0,1757.0,-691.0,1171.0,1271.0,1611.0,1057.0,312.0
1698927400.071,-39,-56,-1040.0,87.0,149.0,5.0,-3009.0,1757.0,-693.0,1182.0,1280.0,1604.0,1112.0,322.0
1698927400.093,-38,-56,-1041.0,90.0,152.0,3.0,-3009.0,1757.0,-694.0,1177.0,1250.0,1586.0,1137.0,328.0
1698927400.123,-38,-56,-1041.0,94.0,151.0,2.0,-3010.0,1756.0,-694.0,1200.0,1269.0,1585.0,1162.0,317.0
1698927400.145,-37,-56,-1040.0,97.0,150.0,2.0,-3010.0,1757.0,-693.0,1184.0,1264.0,1570.0,1142.0,318.0
1698927400.16,-38,-56,-1039.0,98.0,150.0,2.0,-3010.0,1757.0,-693.0,1180.0,1269.0,1566.0,1141.0,315.0
1698927400.175,-38,-56,-1038.0,98.0,152.0,4.0,-3011.0,1757.0,-694.0,1186.0,1275.0,1569.0,1145.0,319.0
1698927400.213,-39,-56,-1039.0,96.0,150.0,3.0,-3012.0,1757.0,-694.0,1184.0,1276.0,1573.0,1145.0,320.0
1698927400.227,-39,-55,-1038.0,95.0,147.0,1.0,-3012.0,1758.0,-694.0,1184.0,1276.0,1586.0,1151.0,323.0
1698927400.23,-38,-54,-1038.0,95.0,149.0,1.0,-3012.0,1758.0,-693.0,1186.0,1275.0,1583.0,1146.0,321.0
1698927400.251,-39,-54,-1037.0,95.0,150.0,2.0,-3012.0,1758.0,-692.0,1202.0,1288.0,1610.0,1166.0,324.0
1698927400.273,-39,-54,-1038.0,88.0,149.0,3.0,-3011.0,1757.0,-691.0,1196.0,1276.0,1604.0,1161.0,324.0
1698927400.295,-39,-54,-1038.0,88.0,152.0,1.0,-3011.0,1757.0,-691.0,1195.0,1283.0,1614.0,1169.0,266.0
1698927400.311,-39,-55,-1038.0,85.0,152.0,2.0,-3010.0,1757.0,-691.0,1196.0,1269.0,1628.0,1089.0,318.0
1698927400.333,-39,-55,-1037.0,82.0,151.0,4.0,-3010.0,1757.0,-690.0,1187.0,1261.0,1652.0,1080.0,337.0
1698927400.377,-38,-55,-1037.0,78.0,151.0,5.0,-3010.0,1756.0,-691.0,1168.0,1240.0,1643.0,1115.0,294.0
1698927400.381,-38,-55,-1037.0,79.0,149.0,4.0,-3009.0,1757.0,-692.0,1137.0,1281.0,1651.0,1116.0,272.0
1698927400.4,-37,-57,-1037.0,80.0,145.0,3.0,-3010.0,1756.0,-692.0,1097.0,1273.0,1688.0,1120.0,336.0
1698927400.423,-37,-57,-1038.0,80.0,145.0,2.0,-3011.0,1756.0,-691.0,1056.0,1312.0,1643.0,1143.0,293.0
1698927400.444,-38,-57,-1038.0,78.0,147.0,2.0,-3012.0,1757.0,-690.0,1040.0,1250.0,1718.0,1097.0,326.0
1698927400.483,-38,-57,-1038.0,80.0,146.0,3.0,-3012.0,1759.0,-688.0,982.0,1210.0,1708.0,1082.0,326.0
1698927400.486,-38,-57,-1038.0,81.0,147.0,2.0,-3013.0,1761.0,-688.0,944.0,1161.0,1637.0,1077.0,395.0
1698927400.505,-38,-57,-1039.0,82.0,147.0,0.0,-3014.0,1762.0,-688.0,954.0,1195.0,1624.0,1153.0,349.0
1698927400.512,-38,-58,-1038.0,87.0,148.0,0.0,-3015.0,1765.0,-688.0,978.0,1047.0,1675.0,1152.0,311.0
1698927400.542,-37,-58,-1040.0,87.0,147.0,-3.0,-3015.0,1766.0,-687.0,948.0,989.0,1641.0,1154.0,366.0
1698927400.55,-37,-58,-1041.0,89.0,147.0,-2.0,-3015.0,1767.0,-687.0,958.0,955.0,1645.0,1103.0,267.0
1698927400.573,-36,-58,-1041.0,87.0,148.0,-2.0,-3016.0,1767.0,-688.0,932.0,989.0,1659.0,1125.0,370.0
1698927400.588,-36,-58,-1040.0,90.0,147.0,-3.0,-3016.0,1769.0,-688.0,925.0,979.0,1616.0,1133.0,364.0
1698927400.61,-36,-58,-1040.0,89.0,150.0,-1.0,-3017.0,1769.0,-687.0,911.0,1033.0,1633.0,1139.0,345.0
1698927400.632,-36,-58,-1039.0,92.0,153.0,156.0,-3017.0,1770.0,-689.0,929.0,936.0,1615.0,1128.0,353.0
1698927400.655,-35,-59,-1040.0,91.0,152.0,76.0,-3017.0,1770.0,-688.0,938.0,971.0,1627.0,1152.0,379.0
1698927400.692,-35,-58,-1040.0,94.0,150.0,36.0,-3017.0,1771.0,-687.0,927.0,992.0,1628.0,1128.0,371.0
1698927400.699,-35,-59,-1040.0,95.0,149.0,18.0,-3018.0,1770.0,-687.0,931.0,1032.0,1592.0,1117.0,372.0
1698927400.723,-35,-59,-1040.0,92.0,151.0,9.0,-3017.0,1770.0,-687.0,929.0,1073.0,1581.0,1106.0,368.0
1698927400.73,-34,-59,-1039.0,90.0,150.0,5.0,-3017.0,1770.0,-688.0,938.0,1093.0,1553.0,1111.0,373.0
1698927400.783,-34,-59,-1038.0,91.0,154.0,0.0,-3017.0,1769.0,-689.0,936.0,1086.0,1585.0,1128.0,374.0
1698927400.787,-35,-58,-1038.0,90.0,152.0,-1.0,-3016.0,1770.0,-689.0,938.0,1080.0,1641.0,1129.0,379.0
1698927400.827,-35,-59,-1039.0,89.0,153.0,-2.0,-3016.0,1770.0,-689.0,943.0,1087.0,1647.0,1136.0,382.0
1698927400.831,-35,-58,-1039.0,89.0,153.0,-1.0,-3017.0,1770.0,-690.0,930.0,1026.0,1636.0,1131.0,384.0
1698927400.85,-35,-58,-1039.0,91.0,151.0,0.0,-3016.0,1770.0,-690.0,942.0,940.0,1667.0,1115.0,395.0
1698927400.854,-36,-58,-1038.0,90.0,150.0,-1.0,-3017.0,1770.0,-690.0,950.0,833.0,1672.0,1170.0,405.0
1698927400.91,-37,-58,-1037.0,87.0,148.0,0.0,-3018.0,1769.0,-691.0,937.0,863.0,1594.0,1118.0,397.0
1698927400.914,-36,-58,-1038.0,90.0,148.0,0.0,-3018.0,1770.0,-691.0,891.0,946.0,1565.0,1105.0,388.0
1698927400.918,-37,-59,-1038.0,88.0,148.0,-2.0,-3019.0,1770.0,-690.0,895.0,855.0,1535.0,1076.0,363.0
1698927400.934,-37,-59,-1039.0,88.0,150.0,-2.0,-3020.0,1770.0,-689.0,893.0,1097.0,1597.0,1113.0,361.0
1698927400.956,-36,-59,-1040.0,91.0,154.0,-1.0,-3020.0,1770.0,-690.0,895.0,1067.0,1596.0,1145.0,399.0
1698927400.978,-36,-60,-1041.0,90.0,152.0,-2.0,-3020.0,1771.0,-689.0,912.0,1095.0,1663.0,1152.0,393.0
1698927400.992,-36,-60,-1040.0,90.0,154.0,0.0,-3020.0,1771.0,-689.0,906.0,946.0,1622.0,1122.0,379.0
1698927401.008,-35,-60,-1039.0,92.0,153.0,-2.0,-3020.0,1772.0,-689.0,881.0,957.0,1613.0,1106.0,424.0
1698927401.038,-36,-60,-1041.0,92.0,154.0,-7.0,-3021.0,1773.0,-689.0,900.0,857.0,1623.0,1153.0,393.0
1698927401.06,-36,-59,-1041.0,92.0,154.0,-3.0,-3021.0,1773.0,-690.0,892.0,1086.0,1625.0,1195.0,388.0
1698927401.075,-36,-59,-1041.0,94.0,156.0,-4.0,-3022.0,1773.0,-690.0,884.0,1009.0,1635.0,1177.0,421.0
1698927401.097,-35,-59,-1041.0,96.0,154.0,-6.0,-3021.0,1773.0,-690.0,918.0,970.0,1661.0,1236.0,467.0
1698927401.143,-36,-58,-1040.0,94.0,153.0,-8.0,-3021.0,1774.0,-689.0,952.0,958.0,1682.0,1254.0,480.0
1698927401.15,-36,-58,-1040.0,90.0,152.0,-5.0,-3021.0,1774.0,-690.0,953.0,956.0,1683.0,1339.0,515.0
1698927401.154,-36,-59,-1039.0,91.0,155.0,-6.0,-3021.0,1774.0,-690.0,955.0,930.0,1658.0,1426.0,493.0
1698927401.173,-36,-59,-1040.0,90.0,157.0,-3.0,-3021.0,1775.0,-690.0,968.0,941.0,1650.0,1378.0,548.0
1698927401.188,-36,-59,-1039.0,93.0,152.0,-4.0,-3021.0,1775.0,-689.0,979.0,947.0,1678.0,1398.0,544.0
1698927401.21,-36,-59,-1038.0,94.0,155.0,-8.0,-3022.0,1775.0,-687.0,972.0,1033.0,1666.0,1391.0,541.0
1698927401.233,-37,-59,-1040.0,95.0,154.0,-6.0,-3022.0,1775.0,-688.0,963.0,933.0,1658.0,1376.0,559.0
1698927401.255,-36,-59,-1041.0,94.0,153.0,-7.0,-3022.0,1775.0,-687.0,954.0,941.0,1644.0,1374.0,552.0
1698927401.27,-36,-59,-1041.0,92.0,149.0,-5.0,-3021.0,1775.0,-687.0,984.0,913.0,1692.0,1404.0,570.0
