timestamp,accGGx,accGGy,accGGz
1698923878.12,0.429,0.653,0.669
1698923878.199,0.434,0.646,0.658
1698923878.386,0.438,0.646,0.673
1698923878.442,0.444,0.627,0.669
1698923878.716,0.454,0.631,0.679
1698923878.76,0.437,0.634,0.671
1698923879.256,0.409,0.6,0.689
1698923879.319,0.408,0.626,0.692
1698923879.399,0.405,0.632,0.696
1698923879.479,0.406,0.626,0.692
1698923879.586,0.421,0.635,0.684
1698923879.639,0.434,0.657,0.669
1698923879.768,0.427,0.686,0.661
1698923879.799,0.424,0.694,0.67
1698923879.948,0.403,0.699,0.669
1698923879.959,0.383,0.69,0.66
1698923880.04,0.397,0.674,0.651
1698923880.119,0.413,0.679,0.659
1698923880.199,0.419,0.675,0.667
1698923880.279,0.414,0.649,0.647
1698923880.359,0.414,0.64,0.647
1698923880.439,0.416,0.656,0.657
1698923880.519,0.416,0.669,0.671
1698923880.599,0.428,0.668,0.683
1698923880.679,0.432,0.666,0.68
1698923880.759,0.415,0.666,0.677
1698923880.839,0.409,0.666,0.676
1698923880.919,0.406,0.667,0.669
1698923880.999,0.397,0.677,0.663
1698923881.079,0.392,0.673,0.673
1698923881.161,0.393,0.664,0.681
1698923881.242,0.403,0.667,0.68
1698923881.927,0.483,0.643,0.575
1698923881.959,0.468,0.723,0.572
1698923882.286,0.486,0.963,0.613
1698923882.361,0.352,0.9,0.639
1698923882.708,0.267,0.668,0.529
1698923882.759,0.365,0.767,0.578
1698923882.858,0.443,0.872,0.655
1698923882.919,0.461,0.898,0.717
1698923883.67,0.064,0.774,0.686
1698923883.908,0.281,0.609,0.669
1698923883.958,0.393,0.779,0.796
1698923884.148,0.354,0.888,0.973
1698923884.198,0.235,0.762,0.891
1698923884.278,0.171,0.66,0.784
1698923884.359,0.2,0.637,0.697
1698923884.439,0.228,0.668,0.687
1698923884.518,0.164,0.749,0.701
1698923884.601,-0.028,0.804,0.828
1698923884.678,-0.032,0.798,0.769
1698923884.758,0.052,0.662,0.643
1698923884.926,0.299,0.657,0.718
1698923884.998,0.398,0.795,0.893
1698923885.079,0.296,0.872,0.96
1698923885.158,0.161,0.848,0.971
1698923885.241,0.091,0.765,0.898
1698923885.319,0.071,0.645,0.721
1698923885.398,0.123,0.573,0.601
1698923885.478,0.179,0.594,0.54
1698923885.558,0.119,0.693,0.518
1698923885.638,-0.03,0.855,0.636
1698923885.719,-0.171,0.975,0.792
1698923885.798,-0.19,0.929,0.769
1698923885.878,-0.063,0.797,0.689
1698923885.958,0.106,0.718,0.672
1698923886.038,0.182,0.843,0.613
1698923886.118,0.176,0.977,0.677
1698923886.198,0.15,0.92,0.836
1698923886.279,0.092,0.821,0.913
1698923886.358,0.061,0.715,0.916
1698923886.439,0.072,0.653,0.753
1698923886.52,0.166,0.669,0.639
1698923886.598,0.257,0.697,0.638
1698923886.678,0.215,0.703,0.6
1698923886.758,-0.057,0.803,0.722
1698923886.838,-0.095,0.8,0.703
1698923886.918,-0.012,0.722,0.684
1698923886.998,0.098,0.691,0.722
1698923887.078,0.266,0.732,0.784
1698923887.158,0.392,0.839,0.912
1698923887.239,0.333,0.891,1.032
1698923887.318,0.217,0.803,1.048
1698923887.398,0.127,0.659,0.919
1698923887.478,0.093,0.57,0.748
1698923887.558,0.143,0.534,0.669
1698923887.638,0.225,0.545,0.635
1698923887.718,0.21,0.635,0.602
1698923887.798,0.095,0.775,0.65
1698923887.878,-0.035,0.872,0.731
1698923887.96,-0.07,0.881,0.725
1698923888.038,0.006,0.802,0.661
1698923888.118,0.109,0.723,0.627
1698923888.198,0.249,0.752,0.689
1698923888.278,0.348,0.899,0.763
1698923888.358,0.312,0.988,0.824
1698923888.438,0.197,0.937,0.888
1698923888.518,0.09,0.809,0.811
1698923888.598,0.052,0.672,0.668
1698923888.678,0.088,0.629,0.595
1698923888.758,0.136,0.661,0.579
1698923888.837,0.119,0.718,0.588
1698923888.918,-0.033,0.88,0.699
1698923888.998,-0.077,0.846,0.689
1698923889.077,0.002,0.758,0.624
1698923889.16,0.11,0.748,0.612
1698923889.238,0.194,0.832,0.684
1698923889.317,0.249,0.922,0.791
1698923889.398,0.205,0.936,0.879
1698923889.477,0.157,0.911,0.933
1698923889.557,0.114,0.856,0.865
1698923889.638,0.06,0.743,0.735
1698923889.717,0.101,0.635,0.645
1698923889.797,0.173,0.601,0.544
1698923889.878,0.179,0.614,0.474
1698923889.957,0.084,0.675,0.502
1698923890.037,-0.024,0.804,0.589
1698923890.118,-0.04,0.932,0.671
1698923890.197,0.019,0.935,0.669
1698923890.277,0.111,0.822,0.624
1698923890.357,0.2,0.779,0.623
1698923890.438,0.201,0.883,0.696
1698923890.517,0.124,0.998,0.817
1698923890.6,0.066,0.973,0.846
1698923890.677,0.027,0.896,0.796
1698923890.757,0.018,0.806,0.7
1698923890.837,0.071,0.706,0.603
1698923890.917,0.147,0.66,0.57
1698923890.997,0.129,0.621,0.617
1698923891.077,0.044,0.701,0.689
1698923891.157,-0.047,0.823,0.784
1698923891.237,-0.054,0.834,0.766
1698923891.318,0.064,0.792,0.723
1698923891.397,0.165,0.802,0.765
1698923891.477,0.218,0.822,0.809
1698923891.557,0.232,0.84,0.889
1698923891.637,0.154,0.789,0.919
1698923891.717,0.105,0.74,0.884
1698923891.797,0.111,0.723,0.798
1698923891.879,0.104,0.684,0.688
1698923891.957,0.11,0.682,0.661
1698923892.04,0.074,0.723,0.659
1698923892.117,-0.062,0.763,0.703
1698923892.197,-0.157,0.808,0.715
1698923892.277,-0.119,0.845,0.728
1698923892.357,-0.031,0.827,0.721
1698923892.437,0.07,0.765,0.657
1698923892.517,0.171,0.734,0.667
1698923892.597,0.261,0.797,0.718
1698923892.677,0.274,0.892,0.784
1698923892.757,0.198,0.907,0.84
1698923892.837,0.102,0.859,0.868
1698923892.917,-0.016,0.811,0.892
1698923892.997,-0.062,0.751,0.809
1698923893.077,0.101,0.681,0.574
1698923893.157,0.129,0.699,0.539
1698923893.237,0.086,0.723,0.555
1698923893.319,0.033,0.773,0.602
1698923893.397,0.0,0.839,0.658
1698923893.477,0.032,0.798,0.675
1698923893.557,0.104,0.735,0.642
1698923893.637,0.144,0.745,0.646
1698923893.717,0.16,0.807,0.734
1698923893.798,0.16,0.925,0.848
1698923893.877,0.079,0.976,0.864
1698923893.957,-0.02,0.941,0.811
1698923894.037,-0.045,0.853,0.742
1698923894.117,-0.013,0.755,0.659
1698923894.197,0.049,0.691,0.593
1698923894.277,0.103,0.67,0.561
1698923894.357,0.148,0.697,0.57
1698923894.437,0.193,0.776,0.587
1698923894.518,0.229,0.843,0.574
1698923894.597,0.271,0.843,0.603
1698923894.677,0.314,0.815,0.666
1698923894.759,0.329,0.781,0.665
1698923894.836,0.32,0.755,0.638
1698923894.917,0.321,0.745,0.625
1698923894.996,0.317,0.749,0.613
1698923895.076,0.268,0.824,0.717
1698923895.157,0.155,0.86,0.84
1698923895.236,0.015,0.715,0.784
1698923895.316,0.061,0.716,0.767
1698923895.397,0.122,0.753,0.712
1698923895.476,0.18,0.792,0.714
1698923895.556,0.186,0.82,0.792
1698923895.637,0.093,0.873,0.78
1698923895.716,-0.045,0.935,0.695
1698923895.798,-0.094,0.936,0.592
1698923895.877,-0.011,0.908,0.515
1698923895.959,0.097,0.879,0.474
1698923896.036,0.179,0.831,0.437
1698923896.117,0.27,0.793,0.421
1698923896.196,0.352,0.802,0.413
1698923896.276,0.366,0.912,0.438
1698923896.357,0.347,1.02,0.516
1698923896.436,0.308,1.036,0.563
1698923896.516,0.248,0.996,0.584
1698923896.597,0.182,0.904,0.577
1698923896.676,0.14,0.769,0.493
1698923896.756,0.161,0.666,0.408
1698923896.836,0.273,0.718,0.399
1698923896.916,0.412,0.857,0.458
1698923896.996,0.38,0.977,0.505
1698923897.076,0.208,1.019,0.539
1698923897.156,0.022,0.983,0.552
1698923897.238,-0.044,0.929,0.535
1698923897.317,0.049,0.836,0.497
1698923897.396,0.247,0.71,0.428
1698923897.476,0.37,0.82,0.46
1698923897.556,0.394,0.987,0.562
1698923897.636,0.328,1.041,0.646
1698923897.716,0.266,0.993,0.697
1698923897.796,0.182,0.9,0.713
1698923897.876,0.117,0.772,0.65
1698923897.956,0.1,0.677,0.668
1698923898.036,0.155,0.655,0.655
1698923898.116,0.247,0.71,0.576
1698923898.196,0.278,0.782,0.59
1698923898.276,0.229,0.809,0.633
1698923898.356,0.109,0.793,0.702
1698923898.436,0.051,0.742,0.722
1698923898.516,0.105,0.667,0.671
1698923898.596,0.195,0.605,0.635
1698923898.678,0.325,0.624,0.694
1698923898.756,0.45,0.733,0.838
1698923898.836,0.472,0.82,0.888
1698923898.916,0.379,0.825,0.85
1698923898.996,0.298,0.775,0.876
