ts,abs,alpha,beta,gamma
1698924288041.0,False,90.0,106.5,-3.4000000000000004
1698924288091.0,False,90.10000000000001,106.5,-3.4000000000000004
1698924288141.0,False,90.10000000000001,106.5,-3.6
1698924288174.0,False,90.2,106.5,-3.7
1698924288223.0,False,90.30000000000001,106.4,-3.8000000000000003
1698924288307.0,False,90.30000000000001,106.2,-3.9000000000000004
1698924288374.0,False,90.5,106.2,-4.0
1698924288390.0,False,90.5,106.2,-4.1000000000000005
1698924288410.0,False,90.60000000000001,106.2,-4.1000000000000005
1698924288456.0,False,90.60000000000001,106.30000000000001,-4.2
1698924288492.0,False,90.60000000000001,106.2,-4.3
1698924288590.0,False,90.7,106.0,-4.4
1698924288623.0,False,90.80000000000001,106.0,-4.5
1698924288790.0,False,90.80000000000001,106.10000000000001,-4.5
1698924288824.0,False,90.7,106.10000000000001,-4.4
1698924288873.0,False,90.80000000000001,106.10000000000001,-4.4
1698924288923.0,False,90.7,106.10000000000001,-4.4
1698924288990.0,False,90.7,106.0,-4.4
1698924289008.0,False,90.7,106.10000000000001,-4.4
1698924289041.0,False,90.7,106.10000000000001,-4.3
1698924289091.0,False,90.60000000000001,106.0,-4.3
1698924289239.0,False,90.7,106.0,-4.4
1698924289257.0,False,90.80000000000001,106.0,-4.5
1698924289391.0,False,90.80000000000001,106.0,-4.6000000000000005
1698924289459.0,False,91.0,106.0,-4.800000000000001
1698924289539.0,False,91.10000000000001,106.0,-4.9
1698924289623.0,False,91.10000000000001,106.10000000000001,-4.800000000000001
1698924289673.0,False,91.0,106.10000000000001,-4.800000000000001
1698924289724.0,False,91.0,106.10000000000001,-4.7
1698924289790.0,False,90.9,106.0,-4.6000000000000005
1698924289823.0,False,90.80000000000001,106.0,-4.5
1698924289843.0,False,90.80000000000001,106.0,-4.6000000000000005
1698924289889.0,False,90.9,106.10000000000001,-4.6000000000000005
1698924290173.0,False,90.80000000000001,106.10000000000001,-4.5
1698924290190.0,False,90.9,106.0,-4.6000000000000005
1698924290224.0,False,90.80000000000001,106.0,-4.5
1698924290273.0,False,90.80000000000001,106.10000000000001,-4.5
1698924290323.0,False,90.80000000000001,106.10000000000001,-4.6000000000000005
1698924290374.0,False,90.7,106.0,-4.5
1698924290407.0,False,90.80000000000001,105.9,-4.6000000000000005
1698924290490.0,False,90.9,105.7,-4.7
1698924290523.0,False,90.9,105.7,-4.800000000000001
1698924290556.0,False,90.9,105.80000000000001,-4.800000000000001
1698924290574.0,False,90.9,105.80000000000001,-4.7
1698924290724.0,False,90.9,105.9,-4.800000000000001
1698924290806.0,False,91.10000000000001,105.80000000000001,-5.0
1698924290840.0,False,91.10000000000001,105.80000000000001,-5.1000000000000005
1698924291123.0,False,91.10000000000001,105.9,-5.0
1698924291156.0,False,91.0,105.9,-5.0
1698924291241.0,False,90.9,106.0,-4.800000000000001
1698924291273.0,False,91.0,106.10000000000001,-4.9
1698924291324.0,False,91.0,106.10000000000001,-5.1000000000000005
1698924291339.0,False,91.10000000000001,106.10000000000001,-5.1000000000000005
1698924291423.0,False,91.10000000000001,106.10000000000001,-5.300000000000001
1698924291441.0,False,91.10000000000001,106.0,-5.300000000000001
1698924291557.0,False,91.2,105.80000000000001,-5.4
1698924291740.0,False,91.10000000000001,105.9,-5.2
1698924291840.0,False,91.10000000000001,105.80000000000001,-5.300000000000001
1698924291856.0,False,91.10000000000001,105.80000000000001,-5.2
1698924291872.0,False,91.0,105.80000000000001,-5.2
1698924292006.0,False,91.0,105.9,-5.0
1698924292073.0,False,91.0,106.10000000000001,-4.9
1698924292157.0,False,90.9,106.10000000000001,-4.7
1698924292223.0,False,90.9,106.0,-4.6000000000000005
1698924292274.0,False,90.80000000000001,106.0,-4.5
1698924292290.0,False,90.7,106.0,-4.4
1698924292307.0,False,90.7,106.10000000000001,-4.4
1698924292323.0,False,90.60000000000001,106.10000000000001,-4.3
1698924292363.0,False,90.5,106.2,-4.1000000000000005
1698924292390.0,False,90.5,106.30000000000001,-4.1000000000000005
1698924292423.0,False,90.5,106.30000000000001,-4.0
1698924292440.0,False,90.60000000000001,106.30000000000001,-4.1000000000000005
1698924292506.0,False,90.60000000000001,106.4,-4.0
1698924292522.0,False,90.5,106.5,-4.0
1698924292606.0,False,90.4,106.30000000000001,-3.9000000000000004
1698924292656.0,False,90.4,106.2,-3.9000000000000004
1698924292739.0,False,90.4,106.30000000000001,-3.9000000000000004
1698924292822.0,False,90.4,106.4,-3.8000000000000003
1698924292956.0,False,90.30000000000001,106.5,-3.7
1698924292973.0,False,90.2,106.5,-3.7
1698924292990.0,False,90.2,106.5,-3.6
1698924293206.0,False,90.2,106.4,-3.7
1698924293273.0,False,90.2,106.4,-3.6
1698924293407.0,False,90.10000000000001,106.5,-3.5
1698924293523.0,False,90.0,106.4,-3.5
1698924293639.0,False,90.0,106.2,-3.6
1698924293656.0,False,90.10000000000001,106.10000000000001,-3.6
1698924293673.0,False,90.10000000000001,106.0,-3.7
1698924293689.0,False,90.2,105.9,-3.8000000000000003
1698924293723.0,False,90.30000000000001,105.7,-3.9000000000000004
1698924293757.0,False,90.30000000000001,105.5,-3.9000000000000004
1698924293823.0,False,90.2,105.60000000000001,-3.8000000000000003
1698924293856.0,False,90.2,105.7,-3.7
1698924293873.0,False,90.2,105.80000000000001,-3.6
1698924293889.0,False,90.10000000000001,105.80000000000001,-3.5
1698924293923.0,False,90.0,106.0,-3.4000000000000004
