ms,x,y,z
1698924355495.0,72,706,243
1698924355575.0,74,685,243
1698924355655.0,75,699,240
1698924355735.0,65,696,239
1698924355817.0,70,693,245
1698924355895.0,57,694,248
1698924355975.0,44,691,249
1698924356055.0,29,683,238
1698924356135.0,16,677,242
1698924356218.0,3,669,260
1698924356295.0,6,667,243
1698924356375.0,8,666,258
1698924356455.0,21,687,246
1698924356535.0,22,691,259
1698924356615.0,38,690,262
1698924356695.0,45,686,245
1698924356775.0,64,687,243
1698924356855.0,89,707,252
1698924356935.0,108,708,239
1698924357015.0,98,704,240
1698924357095.0,108,692,248
1698924357175.0,93,706,243
1698924357256.0,81,706,242
1698924357335.0,58,691,243
1698924357415.0,45,690,253
1698924357495.0,44,690,259
1698924357575.0,23,689,250
1698924357657.0,6,676,262
1698924357735.0,0,675,256
1698924357817.0,-12,666,252
1698924357895.0,-11,665,253
1698924357975.0,-19,666,261
1698924358055.0,-8,664,250
1698924358135.0,-5,659,253
1698924358218.0,-14,662,253
1698924358295.0,-15,657,261
1698924358375.0,-16,679,256
1698924358455.0,-16,679,266
1698924358535.0,-7,688,270
1698924358615.0,8,675,258
1698924358695.0,-7,691,262
1698924358775.0,1,683,269
1698924358855.0,-7,688,259
1698924358935.0,3,691,266
1698924359015.0,-4,672,256
1698924359095.0,-8,680,261
1698924359175.0,-8,682,268
1698924359257.0,-4,673,251
1698924359335.0,-5,683,270
1698924359414.0,-7,684,266
1698924359497.0,0,678,262
1698924359575.0,-15,682,265
1698924359657.0,-5,678,255
1698924359734.0,-3,665,258
1698924359815.0,-7,662,253
1698924359894.0,-5,668,258
1698924359974.0,-5,666,254
1698924360057.0,-8,680,252
1698924360134.0,11,682,262
1698924360214.0,6,679,265
1698924360295.0,-4,685,261
1698924360370.0,14,677,262
1698924360454.0,0,669,268
1698924360534.0,-6,675,262
1698924360614.0,13,675,261
1698924360694.0,-1,660,259
1698924360774.0,4,670,259
1698924360854.0,10,661,255
1698924360936.0,-4,674,252
1698924361014.0,4,667,254
1698924361097.0,1,667,260
1698924361174.0,5,673,260
1698924361255.0,4,665,255
1698924361337.0,18,658,254
1698924361414.0,11,679,266
1698924361497.0,1,676,261
1698924361575.0,-3,675,259
1698924361654.0,-1,683,264
1698924361734.0,5,687,255
1698924361814.0,13,668,255
1698924361897.0,14,664,253
1698924361974.0,6,669,255
1698924362054.0,10,665,247
1698924362134.0,20,669,260
1698924362214.0,15,679,260
1698924362294.0,15,674,256
1698924362374.0,7,677,262
1698924362454.0,14,673,269
1698924362534.0,23,666,267
1698924362614.0,19,676,258
1698924362694.0,34,677,254
1698924362775.0,23,669,257
1698924362854.0,13,682,260
1698924362937.0,13,673,259
1698924363014.0,14,673,260
