isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0,0,0,8988,1698924422508.0
False,0,0,0,8988,1698924423506.0
False,0,0,0,8988,1698924424495.0
False,0,0,0,8988,1698924425473.0
False,0,0,0,8988,1698924426474.0
False,0,0,0,8988,1698924427457.0
False,0,0,0,8988,1698924428443.0
False,0,0,0,8988,1698924429435.0
False,0,0,0,8988,1698924430425.0
False,0,0,0,8988,1698924431421.0
False,0,0,0,8988,1698924432410.0
False,0,0,0,8988,1698924433400.0
False,0,0,0,8988,1698924434391.0
False,0,0,0,8988,1698924435380.0
False,0,0,0,8988,1698924436371.0
False,0,0,0,8988,1698924437362.0
False,0,0,0,8988,1698924438842.0
False,0,0,0,8988,1698924439841.0
False,0,0,0,8988,1698924440818.0
False,0,0,0,8988,1698924441815.0
False,0,0,0,8988,1698924443302.0
False,0,0,0,8988,1698924443793.0
False,0,0,0,8988,1698924444780.0
False,0,0,0,8988,1698924446275.0
False,0,0,0,8988,1698924446770.0
False,0,0,0,8988,1698924447753.0
False,0,0,0,8988,1698924448740.0
False,0,0,0,8988,1698924450720.0
False,0,0,0,8988,1698924450721.0
