ms,x,y,z
1698924422379.0,-196,822,658
1698924423179.0,246,759,613
1698924423265.0,276,760,591
1698924423345.0,293,764,582
1698924423425.0,323,762,573
1698924423505.0,319,756,573
1698924423585.0,314,756,588
1698924423665.0,311,761,596
1698924423746.0,368,792,617
1698924423825.0,398,813,624
1698924423904.0,351,796,614
1698924423985.0,328,785,610
1698924424065.0,321,784,598
1698924424145.0,319,781,584
1698924424225.0,317,786,576
1698924424305.0,312,787,581
1698924424384.0,311,787,588
1698924424468.0,307,791,580
1698924424545.0,308,788,582
1698924424624.0,320,776,592
1698924424707.0,326,779,587
1698924424784.0,325,783,582
1698924424864.0,330,789,568
1698924424945.0,355,789,539
1698924425024.0,401,788,526
1698924425104.0,444,821,509
1698924425185.0,459,872,449
1698924425264.0,446,893,379
1698924425344.0,359,915,337
1698924425425.0,289,981,420
1698924425504.0,220,998,538
1698924425584.0,135,962,615
1698924425664.0,84,953,626
1698924425744.0,87,974,608
1698924425824.0,88,974,587
1698924425904.0,81,970,570
1698924425984.0,71,980,541
1698924426064.0,48,947,532
1698924426145.0,43,890,531
1698924426224.0,48,801,510
1698924426307.0,47,703,475
1698924426385.0,42,646,482
1698924426464.0,19,652,567
1698924426547.0,10,700,672
1698924426624.0,21,740,719
1698924426704.0,47,756,716
1698924426784.0,71,711,681
1698924426864.0,85,690,671
1698924426944.0,76,719,683
1698924427024.0,72,745,662
1698924427104.0,107,753,648
1698924427184.0,62,681,498
1698924427264.0,159,703,547
1698924427344.0,190,723,582
1698924427424.0,214,739,607
1698924427505.0,238,766,619
1698924427584.0,245,810,642
1698924427664.0,224,821,695
1698924427744.0,161,806,754
1698924427824.0,71,791,758
1698924427904.0,26,736,699
1698924427985.0,24,696,638
1698924428065.0,37,725,629
1698924428146.0,85,750,626
1698924428224.0,145,749,608
1698924428304.0,175,768,588
1698924428386.0,206,778,575
1698924428464.0,234,835,569
1698924428544.0,241,908,578
1698924428624.0,242,916,623
1698924428704.0,203,926,702
1698924428784.0,140,872,734
1698924428864.0,98,736,692
1698924428944.0,87,680,651
1698924429024.0,91,718,657
1698924429104.0,111,744,669
1698924429184.0,173,739,606
1698924429264.0,232,753,592
1698924429344.0,282,757,616
1698924429424.0,301,783,645
1698924429504.0,278,837,673
1698924429584.0,232,850,702
1698924429664.0,169,812,701
1698924429744.0,85,759,685
1698924429825.0,25,736,677
1698924429904.0,2,738,676
1698924429986.0,28,746,671
1698924430064.0,82,757,660
1698924430144.0,127,774,645
1698924430226.0,158,784,623
1698924430303.0,181,761,578
1698924430383.0,200,772,546
1698924430464.0,224,834,551
1698924430543.0,268,895,573
1698924430623.0,280,921,602
1698924430704.0,248,887,609
1698924430783.0,188,850,638
1698924430863.0,147,780,673
1698924430944.0,130,690,679
1698924431023.0,97,696,686
1698924431103.0,98,733,639
1698924431184.0,146,797,644
1698924431263.0,197,825,668
1698924431343.0,225,828,668
1698924431424.0,232,815,626
1698924431503.0,221,823,646
1698924431583.0,127,870,707
1698924431664.0,51,863,735
1698924431743.0,25,792,730
1698924431826.0,-65,734,714
1698924431903.0,-126,703,690
1698924431983.0,-92,689,698
1698924432066.0,-26,669,727
1698924432143.0,27,660,729
1698924432223.0,57,679,710
1698924432303.0,55,706,707
1698924432383.0,55,733,719
1698924432463.0,86,733,741
1698924432543.0,103,715,792
1698924432624.0,90,668,775
1698924432703.0,70,619,751
1698924432783.0,45,634,808
1698924432863.0,25,645,841
1698924432943.0,22,623,825
1698924433023.0,58,607,770
1698924433103.0,173,605,745
1698924433183.0,211,629,745
1698924433263.0,257,657,755
1698924433343.0,277,655,741
1698924433424.0,270,643,708
1698924433504.0,252,674,721
1698924433583.0,206,746,720
1698924433665.0,190,763,692
1698924433743.0,201,731,676
1698924433823.0,169,728,644
1698924433905.0,145,740,606
1698924433983.0,182,758,576
1698924434063.0,236,775,571
1698924434143.0,266,750,577
1698924434223.0,249,745,589
1698924434303.0,220,782,599
1698924434383.0,226,815,590
1698924434463.0,235,850,586
1698924434543.0,219,873,590
1698924434623.0,195,891,588
1698924434703.0,156,908,611
1698924434783.0,138,888,651
1698924434863.0,148,801,654
1698924434943.0,134,703,660
1698924435023.0,152,684,679
1698924435103.0,170,717,657
1698924435183.0,180,727,623
1698924435263.0,197,740,609
1698924435344.0,242,753,614
1698924435423.0,280,786,622
1698924435505.0,278,806,634
1698924435583.0,270,837,678
1698924435663.0,235,873,750
1698924435745.0,161,842,759
1698924435823.0,90,761,708
1698924435903.0,45,709,682
1698924435983.0,45,733,669
1698924436063.0,86,745,645
1698924436143.0,131,730,623
1698924436223.0,177,747,599
1698924436303.0,219,767,573
1698924436382.0,248,782,550
1698924436463.0,261,808,553
1698924436542.0,250,853,594
1698924436622.0,221,898,658
1698924436703.0,183,922,726
1698924436782.0,151,853,731
1698924436862.0,135,712,702
1698924436943.0,131,646,716
1698924437022.0,132,680,700
1698924437102.0,140,705,670
1698924437183.0,157,719,647
1698924437263.0,193,727,630
1698924437345.0,231,743,626
1698924437422.0,263,780,631
1698924437502.0,288,791,633
1698924437585.0,281,806,653
1698924437662.0,253,821,709
1698924437746.0,190,800,742
1698924437822.0,101,749,713
1698924437903.0,44,703,681
1698924437982.0,46,730,677
1698924438062.0,109,742,689
1698924438142.0,169,732,684
1698924438222.0,175,749,655
1698924438302.0,176,796,637
1698924438382.0,195,812,633
1698924438462.0,196,783,628
1698924438542.0,186,777,611
1698924438622.0,196,798,596
1698924438702.0,233,833,609
1698924438782.0,242,858,653
1698924438862.0,224,846,691
1698924438942.0,261,765,686
1698924439023.0,248,752,707
1698924439102.0,229,725,753
1698924439185.0,197,675,749
1698924439262.0,159,664,758
1698924439342.0,130,671,765
1698924439424.0,118,673,738
1698924439502.0,127,675,732
1698924439582.0,134,672,737
1698924439662.0,127,674,735
1698924439742.0,95,695,738
1698924439822.0,66,720,730
1698924439902.0,48,754,724
1698924439982.0,38,768,705
1698924440062.0,35,781,672
1698924440142.0,37,806,661
1698924440222.0,45,818,637
1698924440302.0,53,820,604
1698924440382.0,68,821,606
1698924440462.0,65,822,633
1698924440542.0,56,800,654
1698924440622.0,59,782,666
1698924440702.0,45,778,640
1698924440782.0,34,767,611
1698924440862.0,77,767,641
1698924440942.0,58,736,647
1698924441025.0,5,701,651
1698924441102.0,-44,685,665
1698924441182.0,-58,673,657
1698924441264.0,-44,665,640
1698924441342.0,-33,686,639
1698924441422.0,-32,709,645
1698924441502.0,-37,733,653
1698924441582.0,-57,763,658
1698924441662.0,-65,786,666
1698924441742.0,-57,810,680
1698924441822.0,-86,835,729
1698924441902.0,-120,870,764
1698924441982.0,-104,921,784
1698924442062.0,-25,951,805
1698924442141.0,88,930,752
1698924442222.0,173,875,634
1698924442301.0,249,801,542
1698924442381.0,314,732,494
1698924442462.0,357,717,491
1698924442541.0,385,747,480
1698924442621.0,400,769,451
1698924442703.0,408,764,470
1698924442781.0,400,859,551
1698924442864.0,343,836,552
1698924442942.0,297,821,540
1698924443021.0,258,860,530
1698924443104.0,213,898,540
1698924443182.0,145,960,579
1698924443261.0,109,974,588
1698924443341.0,127,920,556
1698924443422.0,130,895,541
1698924443501.0,134,891,538
1698924443581.0,140,884,533
1698924443662.0,135,877,518
1698924443741.0,132,872,505
