ts,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698672521001.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.9,0.1,-0.1
1698672521018.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.30000000000000004,0.0,-0.1
1698672521034.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,-0.2,-0.4,-0.2
1698672521051.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,-0.30000000000000004,-0.30000000000000004,-0.2
1698672521068.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,-0.5,-0.7,-0.5
1698672521084.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.1,-0.4,-0.4
1698672521101.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.4,-0.1,-0.4
1698672521117.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.8,0.30000000000000004,-0.4
1698672521134.0,16,0.1,0.0,0.0,1.3,9.3,0.7000000000000001,1.4,0.7,0.0
1698672521151.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,1.3,0.4,0.30000000000000004
1698672521168.0,16,0.0,0.0,0.0,1.3,9.3,0.6000000000000001,1.2000000000000002,0.2,0.4
1698672521184.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.9,-0.2,0.1
1698672521202.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.9,-0.5,-0.1
1698672521218.0,16,0.0,-0.1,0.0,1.3,9.200000000000001,0.7000000000000001,0.7,-0.4,-0.6000000000000001
1698672521234.0,16,0.0,-0.1,0.0,1.3,9.200000000000001,0.7000000000000001,0.30000000000000004,-0.4,-0.6000000000000001
1698672521253.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.1,-0.5,-0.5
1698672521268.0,16,0.0,0.1,0.0,1.3,9.4,0.6000000000000001,0.1,-0.7,-0.5
1698672521284.0,16,0.0,0.1,0.0,1.3,9.4,0.7000000000000001,0.0,-0.8,-0.2
1698672521301.0,16,0.0,0.1,0.0,1.3,9.4,0.6000000000000001,0.0,-0.8,0.5
1698672521318.0,16,0.0,0.1,0.0,1.3,9.4,0.6000000000000001,0.0,-0.8,0.5
1698672521334.0,16,0.0,0.0,-0.1,1.3,9.3,0.6000000000000001,-0.30000000000000004,-0.7,0.1
1698672521351.0,16,0.0,0.1,-0.1,1.3,9.4,0.6000000000000001,-1.2000000000000002,-0.7,-0.1
1698672521368.0,16,0.1,0.1,-0.1,1.3,9.4,0.6000000000000001,-1.7,-0.5,-0.2
1698672521384.0,16,0.1,0.1,-0.1,1.3,9.4,0.6000000000000001,-2.9,-0.5,-0.2
1698672521401.0,16,0.0,0.1,-0.1,1.3,9.5,0.6000000000000001,-3.7000000000000006,-0.30000000000000004,-0.4
1698672521418.0,16,0.0,0.0,-0.1,1.3,9.4,0.5,-3.8,-0.2,-0.4
1698672521434.0,16,0.0,0.0,-0.1,1.3,9.3,0.6000000000000001,-3.8,-0.5,-0.2
1698672521451.0,16,0.0,0.0,-0.1,1.3,9.3,0.6000000000000001,-3.6,-0.6000000000000001,-0.30000000000000004
1698672521468.0,16,0.0,0.0,-0.1,1.3,9.3,0.6000000000000001,-2.8,-0.7,-0.1
1698672521485.0,16,0.0,0.0,0.0,1.3,9.4,0.7000000000000001,-1.9,-0.6000000000000001,-0.4
1698672521501.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,-1.3,-0.5,-0.5
1698672521518.0,16,0.0,0.0,0.1,1.3,9.3,0.8,-0.7,-0.2,-0.5
1698672521534.0,16,0.0,0.0,0.1,1.3,9.3,0.8,-0.6000000000000001,-0.1,-0.1
1698672521551.0,16,0.0,0.0,0.1,1.3,9.3,0.8,-1.0999999999999999,-0.1,-0.1
1698672521568.0,16,0.0,-0.1,0.1,1.3,9.3,0.8,-1.5000000000000002,0.1,-0.2
1698672521584.0,16,0.0,-0.1,0.1,1.3,9.3,0.8,-2.1,0.30000000000000004,-0.6000000000000001
1698672521601.0,16,0.0,0.0,0.0,1.3,9.3,0.8,-2.8,0.5,-0.2
1698672521618.0,16,0.0,0.0,0.1,1.2000000000000002,9.3,0.8,-3.5,0.30000000000000004,-0.7
1698672521634.0,16,0.0,0.0,0.0,1.3,9.3,0.8,-3.6,0.5,-0.8
1698672521651.0,16,-0.1,0.0,0.0,1.2000000000000002,9.3,0.8,-4.1000000000000005,0.30000000000000004,-0.5
1698672521668.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,-4.0,-0.1,-0.4
1698672521684.0,16,0.0,0.0,0.0,1.2000000000000002,9.4,0.8,-3.2,0.0,-0.4
1698672521701.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,-2.7,-0.30000000000000004,-0.5
1698672521718.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,-1.8,-0.5,-0.7
1698672521734.0,16,0.0,-0.1,0.0,1.3,9.200000000000001,0.8,-0.9,-0.8,-0.7
1698672521751.0,16,0.0,0.0,0.0,1.3,9.3,0.8,-0.2,-0.5,-0.4
1698672521768.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.1,-0.30000000000000004,-0.1
1698672521784.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.4,-0.30000000000000004,0.1
1698672521801.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.30000000000000004,-0.2,0.0
1698672521818.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.0,-0.2,-0.2
1698672521834.0,16,0.0,0.0,0.0,1.3,9.3,0.8,-0.7,-0.2,-0.4
1698672521851.0,16,0.0,0.0,0.0,1.3,9.3,0.8,-1.4,-0.2,-0.2
1698672521868.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,-2.1,-0.2,-0.1
1698672521887.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.9,-2.3000000000000003,-0.4,-0.2
1698672521901.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,-2.1999999999999997,-0.30000000000000004,-0.6000000000000001
1698672521917.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,-2.3000000000000003,-0.30000000000000004,-0.6000000000000001
1698672521934.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.9,-2.1,-0.1,-0.5
1698672521951.0,16,0.0,0.0,0.0,1.3,9.3,0.8,-2.0,-0.2,-0.2
1698672521969.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,-1.8,-0.30000000000000004,-0.2
1698672521985.0,16,0.0,0.0,-0.1,1.2000000000000002,9.3,0.8,-1.0999999999999999,-0.5,-0.1
1698672522001.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,-0.4,-0.6000000000000001,-0.30000000000000004
1698672522018.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.0,-0.4,-0.30000000000000004
1698672522034.0,16,0.1,0.0,0.0,1.3,9.3,0.9,0.1,-0.4,-0.2
1698672522052.0,16,0.0,0.0,0.0,1.3,9.3,0.9,0.1,-0.4,0.0
1698672522068.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.9,0.2,-0.4,0.0
1698672522084.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.9,0.4,0.0,-0.1
1698672522101.0,16,0.0,0.0,0.0,1.3,9.3,0.9,0.1,-0.2,-0.1
1698672522118.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.9,0.1,0.0,-0.1
1698672522134.0,16,0.0,0.0,0.0,1.3,9.3,0.9,0.1,-0.1,0.0
1698672522151.0,16,0.0,0.0,0.0,1.3,9.3,0.9,0.0,0.0,0.1
1698672522168.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.9,0.4,0.1,0.1
1698672522185.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.5,0.30000000000000004,0.0
1698672522201.0,16,0.0,0.0,0.0,1.3,9.3,0.9,1.0999999999999999,0.4,0.1
1698672522218.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.9,1.5000000000000002,0.4,0.4
1698672522234.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.7,0.30000000000000004,0.4
1698672522251.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.7,0.1,0.2
1698672522268.0,16,0.0,0.0,0.0,1.3,9.3,0.8,1.6,0.30000000000000004,0.1
1698672522285.0,16,0.0,0.0,0.0,1.3,9.3,0.8,1.4,0.30000000000000004,0.2
1698672522301.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.9,0.2,0.2
1698672522318.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.6000000000000001,0.1,0.1
1698672522334.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.6000000000000001,0.1,-0.1
1698672522351.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.5,0.30000000000000004,0.0
1698672522367.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.5,0.30000000000000004,0.0
1698672522384.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.5,0.4,0.1
1698672522401.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.6000000000000001,0.4,-0.1
1698672522418.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.4,0.5,-0.1
1698672522434.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.5,0.30000000000000004,0.1
1698672522451.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.7,0.30000000000000004,0.1
1698672522467.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.0999999999999999,0.4,-0.1
1698672522485.0,16,0.0,0.0,0.0,1.3,9.3,0.8,1.0999999999999999,0.4,-0.1
1698672522501.0,16,0.0,0.0,0.0,1.3,9.3,0.8,1.2000000000000002,0.1,0.1
1698672522517.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.5000000000000002,-0.1,0.1
1698672522534.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.5000000000000002,0.1,0.1
1698672522552.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.6,0.30000000000000004,0.1
1698672522567.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.4,0.4,0.2
1698672522585.0,16,0.0,0.0,0.1,1.2000000000000002,9.3,0.9,1.0999999999999999,0.4,0.2
1698672522601.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.8,0.0,0.0
1698672522618.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.30000000000000004,0.1,0.0
1698672522634.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.2,-0.1,0.1
1698672522651.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.1,-0.2,0.0
1698672522668.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.30000000000000004,0.0,-0.2
1698672522684.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.30000000000000004,0.0,-0.2
1698672522701.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.30000000000000004,-0.2,-0.2
1698672522718.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.30000000000000004,-0.2,0.0
1698672522734.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.2,0.0,-0.1
1698672522751.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.2,0.0,0.0
1698672522767.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.4,-0.1,-0.1
1698672522784.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.6000000000000001,0.0,0.0
1698672522801.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.9,0.1,0.0
1698672522818.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.0999999999999999,0.1,0.1
1698672522834.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,1.2000000000000002,0.2,0.1
1698672522851.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.2000000000000002,0.1,0.30000000000000004
1698672522867.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,1.0999999999999999,0.1,0.1
1698672522884.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,1.0,0.0,0.1
1698672522901.0,16,0.0,0.0,0.0,1.3,9.3,0.8,1.0,0.1,0.1
1698672522918.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.8,0.1,0.1
1698672522934.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.8,0.8,0.1,0.1
1698672522951.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.8,0.2,0.1
1698672522968.0,16,0.0,0.0,0.0,1.3,9.3,0.8,0.8,0.30000000000000004,0.1
1698672522984.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.8,0.30000000000000004,0.1
1698672523001.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.6000000000000001,0.30000000000000004,0.1
1698672523018.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.6000000000000001,0.30000000000000004,0.30000000000000004
1698672523034.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.6000000000000001,0.1,0.4
1698672523052.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.6000000000000001,0.0,0.30000000000000004
1698672523068.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.6000000000000001,0.2,0.2
1698672523084.0,16,0.0,0.0,-0.1,1.2000000000000002,9.3,0.7000000000000001,0.7,0.2,0.30000000000000004
1698672523101.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.8,0.1,0.30000000000000004
1698672523118.0,16,0.0,0.0,0.0,1.2000000000000002,9.4,0.7000000000000001,0.8,0.0,0.2
1698672523135.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.8,0.0,0.1
1698672523151.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.8,-0.1,-0.1
1698672523168.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.6000000000000001,0.0,0.2
1698672523184.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.4,0.1,0.1
1698672523201.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.30000000000000004,0.1,0.0
1698672523218.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,-0.1,0.1,0.0
1698672523234.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,-0.1,0.4,-0.1
1698672523251.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.0,0.30000000000000004,-0.1
1698672523268.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.30000000000000004,0.30000000000000004,0.0
1698672523284.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.6000000000000001,0.1,0.1
1698672523301.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.8,0.0,0.2
1698672523318.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,1.4,0.1,0.1
1698672523334.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,1.8,0.4,0.0
1698672523351.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,1.8,0.4,0.0
1698672523368.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,1.7,0.4,0.30000000000000004
1698672523384.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,1.3,0.4,0.4
1698672523401.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.8,0.4,0.30000000000000004
1698672523418.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.30000000000000004,0.30000000000000004,0.1
1698672523434.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.1,0.30000000000000004,0.2
1698672523451.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,-0.2,0.0,0.30000000000000004
1698672523468.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,-0.2,0.1,0.1
1698672523484.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,-0.1,0.0,0.2
1698672523501.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.1,0.0,0.1
1698672523518.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.2,0.1,0.1
1698672523534.0,16,0.0,0.0,0.0,1.3,9.4,0.7000000000000001,0.30000000000000004,0.1,0.2
1698672523551.0,16,0.0,0.0,0.0,1.3,9.4,0.7000000000000001,0.4,0.1,0.1
1698672523568.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.30000000000000004,0.30000000000000004,0.2
1698672523584.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.4,0.0,0.1
1698672523601.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.4,0.1,0.1
1698672523617.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.6000000000000001,0.1,0.1
1698672523634.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.6000000000000001,0.1,0.1
1698672523651.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.5,0.0,-0.1
1698672523668.0,16,0.0,0.0,0.0,1.2000000000000002,9.3,0.7000000000000001,0.4,-0.1,-0.1
1698672523685.0,16,0.0,0.0,0.0,1.3,9.3,0.7000000000000001,0.30000000000000004,-0.1,-0.1
