ts,accGx,accGy,accGz
1698675165082.0,350,764,549
1698675165162.0,366,760,561
1698675165242.0,373,761,570
1698675165322.0,382,764,575
1698675165403.0,391,763,581
1698675165482.0,381,771,588
1698675165562.0,369,780,593
1698675165642.0,358,776,586
1698675165722.0,366,760,579
1698675165802.0,370,760,581
1698675165882.0,359,776,582
1698675165962.0,367,783,580
1698675166042.0,364,784,577
1698675166121.0,362,776,576
1698675166201.0,368,780,569
1698675166282.0,255,742,488
1698675166361.0,199,716,453
1698675166441.0,283,745,514
1698675166522.0,322,757,537
1698675166685.0,351,781,569
1698675166762.0,358,782,577
1698675166841.0,362,780,580
1698675166924.0,359,775,585
1698675167002.0,353,776,586
1698675167081.0,347,781,581
1698675167161.0,342,781,580
1698675167242.0,342,786,577
1698675167321.0,343,786,576
1698675167401.0,343,772,571
1698675167482.0,350,771,567
1698675167561.0,357,783,572
1698675167641.0,357,783,574
1698675167721.0,354,777,570
1698675167801.0,349,781,575
1698675167881.0,339,790,585
1698675167961.0,335,792,578
1698675168041.0,337,787,571
1698675168121.0,339,757,549
1698675168201.0,350,755,537
1698675168281.0,352,791,525
1698675168361.0,344,822,505
1698675168442.0,364,786,489
1698675168521.0,391,740,534
1698675168601.0,431,742,622
1698675168682.0,453,730,615
1698675168761.0,448,733,592
1698675168841.0,437,789,607
1698675168922.0,370,856,605
1698675169001.0,211,926,652
1698675169081.0,36,963,723
1698675169161.0,-33,914,708
1698675169241.0,-7,772,592
1698675169321.0,24,675,518
1698675169401.0,43,712,515
1698675169481.0,112,836,568
1698675169562.0,209,1003,693
1698675169641.0,219,990,698
1698675169723.0,167,856,718
1698675169801.0,170,799,721
1698675169881.0,210,717,563
1698675169963.0,203,708,630
1698675170041.0,-103,935,650
1698675170124.0,-117,908,557
1698675170201.0,-55,869,526
1698675170281.0,52,738,469
1698675170364.0,130,693,449
1698675170442.0,192,849,598
1698675170521.0,300,992,693
1698675170601.0,368,970,703
1698675170681.0,317,865,695
1698675170761.0,245,781,522
1698675170841.0,167,696,317
1698675170921.0,-137,614,181
1698675171001.0,-713,598,173
1698675171081.0,-1365,559,224
1698675171161.0,-1635,454,187
1698675171241.0,-1438,274,124
1698675171321.0,-1277,286,78
1698675171401.0,-1288,668,105
1698675171481.0,-1235,957,84
1698675171561.0,-1208,924,-85
1698675171641.0,-1487,766,-147
1698675171721.0,-1604,552,-58
