ts,alpha,beta,gamma
1698675165004.0,-270,255,394
1698675165085.0,-267,249,399
1698675165164.0,-270,242,391
1698675165244.0,-259,230,393
1698675165325.0,-268,236,380
1698675165405.0,-262,230,378
1698675165484.0,-254,230,391
1698675165565.0,-259,233,377
1698675165644.0,-260,227,379
1698675165724.0,-266,227,375
1698675165804.0,-258,238,376
1698675165884.0,-256,226,381
1698675165964.0,-262,226,388
1698675166044.0,-258,227,373
1698675166124.0,-259,219,388
1698675166204.0,-263,237,380
1698675166284.0,-263,231,371
1698675166364.0,-251,238,381
1698675166444.0,-255,233,387
1698675166524.0,-261,232,378
1698675166600.0,-259,238,393
1698675166687.0,-263,232,380
1698675166764.0,-257,229,376
1698675166844.0,-258,240,386
1698675166927.0,-255,239,375
1698675167004.0,-256,233,373
1698675167087.0,-255,229,375
1698675167164.0,-265,230,378
1698675167244.0,-265,225,367
1698675167324.0,-269,230,377
1698675167404.0,-253,234,377
1698675167487.0,-267,229,387
1698675167564.0,-262,227,382
1698675167644.0,-258,229,382
1698675167724.0,-265,226,368
1698675167804.0,-255,235,388
1698675167886.0,-258,225,380
1698675167964.0,-263,236,373
1698675168044.0,-253,232,378
1698675168124.0,-253,247,377
1698675168204.0,-251,231,381
1698675168284.0,-255,236,382
1698675168364.0,-244,239,370
1698675168444.0,-251,239,375
1698675168524.0,-255,233,375
1698675168604.0,-251,241,368
1698675168684.0,-236,243,366
1698675168764.0,-235,249,365
1698675168844.0,-234,261,369
1698675168924.0,-219,276,373
1698675169004.0,-220,275,366
1698675169084.0,-203,314,366
1698675169164.0,-167,326,366
1698675169244.0,-160,308,351
1698675169324.0,-151,295,353
1698675169404.0,-146,292,344
1698675169484.0,-147,285,342
1698675169564.0,-146,284,339
1698675169644.0,-140,273,328
1698675169726.0,-149,281,327
1698675169804.0,-149,286,336
1698675169884.0,-179,307,357
1698675169965.0,-214,319,376
1698675170043.0,-213,332,394
1698675170126.0,-192,340,380
1698675170203.0,-162,343,362
1698675170283.0,-146,334,353
1698675170366.0,-131,333,337
1698675170444.0,-134,316,333
