ts,hr,conf
1698675167686.0,0,3
1698675168654.0,0,49
1698675169456.0,0,66
1698675170291.0,0,61
1698675171193.0,0,47
1698675175668.0,0,18
1698675176536.0,0,29
1698675177407.0,0,0
1698675178306.0,86,0
1698675179208.0,88,75
1698675180047.0,88,21
1698675180978.0,88,22
1698675181813.0,95,49
1698675182715.0,99,49
1698675183583.0,104,42
1698675184552.0,106,47
1698675185420.0,104,49
1698675186255.0,106,54
1698675187123.0,106,67
1698675188092.0,106,46
1698675188960.0,104,46
1698675189828.0,102,81
1698675190730.0,101,74
1698675191643.0,102,76
1698675192500.0,102,33
1698675193405.0,102,36
1698675194304.0,102,83
1698675195396.0,102,75
1698675197281.0,103,86
1698675198061.0,103,79
1698675198809.0,102,68
1698675199804.0,102,100
1698675201418.0,102,83
1698675202253.0,102,71
