ts,steps
1698675171966.0,2543
1698675172845.0,2544
1698675173407.0,2545
1698675173725.0,2546
1698675174285.0,2547
1698675174685.0,2548
1698675175245.0,2549
1698675175645.0,2550
1698675176125.0,2551
1698675176607.0,2552
1698675177164.0,2553
1698675177565.0,2554
1698675178124.0,2555
1698675178524.0,2556
1698675179007.0,2557
1698675179404.0,2558
1698675179964.0,2559
1698675180524.0,2560
1698675181004.0,2561
1698675185643.0,2567
1698675186525.0,2568
1698675187003.0,2569
1698675187483.0,2570
1698675187883.0,2571
1698675188363.0,2572
1698675188843.0,2573
1698675189243.0,2574
1698675189723.0,2575
1698675190765.0,2576
1698675191165.0,2577
1698675191665.0,2578
1698675192122.0,2579
1698675192682.0,2580
1698675193082.0,2581
