timestamp,accGx,accGy,accGz
1698672660.386,-446,679,642
1698672661.186,-167,726,682
1698672661.272,-159,714,693
1698672661.352,-161,708,712
1698672661.432,-161,716,716
1698672661.512,-164,720,714
1698672661.592,-160,713,713
1698672661.672,-152,714,707
1698672661.752,-148,728,712
1698672661.832,-152,740,723
1698672661.912,-149,744,720
1698672661.993,-123,755,707
1698672662.072,-74,769,681
1698672662.152,-12,772,669
1698672662.232,25,780,650
1698672662.312,28,782,643
1698672662.392,-24,766,656
1698672662.472,-186,773,718
1698672662.553,-410,841,850
1698672662.632,-517,901,901
1698672662.714,-484,913,860
1698672662.792,-430,926,739
1698672662.871,-358,797,680
1698672662.954,-242,652,586
1698672663.032,-110,567,510
1698672663.111,-20,570,509
1698672663.191,9,547,543
1698672663.272,53,599,575
1698672663.351,9,713,648
1698672663.431,-129,808,710
1698672663.512,-195,822,705
1698672663.591,-193,744,691
1698672663.671,-212,695,677
1698672663.752,-235,676,643
1698672663.831,-207,674,624
1698672663.911,-173,722,616
1698672663.992,-148,787,636
1698672664.071,-156,834,709
1698672664.151,-172,848,747
1698672664.231,-199,812,754
1698672664.311,-251,756,764
1698672664.391,-231,682,705
1698672664.471,-172,615,641
1698672664.551,-164,716,726
1698672664.631,-256,773,759
1698672664.711,-227,799,704
1698672664.792,-228,809,633
1698672664.871,-233,746,594
1698672664.954,-174,657,581
1698672665.031,-123,665,571
1698672665.111,-41,739,559
1698672665.194,-14,811,636
1698672665.271,-91,829,739
1698672665.351,-187,781,774
1698672665.431,-267,722,747
1698672665.511,-271,677,674
1698672665.591,-271,622,663
1698672665.671,-313,629,758
1698672665.751,-323,672,799
1698672665.831,-305,684,754
1698672665.911,-309,705,766
1698672665.991,-318,736,760
1698672666.071,-341,735,719
1698672666.151,-349,678,684
1698672666.231,-352,647,664
1698672666.311,-377,675,649
1698672666.391,-341,698,667
1698672666.471,-278,715,672
1698672666.551,-220,704,666
1698672666.631,-219,723,653
1698672666.711,-223,767,638
1698672666.791,-201,794,625
1698672666.872,-268,831,644
1698672666.951,-283,843,665
1698672667.031,-201,760,670
1698672667.111,-150,675,653
1698672667.191,-98,665,647
1698672667.271,-42,692,665
1698672667.351,30,730,678
1698672667.432,22,798,753
1698672667.511,-95,866,837
1698672667.594,-177,820,826
1698672667.671,-208,715,751
1698672667.751,-208,645,682
1698672667.833,-162,608,651
1698672667.911,-114,640,635
1698672667.991,-53,723,622
1698672668.071,-114,746,775
1698672668.151,-143,741,804
1698672668.231,-175,702,797
1698672668.311,-134,655,718
1698672668.391,-82,623,669
1698672668.471,-103,623,702
1698672668.552,-208,701,786
1698672668.631,-281,774,787
1698672668.71,-310,772,738
1698672668.791,-339,757,693
1698672668.87,-275,692,595
1698672668.95,-220,659,559
1698672669.031,-210,710,556
1698672669.11,-220,756,610
1698672669.19,-263,767,712
1698672669.271,-311,777,787
1698672669.35,-368,742,796
1698672669.43,-394,657,731
1698672669.511,-364,604,699
1698672669.591,-359,603,723
1698672669.671,-377,616,749
1698672669.751,-362,610,771
1698672669.833,-319,609,759
1698672669.91,-231,618,721
1698672669.99,-233,636,684
1698672670.072,-226,600,660
1698672670.15,-242,613,699
1698672670.233,-260,619,741
1698672670.31,-251,583,747
1698672670.391,-257,591,734
1698672670.471,-277,605,737
1698672670.55,-246,553,719
1698672670.63,-221,537,691
1698672670.71,-212,587,728
1698672670.79,-212,651,797
1698672670.87,-233,702,838
1698672670.95,-256,734,883
1698672671.03,-260,789,926
1698672671.11,-185,816,932
1698672671.19,-65,781,904
1698672671.27,81,781,773
1698672671.35,233,746,633
1698672671.43,322,716,593
1698672671.51,383,749,559
1698672671.59,425,741,530
1698672671.67,449,721,546
1698672671.75,454,695,585
1698672671.83,439,688,616
1698672671.91,425,684,609
1698672671.99,422,687,603
1698672672.07,418,698,599
1698672672.15,424,696,627
1698672672.23,432,709,658
1698672672.311,423,719,652
1698672672.391,411,709,633
1698672672.472,401,710,621
1698672672.55,389,717,614
1698672672.63,385,718,617
1698672672.712,380,710,626
1698672672.79,382,703,630
1698672672.87,396,684,628
1698672672.95,369,677,636
1698672673.03,335,698,650
1698672673.11,322,709,657
1698672673.19,307,728,661
1698672673.27,310,752,653
1698672673.35,321,754,636
1698672673.43,327,749,644
1698672673.51,328,741,657
1698672673.59,320,734,656
1698672673.671,315,727,631
1698672673.75,323,733,646
1698672673.83,325,744,675
1698672673.91,323,749,677
1698672673.99,315,754,689
1698672674.07,300,768,680
1698672674.15,315,779,637
1698672674.23,346,765,597
1698672674.31,365,741,576
1698672674.39,385,694,589
1698672674.47,399,658,598
1698672674.55,399,659,582
