ts(msec),PPG
1698672659019.5007,14261.0
1698672659039.9768,14259.0
1698672659060.4526,14259.0
1698672659080.9287,14255.0
1698672659101.4043,14252.0
1698672659121.8804,14249.0
1698672659142.3564,14246.0
1698672659162.8325,14245.0
1698672659183.3083,14239.0
1698672659203.7842,14239.0
1698672659224.2605,14237.0
1698672659244.736,14236.0
1698672659265.2122,14234.0
1698672659285.688,14224.0
1698672659306.164,14224.0
1698672659326.64,14219.0
1698672659347.116,14219.0
1698672659367.5918,14216.0
1698672659388.068,14211.0
1698672659408.5437,14187.0
1698672659429.0198,14200.0
1698672659449.4956,14199.0
1698672659469.9717,14197.0
1698672659490.4475,14192.0
1698672659510.9236,14183.0
1698672659531.3994,14181.0
1698672659551.8755,14132.0
1698672659572.3513,14119.0
1698672659592.8274,14129.0
1698672659613.3032,14129.0
1698672659633.779,14138.0
1698672659654.2551,14140.0
1698672659674.731,14137.0
1698672659695.207,14145.0
1698672659715.6829,14151.0
1698672659736.159,14167.0
1698672659756.6348,14188.0
1698672659777.1108,14206.0
1698672659797.587,14222.0
1698672659818.0627,14237.0
1698672659838.5386,14248.0
1698672659859.0146,14259.0
1698672659879.4905,14277.0
1698672659899.9666,14290.0
1698672659920.4424,14294.0
1698672659940.9185,14307.0
1698672659961.3943,14309.0
1698672659981.8704,14315.0
1698672660002.3462,14323.0
1698672660022.8225,14336.0
1698672660043.298,14347.0
1698672660063.7742,14350.0
1698672660084.25,14354.0
1698672660104.7258,14337.0
1698672660125.202,14352.0
1698672660145.6775,14357.0
1698672660166.1538,14358.0
1698672660186.6296,14369.0
1698672660207.1057,14379.0
1698672660227.5815,14387.0
1698672660248.0576,14397.0
1698672660268.5334,14415.0
1698672660289.0095,14428.0
1698672660309.4854,14439.0
1698672660329.9614,14455.0
1698672660350.4373,14458.0
1698672660370.913,14466.0
1698672660391.3892,14481.0
1698672660411.8652,14493.0
1698672660432.341,14503.0
1698672660452.8171,14517.0
1698672660473.293,14522.0
1698672660493.769,14536.0
1698672660514.2449,14547.0
1698672660534.721,14561.0
1698672660555.1968,14574.0
1698672660575.6726,14584.0
1698672660596.1487,14600.0
1698672660616.6245,14613.0
1698672660637.1006,14621.0
1698672660657.5764,14621.0
1698672660678.0525,14627.0
1698672660698.5283,14633.0
1698672660719.0044,14644.0
1698672660739.4802,14659.0
1698672660759.9563,14674.0
1698672660780.432,14693.0
1698672660800.9082,14707.0
1698672660821.384,14721.0
1698672660841.86,14728.0
1698672660862.336,14732.0
1698672660882.812,14731.0
1698672660903.2878,14735.0
1698672660923.764,14740.0
1698672660944.2395,14731.0
1698672660964.7158,14732.0
1698672660985.1917,14740.0
1698672661005.6675,14720.0
1698672661026.1436,14754.0
1698672661046.6196,14754.0
1698672661067.0957,14753.0
1698672661087.5713,14752.0
1698672661108.0474,14757.0
1698672661128.5232,14767.0
1698672661148.9993,14756.0
1698672661169.475,14764.0
1698672661189.9512,14782.0
1698672661210.427,14792.0
1698672661230.903,14807.0
1698672661251.379,14821.0
1698672661271.855,14820.0
1698672661292.3308,14830.0
1698672661312.807,14835.0
1698672661333.2827,14847.0
1698672661353.7588,14849.0
1698672661374.2346,14856.0
1698672661394.7107,14862.0
1698672661415.1863,14865.0
1698672661435.6626,14871.0
1698672661456.1384,14871.0
1698672661476.6145,14873.0
1698672661497.0903,14871.0
1698672661517.5664,14869.0
1698672661538.0422,14869.0
1698672661558.518,14868.0
1698672661578.994,14866.0
1698672661599.47,14864.0
1698672661619.946,14865.0
1698672661640.422,14867.0
1698672661660.898,14864.0
1698672661681.3738,14859.0
1698672661701.85,14865.0
1698672661722.3257,14868.0
1698672661742.8018,14864.0
1698672661763.2776,14865.0
1698672661783.7537,14864.0
1698672661804.2295,14864.0
1698672661824.7056,14863.0
1698672661845.1814,14863.0
1698672661865.6577,14860.0
1698672661886.1333,14862.0
1698672661906.6094,14860.0
1698672661927.0852,14858.0
1698672661947.5613,14855.0
1698672661968.037,14861.0
1698672661988.5132,14856.0
1698672662008.989,14856.0
1698672662029.4648,14853.0
1698672662049.941,14853.0
1698672662070.4167,14850.0
1698672662090.8928,14848.0
1698672662111.369,14850.0
1698672662131.8447,14845.0
1698672662152.3206,14841.0
1698672662172.7966,14842.0
1698672662193.2725,14837.0
1698672662213.7483,14834.0
1698672662234.2244,14832.0
1698672662254.7004,14828.0
1698672662275.1765,14828.0
1698672662295.6523,14823.0
1698672662316.1282,14826.0
1698672662336.6042,14830.0
1698672662357.08,14793.0
1698672662377.5562,14813.0
1698672662398.032,14803.0
1698672662418.508,14804.0
1698672662438.984,14807.0
1698672662459.46,14802.0
1698672662479.9358,14808.0
1698672662500.4116,14806.0
1698672662520.8877,14807.0
1698672662541.3635,14811.0
1698672662561.8396,14807.0
1698672662582.3154,14807.0
1698672662602.7915,14806.0
1698672662623.267,14808.0
1698672662643.7434,14806.0
1698672662664.2192,14805.0
1698672662684.6953,14803.0
1698672662705.1711,14802.0
1698672662725.6472,14806.0
1698672662746.123,14802.0
1698672662766.599,14800.0
1698672662787.075,14795.0
1698672662807.551,14793.0
1698672662828.0269,14791.0
1698672662848.503,14790.0
1698672662868.9788,14791.0
1698672662889.4548,14788.0
1698672662909.931,14783.0
1698672662930.4067,14780.0
1698672662950.8826,14780.0
1698672662971.3586,14776.0
1698672662991.8345,14772.0
1698672663012.3103,14772.0
1698672663032.7864,14768.0
1698672663053.2622,14769.0
1698672663073.7383,14770.0
1698672663094.214,14772.0
1698672663114.6902,14775.0
1698672663135.166,14743.0
1698672663155.642,14746.0
1698672663176.118,14744.0
1698672663196.594,14735.0
1698672663217.0698,14733.0
1698672663237.546,14731.0
1698672663258.0215,14737.0
1698672663278.4978,14737.0
1698672663298.9736,14740.0
1698672663319.4497,14744.0
1698672663339.9255,14752.0
1698672663360.4016,14754.0
1698672663380.8774,14762.0
1698672663401.3535,14769.0
1698672663421.829,14778.0
1698672663442.3054,14789.0
1698672663462.7812,14797.0
1698672663483.257,14805.0
1698672663503.7332,14815.0
1698672663524.209,14827.0
1698672663544.685,14837.0
1698672663565.161,14818.0
1698672663585.637,14842.0
1698672663606.1128,14859.0
1698672663626.5889,14863.0
1698672663647.0647,14866.0
1698672663667.5408,14881.0
1698672663688.0166,14887.0
1698672663708.493,14889.0
1698672663728.9685,14904.0
1698672663749.4446,14904.0
1698672663769.9204,14914.0
1698672663790.3965,14916.0
1698672663810.8723,14922.0
1698672663831.3484,14932.0
1698672663851.8242,14932.0
1698672663872.3003,14939.0
1698672663892.776,14944.0
1698672663913.2522,14954.0
1698672663933.728,14957.0
1698672663954.204,14958.0
1698672663974.68,14964.0
1698672663995.1558,14973.0
1698672664015.6318,14977.0
1698672664036.1077,14979.0
1698672664056.5835,14982.0
1698672664077.0596,14995.0
1698672664097.5356,15000.0
1698672664118.0117,15011.0
1698672664138.4875,15018.0
1698672664158.9634,15027.0
1698672664179.4397,15033.0
1698672664199.9153,15039.0
1698672664220.3914,15037.0
1698672664240.8672,15039.0
1698672664261.3433,15037.0
1698672664281.819,15040.0
1698672664302.2952,15040.0
1698672664322.771,15041.0
1698672664343.247,15047.0
1698672664363.723,15046.0
1698672664384.199,15047.0
1698672664404.6748,15051.0
1698672664425.151,15048.0
1698672664445.6267,15046.0
1698672664466.1023,15020.0
1698672664486.5786,15039.0
1698672664507.0544,15032.0
1698672664527.5305,15031.0
1698672664548.0063,15025.0
1698672664568.4824,15020.0
1698672664588.9585,15020.0
1698672664609.4343,15020.0
1698672664629.9102,15011.0
1698672664650.3862,15005.0
1698672664670.862,15007.0
1698672664691.338,15016.0
1698672664711.814,15031.0
1698672664732.29,15020.0
1698672664752.766,15043.0
1698672664773.242,15045.0
1698672664793.7178,15053.0
1698672664814.1938,15062.0
1698672664834.6697,15067.0
1698672664855.1458,15066.0
1698672664875.6216,15060.0
1698672664896.0977,15051.0
1698672664916.5735,15042.0
1698672664937.0493,15035.0
1698672664957.5254,15026.0
1698672664978.0012,15020.0
1698672664998.4773,15017.0
1698672665018.9531,15017.0
1698672665039.4292,15011.0
1698672665059.905,15008.0
1698672665080.381,15004.0
1698672665100.857,15007.0
1698672665121.333,15007.0
1698672665141.8088,15005.0
1698672665162.285,15007.0
1698672665182.7607,15011.0
1698672665203.2368,15017.0
1698672665223.7126,15020.0
1698672665244.1887,15014.0
1698672665264.6646,15015.0
1698672665285.1406,15022.0
1698672665305.6165,15020.0
1698672665326.0923,15023.0
1698672665346.5684,15022.0
1698672665367.0444,15024.0
1698672665387.5205,15029.0
1698672665407.996,15034.0
1698672665428.4722,15042.0
1698672665448.948,15047.0
1698672665469.424,15054.0
1698672665489.9,15058.0
1698672665510.376,15059.0
1698672665530.8518,15060.0
1698672665551.328,15060.0
1698672665571.8037,15063.0
1698672665592.2798,15062.0
1698672665612.7556,15060.0
1698672665633.2317,15061.0
1698672665653.7075,15059.0
1698672665674.1836,15064.0
1698672665694.6594,15064.0
1698672665715.1355,15061.0
1698672665735.611,15066.0
1698672665756.0874,15061.0
1698672665776.5632,15063.0
1698672665797.0393,15063.0
1698672665817.5151,15065.0
1698672665837.9912,15064.0
1698672665858.467,15064.0
1698672665878.9429,15068.0
1698672665899.419,15074.0
1698672665919.8948,15071.0
1698672665940.3708,15076.0
1698672665960.8467,15078.0
1698672665981.3228,15080.0
1698672666001.7986,15084.0
1698672666022.275,15089.0
1698672666042.7505,15090.0
1698672666063.2266,15088.0
1698672666083.7024,15092.0
1698672666104.1785,15095.0
1698672666124.6543,15094.0
1698672666145.1304,15098.0
1698672666165.6062,15088.0
1698672666186.0825,15095.0
1698672666206.558,15095.0
1698672666227.0342,15103.0
1698672666247.51,15093.0
1698672666267.986,15085.0
1698672666288.462,15085.0
1698672666308.938,15084.0
1698672666329.4138,15086.0
1698672666349.89,15085.0
1698672666370.3655,15085.0
1698672666390.8416,15085.0
1698672666411.3176,15080.0
1698672666431.7937,15082.0
1698672666452.2695,15080.0
1698672666472.7454,15058.0
1698672666493.2214,15076.0
1698672666513.6973,15079.0
1698672666534.173,15079.0
1698672666554.6492,15083.0
1698672666575.1252,15083.0
1698672666595.601,15059.0
1698672666616.0771,15080.0
1698672666636.553,15082.0
1698672666657.029,15069.0
1698672666677.505,15069.0
1698672666697.981,15071.0
1698672666718.4568,15072.0
1698672666738.9329,15069.0
1698672666759.4087,15068.0
1698672666779.8848,15072.0
1698672666800.3606,15070.0
1698672666820.837,15069.0
1698672666841.3125,15064.0
1698672666861.7883,15064.0
1698672666882.2644,15069.0
1698672666902.7402,15069.0
1698672666923.2163,15068.0
1698672666943.692,15065.0
1698672666964.1682,15066.0
1698672666984.644,15072.0
1698672667005.12,15078.0
1698672667025.596,15075.0
1698672667046.072,15073.0
1698672667066.548,15072.0
1698672667087.024,15085.0
1698672667107.4998,15081.0
1698672667127.9758,15077.0
1698672667148.4517,15075.0
1698672667168.9275,15078.0
1698672667189.4036,15081.0
1698672667209.8796,15076.0
1698672667230.3557,15083.0
