timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698672816.676,False,0.0,0,0,3862
1698672818.655,False,0.0,0,0,3862
1698672819.155,False,0.0,0,0,3862
1698672821.136,False,0.0,0,0,3862
1698672822.117,False,0.0,0,0,3862
1698672824.604,False,0.0,0,0,3862
1698672824.604,False,0.0,0,0,3862
1698672825.086,False,0.0,0,0,3862
1698672826.075,False,0.0,0,0,3862
1698672827.069,False,0.0,0,0,3862
1698672828.056,False,0.0,0,0,3862
1698672829.541,False,0.0,0,0,3862
1698672830.534,False,0.0,0,0,3862
1698672831.526,False,0.0,0,0,3862
1698672832.51,False,0.0,0,0,3862
1698672833.5,False,0.0,0,0,3862
1698672834.495,False,0.4140625,0,87,3879
1698672835.478,False,0.4140625,0,87,3879
1698672836.469,False,0.0,0,0,3879
1698672837.46,False,0.0,0,0,3879
1698672838.463,False,0.0,0,0,3879
1698672839.446,False,0.0,0,0,3879
1698672840.445,False,0.0,0,0,3879
1698672841.422,False,0.0,0,0,3879
1698672842.414,False,0.0,0,0,3879
1698672843.896,False,0.0,0,0,3879
1698672844.394,False,0.0,0,0,3879
1698672846.379,False,0.0,0,0,3879
