timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698676416.015,18,-77,-1012,26.0,26.0,18.0,441.0,87.0,843.0,521.0,772.0,1697.0,154.0,1074.0
1698676416.03,18,-77,-1011,24.0,24.0,19.0,441.0,87.0,842.0,524.0,794.0,1691.0,155.0,1074.0
1698676416.06,18,-77,-1012,25.0,28.0,16.0,440.0,87.0,841.0,527.0,704.0,1699.0,156.0,1090.0
1698676416.083,18,-77,-1011,27.0,26.0,17.0,441.0,87.0,840.0,524.0,704.0,1699.0,154.0,1069.0
1698676416.097,18,-77,-1012,26.0,25.0,14.0,441.0,88.0,840.0,531.0,691.0,1700.0,158.0,1063.0
1698676416.113,18,-77,-1012,29.0,23.0,17.0,441.0,88.0,839.0,529.0,693.0,1704.0,161.0,1070.0
1698676416.135,18,-77,-1013,30.0,25.0,15.0,441.0,87.0,839.0,536.0,696.0,1699.0,183.0,1069.0
1698676416.158,18,-77,-1012,28.0,26.0,16.0,442.0,87.0,839.0,533.0,694.0,1695.0,226.0,1059.0
1698676416.173,18,-77,-1012,29.0,27.0,14.0,442.0,88.0,839.0,531.0,737.0,1693.0,153.0,1060.0
1698676416.202,18,-77,-1012,30.0,27.0,15.0,442.0,87.0,840.0,531.0,709.0,1697.0,152.0,1067.0
1698676416.232,18,-78,-1011,29.0,26.0,15.0,443.0,87.0,839.0,529.0,738.0,1695.0,152.0,1072.0
1698676416.236,18,-78,-1012,30.0,24.0,13.0,443.0,88.0,840.0,530.0,707.0,1698.0,152.0,1062.0
1698676416.255,17,-77,-1013,29.0,27.0,16.0,443.0,89.0,840.0,538.0,730.0,1707.0,154.0,956.0
1698676416.277,17,-77,-1014,33.0,27.0,15.0,443.0,89.0,839.0,540.0,772.0,1694.0,149.0,985.0
1698676416.293,17,-78,-1013,30.0,30.0,17.0,444.0,89.0,840.0,539.0,808.0,1697.0,146.0,878.0
1698676416.315,17,-77,-1013,30.0,27.0,18.0,444.0,89.0,840.0,539.0,802.0,1699.0,142.0,877.0
1698676416.338,18,-77,-1012,31.0,29.0,17.0,444.0,90.0,840.0,530.0,834.0,1696.0,135.0,862.0
1698676416.36,18,-77,-1011,31.0,32.0,18.0,444.0,90.0,840.0,535.0,779.0,1709.0,122.0,818.0
1698676416.383,18,-76,-1012,31.0,30.0,17.0,443.0,90.0,841.0,535.0,778.0,1712.0,126.0,817.0
1698676416.405,17,-77,-1012,32.0,32.0,14.0,443.0,90.0,841.0,534.0,836.0,1713.0,134.0,802.0
1698676416.413,18,-77,-1012,30.0,31.0,15.0,443.0,90.0,841.0,536.0,715.0,1717.0,111.0,822.0
1698676416.435,17,-77,-1011,32.0,30.0,17.0,443.0,90.0,841.0,558.0,491.0,1739.0,97.0,843.0
1698676416.457,17,-78,-1012,29.0,29.0,16.0,443.0,90.0,842.0,559.0,497.0,1736.0,90.0,850.0
1698676416.473,17,-78,-1012,31.0,31.0,16.0,443.0,89.0,842.0,556.0,485.0,1729.0,87.0,821.0
1698676416.495,17,-78,-1011,31.0,33.0,17.0,442.0,89.0,843.0,559.0,456.0,1739.0,90.0,792.0
1698676416.518,17,-77,-1012,30.0,29.0,16.0,443.0,89.0,845.0,554.0,458.0,1720.0,207.0,741.0
1698676416.533,16,-77,-1012,31.0,30.0,16.0,443.0,89.0,847.0,543.0,476.0,1703.0,76.0,719.0
1698676416.555,17,-76,-1013,32.0,29.0,14.0,443.0,89.0,848.0,531.0,688.0,1708.0,29.0,563.0
1698676416.57,17,-77,-1013,32.0,31.0,15.0,442.0,89.0,847.0,516.0,851.0,1687.0,37.0,553.0
1698676416.593,16,-77,-1012,31.0,30.0,16.0,442.0,89.0,848.0,517.0,865.0,1677.0,0.0,563.0
1698676416.623,17,-76,-1012,29.0,29.0,16.0,442.0,90.0,848.0,518.0,865.0,1662.0,0.0,593.0
1698676416.645,17,-76,-1012,30.0,29.0,15.0,442.0,90.0,847.0,541.0,650.0,1682.0,0.0,606.0
1698676416.66,17,-76,-1012,30.0,30.0,16.0,442.0,90.0,847.0,536.0,638.0,1671.0,0.0,702.0
1698676416.675,17,-75,-1011,31.0,31.0,19.0,443.0,90.0,846.0,531.0,654.0,1671.0,0.0,669.0
1698676416.698,16,-76,-1010,30.0,32.0,16.0,443.0,90.0,847.0,506.0,662.0,1594.0,0.0,553.0
1698676416.713,16,-76,-1010,30.0,30.0,15.0,442.0,90.0,846.0,501.0,668.0,1559.0,0.0,568.0
1698676416.735,16,-76,-1010,30.0,30.0,14.0,443.0,90.0,846.0,495.0,679.0,1553.0,0.0,639.0
1698676416.765,16,-76,-1011,29.0,27.0,14.0,444.0,89.0,845.0,496.0,680.0,1561.0,0.0,619.0
1698676416.773,16,-76,-1011,31.0,29.0,15.0,444.0,90.0,845.0,512.0,498.0,1568.0,0.0,642.0
1698676416.795,16,-76,-1011,32.0,29.0,15.0,443.0,91.0,845.0,515.0,423.0,1580.0,0.0,571.0
1698676416.817,16,-76,-1010,30.0,28.0,15.0,443.0,91.0,845.0,494.0,721.0,1534.0,0.0,580.0
1698676416.833,16,-77,-1011,27.0,28.0,17.0,444.0,91.0,844.0,504.0,500.0,1551.0,0.0,588.0
1698676416.855,15,-77,-1011,25.0,28.0,17.0,443.0,92.0,844.0,512.0,440.0,1540.0,0.0,617.0
1698676416.87,15,-77,-1011,29.0,26.0,14.0,443.0,92.0,845.0,511.0,394.0,1546.0,0.0,590.0
1698676416.893,15,-77,-1011,26.0,25.0,15.0,442.0,92.0,845.0,511.0,397.0,1531.0,0.0,564.0
1698676416.916,16,-77,-1011,28.0,25.0,15.0,442.0,91.0,844.0,514.0,395.0,1517.0,0.0,578.0
1698676416.938,15,-77,-1011,26.0,26.0,16.0,442.0,92.0,843.0,509.0,386.0,1545.0,0.0,608.0
1698676416.96,15,-77,-1011,27.0,25.0,19.0,442.0,91.0,843.0,510.0,381.0,1543.0,0.0,661.0
1698676416.975,15,-76,-1012,28.0,25.0,18.0,443.0,91.0,840.0,510.0,378.0,1543.0,0.0,694.0
1698676416.998,14,-76,-1011,27.0,23.0,18.0,444.0,91.0,841.0,510.0,395.0,1541.0,0.0,716.0
1698676417.02,14,-76,-1011,27.0,22.0,17.0,445.0,90.0,840.0,510.0,392.0,1551.0,0.0,722.0
1698676417.043,14,-76,-1012,28.0,19.0,16.0,444.0,90.0,841.0,511.0,398.0,1561.0,0.0,726.0
1698676417.064,15,-76,-1011,27.0,22.0,17.0,444.0,89.0,842.0,508.0,395.0,1556.0,0.0,733.0
