timestamp,abs,alpha,beta,gamma
1698673075.008,False,134.5,85.30000000000001,-49.0
1698673075.025,False,134.70000000000002,85.30000000000001,-49.1
1698673075.041,False,134.6,85.30000000000001,-48.900000000000006
1698673075.06,False,134.0,85.30000000000001,-48.400000000000006
1698673075.075,False,133.70000000000002,85.30000000000001,-48.0
1698673075.091,False,132.8,85.2,-47.1
1698673075.108,False,132.20000000000002,85.2,-46.5
1698673075.124,False,131.1,85.10000000000001,-45.300000000000004
1698673075.141,False,130.4,85.10000000000001,-44.6
1698673075.158,False,130.3,85.10000000000001,-44.400000000000006
1698673075.175,False,130.20000000000002,85.10000000000001,-44.300000000000004
1698673075.192,False,130.4,85.10000000000001,-44.5
1698673075.241,False,130.8,85.2,-44.7
1698673075.258,False,130.9,85.2,-44.800000000000004
1698673075.275,False,130.8,85.2,-44.7
1698673075.293,False,129.9,85.10000000000001,-43.900000000000006
1698673075.308,False,129.4,85.10000000000001,-43.400000000000006
1698673075.324,False,128.8,85.2,-42.800000000000004
1698673075.341,False,128.70000000000002,85.2,-42.7
1698673075.359,False,129.20000000000002,85.30000000000001,-43.2
1698673075.375,False,130.6,85.30000000000001,-44.6
1698673075.392,False,131.4,85.4,-45.400000000000006
1698673075.408,False,132.9,85.4,-46.900000000000006
1698673075.425,False,133.9,85.4,-47.900000000000006
1698673075.442,False,134.5,85.5,-48.5
1698673075.458,False,134.4,85.60000000000001,-48.300000000000004
1698673075.475,False,134.4,85.60000000000001,-48.2
1698673075.492,False,134.8,85.60000000000001,-48.5
1698673075.508,False,135.20000000000002,85.60000000000001,-48.900000000000006
1698673075.524,False,136.4,85.60000000000001,-49.900000000000006
1698673075.541,False,138.0,85.7,-51.400000000000006
1698673075.558,False,139.8,85.7,-53.2
1698673075.575,False,140.9,85.80000000000001,-54.2
1698673075.591,False,143.3,85.9,-56.7
1698673075.608,False,146.4,86.0,-59.800000000000004
1698673075.626,False,148.0,86.10000000000001,-61.5
1698673075.641,False,151.20000000000002,86.2,-64.8
1698673075.658,False,153.3,86.30000000000001,-67.0
1698673075.676,False,154.3,86.30000000000001,-68.0
1698673075.694,False,155.3,86.30000000000001,-69.0
1698673075.725,False,154.20000000000002,86.2,-67.9
1698673075.741,False,152.20000000000002,86.10000000000001,-65.8
1698673075.758,False,151.0,86.10000000000001,-64.5
1698673075.775,False,148.20000000000002,85.9,-61.6
1698673075.792,False,145.20000000000002,85.80000000000001,-58.400000000000006
1698673075.811,False,142.6,85.60000000000001,-55.7
1698673075.825,False,141.70000000000002,85.5,-54.7
1698673075.841,False,140.4,85.30000000000001,-53.300000000000004
1698673075.857,False,139.9,85.30000000000001,-52.800000000000004
1698673075.891,False,140.9,85.4,-53.7
1698673075.908,False,143.3,85.5,-56.1
1698673075.924,False,145.1,85.60000000000001,-58.0
1698673075.941,False,149.8,85.7,-62.7
1698673075.958,False,154.9,85.80000000000001,-67.8
1698673075.974,False,157.20000000000002,85.80000000000001,-70.2
1698673075.991,False,160.70000000000002,85.9,-73.7
1698673076.007,False,161.9,85.9,-75.0
1698673076.024,False,161.5,85.9,-74.60000000000001
1698673076.041,False,158.8,85.9,-71.9
1698673076.057,False,154.3,85.80000000000001,-67.4
1698673076.074,False,149.20000000000002,85.7,-62.300000000000004
1698673076.091,False,146.70000000000002,85.60000000000001,-59.7
1698673076.107,False,142.20000000000002,85.4,-55.2
1698673076.124,False,138.6,85.4,-51.7
1698673076.141,False,137.3,85.4,-50.400000000000006
1698673076.158,False,136.1,85.4,-49.2
1698673076.174,False,137.8,85.5,-51.0
1698673076.191,False,139.1,85.60000000000001,-52.300000000000004
1698673076.207,False,142.20000000000002,85.80000000000001,-55.400000000000006
1698673076.224,False,144.20000000000002,85.9,-57.400000000000006
1698673076.241,False,148.3,86.10000000000001,-61.5
1698673076.258,False,152.1,86.2,-65.3
1698673076.274,False,154.8,86.30000000000001,-68.10000000000001
1698673076.291,False,155.3,86.4,-68.60000000000001
1698673076.308,False,154.60000000000002,86.4,-68.0
1698673076.324,False,151.9,86.4,-65.4
1698673076.341,False,150.20000000000002,86.30000000000001,-63.7
1698673076.358,False,146.5,86.2,-60.0
1698673076.375,False,144.6,86.10000000000001,-58.1
1698673076.391,False,141.20000000000002,86.0,-54.7
1698673076.408,False,138.70000000000002,85.80000000000001,-52.300000000000004
1698673076.424,False,137.70000000000002,85.80000000000001,-51.300000000000004
1698673076.441,False,137.8,85.7,-51.400000000000006
1698673076.458,False,138.9,85.80000000000001,-52.5
1698673076.474,False,141.5,85.80000000000001,-55.0
1698673076.492,False,143.1,85.9,-56.7
1698673076.508,False,146.70000000000002,86.0,-60.300000000000004
1698673076.524,False,150.20000000000002,86.10000000000001,-63.7
1698673076.541,False,151.8,86.10000000000001,-65.3
1698673076.558,False,154.10000000000002,86.10000000000001,-67.60000000000001
1698673076.574,False,155.10000000000002,86.10000000000001,-68.5
1698673076.592,False,154.9,86.10000000000001,-68.3
1698673076.608,False,154.20000000000002,86.10000000000001,-67.5
1698673076.624,False,152.0,86.0,-65.3
1698673076.641,False,150.8,86.0,-64.10000000000001
1698673076.665,False,147.20000000000002,85.9,-60.5
1698673076.674,False,146.20000000000002,85.9,-59.5
1698673076.692,False,144.8,85.80000000000001,-58.1
1698673076.708,False,144.4,85.80000000000001,-57.7
1698673076.724,False,144.20000000000002,85.80000000000001,-57.5
1698673076.741,False,144.4,85.80000000000001,-57.7
1698673076.758,False,145.4,85.80000000000001,-58.7
1698673076.774,False,146.9,85.80000000000001,-60.2
1698673076.791,False,147.70000000000002,85.80000000000001,-61.0
1698673076.808,False,149.20000000000002,85.80000000000001,-62.400000000000006
1698673076.824,False,150.1,85.80000000000001,-63.300000000000004
1698673076.841,False,150.3,85.80000000000001,-63.5
1698673076.858,False,150.4,85.80000000000001,-63.6
1698673076.874,False,150.3,85.80000000000001,-63.5
1698673076.891,False,149.8,85.7,-63.0
1698673076.908,False,149.4,85.7,-62.5
1698673076.925,False,148.8,85.7,-61.900000000000006
1698673076.942,False,148.6,85.7,-61.800000000000004
1698673076.958,False,148.8,85.7,-62.0
1698673076.976,False,149.1,85.7,-62.300000000000004
1698673076.992,False,150.9,85.80000000000001,-64.10000000000001
1698673077.009,False,151.70000000000002,85.80000000000001,-64.9
1698673077.024,False,153.5,85.80000000000001,-66.8
1698673077.041,False,154.4,85.9,-67.7
1698673077.058,False,155.70000000000002,85.9,-68.9
1698673077.075,False,156.4,85.9,-69.60000000000001
1698673077.092,False,156.10000000000002,85.80000000000001,-69.3
1698673077.108,False,155.70000000000002,85.80000000000001,-68.9
1698673077.124,False,154.70000000000002,85.80000000000001,-67.8
1698673077.141,False,153.3,85.80000000000001,-66.4
1698673077.158,False,152.70000000000002,85.80000000000001,-65.8
1698673077.174,False,151.70000000000002,85.80000000000001,-64.7
1698673077.192,False,151.3,85.80000000000001,-64.3
1698673077.208,False,150.6,85.7,-63.6
1698673077.225,False,150.1,85.7,-63.1
1698673077.241,False,149.70000000000002,85.7,-62.7
1698673077.26,False,149.20000000000002,85.7,-62.2
1698673077.274,False,149.1,85.7,-62.0
1698673077.291,False,148.70000000000002,85.7,-61.7
1698673077.308,False,148.5,85.7,-61.400000000000006
1698673077.325,False,148.3,85.7,-61.300000000000004
1698673077.341,False,148.5,85.7,-61.5
1698673077.358,False,148.8,85.7,-61.7
1698673077.376,False,149.4,85.60000000000001,-62.300000000000004
1698673077.392,False,149.70000000000002,85.60000000000001,-62.6
1698673077.408,False,150.1,85.60000000000001,-62.900000000000006
1698673077.424,False,149.8,85.60000000000001,-62.6
1698673077.441,False,148.70000000000002,85.60000000000001,-61.400000000000006
1698673077.457,False,147.1,85.60000000000001,-59.900000000000006
1698673077.474,False,146.3,85.60000000000001,-59.1
1698673077.492,False,144.8,85.5,-57.5
1698673077.508,False,143.8,85.5,-56.5
1698673077.524,False,143.4,85.4,-56.1
1698673077.541,False,143.0,85.4,-55.7
1698673077.557,False,142.9,85.4,-55.6
1698673077.575,False,143.20000000000002,85.5,-55.900000000000006
1698673077.591,False,144.3,85.5,-57.0
1698673077.608,False,146.3,85.60000000000001,-59.1
1698673077.625,False,147.5,85.60000000000001,-60.300000000000004
1698673077.642,False,148.6,85.7,-61.5
1698673077.658,False,150.8,85.7,-63.7
1698673077.675,False,152.1,85.7,-65.10000000000001
1698673077.691,False,152.5,85.7,-65.60000000000001
1698673077.708,False,152.5,85.80000000000001,-65.7
1698673077.741,False,152.1,85.80000000000001,-65.4
1698673077.757,False,151.70000000000002,85.80000000000001,-64.9
1698673077.774,False,151.5,85.80000000000001,-64.8
1698673077.791,False,151.4,85.80000000000001,-64.60000000000001
1698673077.808,False,151.70000000000002,85.80000000000001,-64.9
1698673077.824,False,152.0,85.9,-65.10000000000001
1698673077.841,False,152.6,85.9,-65.7
1698673077.858,False,152.70000000000002,85.9,-65.7
1698673077.875,False,152.5,85.9,-65.5
1698673077.891,False,151.8,85.9,-64.9
1698673077.907,False,150.9,85.9,-63.900000000000006
1698673077.925,False,150.4,85.9,-63.400000000000006
1698673077.941,False,150.1,86.0,-63.2
1698673077.957,False,150.20000000000002,86.0,-63.300000000000004
1698673077.974,False,150.4,86.0,-63.5
1698673077.991,False,151.4,86.10000000000001,-64.60000000000001
1698673078.008,False,153.4,86.10000000000001,-66.60000000000001
1698673078.024,False,155.9,86.2,-69.2
1698673078.041,False,157.3,86.2,-70.60000000000001
1698673078.057,False,159.3,86.2,-72.60000000000001
1698673078.075,False,159.8,86.2,-73.10000000000001
1698673078.108,False,158.70000000000002,86.10000000000001,-72.0
1698673078.124,False,156.70000000000002,86.10000000000001,-70.0
1698673078.141,False,155.5,86.0,-68.8
1698673078.158,False,153.4,86.0,-66.60000000000001
1698673078.174,False,151.4,86.0,-64.60000000000001
1698673078.191,False,150.6,86.0,-63.7
1698673078.208,False,149.70000000000002,86.0,-62.800000000000004
1698673078.241,False,150.3,86.0,-63.400000000000006
1698673078.257,False,151.8,86.10000000000001,-64.9
1698673078.274,False,153.8,86.10000000000001,-66.9
1698673078.291,False,154.9,86.10000000000001,-68.0
1698673078.308,False,156.9,86.2,-69.9
1698673078.324,False,157.70000000000002,86.2,-70.8
1698673078.341,False,158.70000000000002,86.2,-71.8
1698673078.374,False,158.3,86.10000000000001,-71.4
1698673078.391,False,157.0,86.10000000000001,-70.0
1698673078.407,False,155.60000000000002,86.10000000000001,-68.60000000000001
1698673078.424,False,154.20000000000002,86.0,-67.2
1698673078.441,False,153.70000000000002,86.0,-66.7
1698673078.458,False,152.9,86.0,-65.9
1698673078.475,False,152.70000000000002,86.0,-65.7
1698673078.508,False,153.4,86.0,-66.4
1698673078.525,False,154.3,86.0,-67.3
1698673078.541,False,154.70000000000002,86.0,-67.7
1698673078.558,False,155.60000000000002,86.0,-68.60000000000001
1698673078.574,False,156.5,86.0,-69.60000000000001
1698673078.591,False,156.9,86.0,-69.9
1698673078.608,False,157.3,86.0,-70.3
1698673078.624,False,157.3,86.0,-70.4
1698673078.641,False,157.20000000000002,86.0,-70.2
1698673078.66,False,156.9,86.0,-70.0
1698673078.674,False,156.60000000000002,86.0,-69.60000000000001
1698673078.691,False,155.60000000000002,86.0,-68.7
1698673078.708,False,154.3,85.9,-67.4
1698673078.725,False,153.20000000000002,85.80000000000001,-66.2
1698673078.741,False,152.9,85.80000000000001,-65.9
1698673078.758,False,151.9,85.7,-64.9
1698673078.774,False,150.4,85.7,-63.400000000000006
1698673078.791,False,149.6,85.7,-62.6
1698673078.808,False,148.0,85.7,-61.0
1698673078.824,False,146.70000000000002,85.7,-59.800000000000004
1698673078.841,False,146.4,85.7,-59.5
1698673078.86,False,145.9,85.7,-59.2
1698673078.907,False,144.6,85.80000000000001,-58.2
1698673078.924,False,143.3,85.80000000000001,-56.900000000000006
1698673078.941,False,142.70000000000002,85.80000000000001,-56.400000000000006
1698673078.959,False,141.4,85.80000000000001,-55.1
1698673078.975,False,139.70000000000002,85.80000000000001,-53.5
1698673078.991,False,138.8,85.7,-52.6
1698673079.008,False,136.1,85.60000000000001,-49.800000000000004
1698673079.024,False,135.3,85.5,-49.0
1698673079.042,False,134.0,85.4,-47.5
1698673079.057,False,133.5,85.30000000000001,-47.0
1698673079.075,False,133.70000000000002,85.30000000000001,-47.0
1698673079.091,False,134.0,85.30000000000001,-47.300000000000004
1698673079.108,False,134.4,85.30000000000001,-47.6
1698673079.124,False,134.9,85.30000000000001,-48.1
1698673079.141,False,136.1,85.4,-49.2
1698673079.159,False,137.4,85.5,-50.5
1698673079.175,False,138.3,85.5,-51.5
1698673079.191,False,138.9,85.60000000000001,-52.1
1698673079.208,False,138.70000000000002,85.60000000000001,-51.900000000000006
1698673079.225,False,138.0,85.60000000000001,-51.400000000000006
1698673079.241,False,137.0,85.60000000000001,-50.400000000000006
1698673079.258,False,136.3,85.5,-49.800000000000004
1698673079.274,False,134.8,85.4,-48.400000000000006
1698673079.291,False,133.3,85.4,-46.900000000000006
1698673079.308,False,132.3,85.2,-45.900000000000006
1698673079.324,False,132.1,85.2,-45.800000000000004
1698673079.341,False,131.9,85.10000000000001,-45.6
1698673079.374,False,132.20000000000002,85.10000000000001,-45.900000000000006
1698673079.391,False,132.8,85.10000000000001,-46.5
1698673079.407,False,133.20000000000002,85.10000000000001,-46.800000000000004
1698673079.424,False,134.1,85.2,-47.7
1698673079.441,False,134.9,85.2,-48.5
1698673079.458,False,135.20000000000002,85.30000000000001,-48.800000000000004
1698673079.474,False,135.70000000000002,85.30000000000001,-49.300000000000004
1698673079.491,False,135.9,85.30000000000001,-49.400000000000006
1698673079.524,False,135.5,85.4,-49.0
1698673079.558,False,135.3,85.30000000000001,-48.900000000000006
1698673079.575,False,135.3,85.30000000000001,-48.800000000000004
1698673079.591,False,135.3,85.30000000000001,-48.900000000000006
1698673079.608,False,135.5,85.4,-49.1
1698673079.641,False,135.9,85.4,-49.400000000000006
1698673079.659,False,136.1,85.4,-49.6
1698673079.675,False,136.5,85.4,-50.0
1698673079.691,False,136.8,85.4,-50.400000000000006
1698673079.707,False,137.1,85.4,-50.6
1698673079.724,False,137.20000000000002,85.4,-50.7
1698673079.741,False,137.5,85.4,-51.0
1698673079.758,False,137.6,85.4,-51.1
1698673079.774,False,137.8,85.4,-51.400000000000006
1698673079.791,False,138.0,85.4,-51.6
1698673079.807,False,138.20000000000002,85.4,-51.800000000000004
1698673079.825,False,138.6,85.4,-52.1
1698673079.841,False,138.70000000000002,85.4,-52.300000000000004
1698673079.858,False,138.8,85.4,-52.400000000000006
1698673079.894,False,139.0,85.5,-52.5
1698673079.907,False,139.1,85.5,-52.6
1698673079.925,False,139.3,85.5,-52.800000000000004
1698673079.958,False,139.0,85.5,-52.5
1698673079.991,False,138.70000000000002,85.60000000000001,-52.300000000000004
1698673080.007,False,139.0,85.60000000000001,-52.5
1698673080.041,False,140.20000000000002,85.5,-53.800000000000004
1698673080.057,False,141.1,85.5,-54.800000000000004
1698673080.074,False,141.5,85.5,-55.2
1698673080.091,False,142.4,85.60000000000001,-56.0
1698673080.107,False,143.1,85.60000000000001,-56.6
1698673080.124,False,143.6,85.60000000000001,-57.2
1698673080.141,False,143.70000000000002,85.7,-57.300000000000004
1698673080.158,False,143.8,85.7,-57.400000000000006
1698673080.174,False,144.0,85.7,-57.5
1698673080.191,False,144.1,85.7,-57.7
1698673080.207,False,144.5,85.7,-58.1
1698673080.224,False,144.8,85.7,-58.400000000000006
1698673080.241,False,145.70000000000002,85.7,-59.2
1698673080.258,False,146.8,85.7,-60.300000000000004
1698673080.274,False,147.3,85.7,-60.800000000000004
1698673080.293,False,147.9,85.7,-61.400000000000006
1698673080.308,False,148.1,85.80000000000001,-61.6
1698673080.341,False,148.1,85.80000000000001,-61.5
1698673080.358,False,147.9,85.7,-61.400000000000006
1698673080.375,False,147.9,85.7,-61.300000000000004
1698673080.391,False,147.9,85.7,-61.400000000000006
1698673080.424,False,148.3,85.7,-61.800000000000004
1698673080.441,False,149.0,85.7,-62.400000000000006
1698673080.458,False,150.0,85.7,-63.400000000000006
1698673080.475,False,150.3,85.7,-63.7
1698673080.491,False,150.8,85.7,-64.2
1698673080.508,False,151.0,85.7,-64.3
1698673080.525,False,150.70000000000002,85.7,-64.10000000000001
1698673080.541,False,150.3,85.7,-63.7
1698673080.558,False,149.8,85.7,-63.2
1698673080.576,False,149.4,85.7,-62.7
1698673080.591,False,149.20000000000002,85.7,-62.6
1698673080.607,False,149.1,85.7,-62.5
1698673080.624,False,149.3,85.7,-62.7
1698673080.642,False,149.4,85.7,-62.900000000000006
1698673080.658,False,149.9,85.7,-63.400000000000006
1698673080.674,False,150.20000000000002,85.7,-63.7
1698673080.691,False,150.8,85.60000000000001,-64.3
1698673080.708,False,151.20000000000002,85.60000000000001,-64.60000000000001
1698673080.758,False,150.9,85.60000000000001,-64.3
1698673080.775,False,150.6,85.60000000000001,-64.0
1698673080.792,False,150.4,85.60000000000001,-63.800000000000004
1698673080.808,False,150.20000000000002,85.60000000000001,-63.5
1698673080.824,False,150.0,85.60000000000001,-63.400000000000006
1698673080.841,False,150.0,85.60000000000001,-63.300000000000004
1698673080.858,False,150.1,85.60000000000001,-63.5
1698673080.875,False,150.3,85.60000000000001,-63.7
1698673080.892,False,150.5,85.60000000000001,-63.900000000000006
1698673080.908,False,151.0,85.7,-64.4
1698673080.924,False,151.4,85.7,-64.7
1698673080.958,False,151.6,85.7,-64.9
1698673080.974,False,151.4,85.7,-64.8
1698673080.99,False,151.3,85.60000000000001,-64.60000000000001
1698673081.007,False,151.1,85.60000000000001,-64.5
1698673081.041,False,150.8,85.60000000000001,-64.2
1698673081.074,False,151.0,85.60000000000001,-64.3
1698673081.091,False,151.5,85.60000000000001,-64.8
1698673081.108,False,151.70000000000002,85.60000000000001,-65.10000000000001
1698673081.124,False,152.3,85.60000000000001,-65.60000000000001
1698673081.141,False,152.5,85.60000000000001,-65.8
1698673081.157,False,152.8,85.60000000000001,-66.10000000000001
1698673081.224,False,152.70000000000002,85.60000000000001,-66.0
1698673081.241,False,152.6,85.60000000000001,-65.9
1698673081.275,False,152.5,85.60000000000001,-65.8
1698673081.324,False,152.70000000000002,85.60000000000001,-66.0
1698673081.341,False,153.0,85.60000000000001,-66.3
1698673081.358,False,153.20000000000002,85.60000000000001,-66.5
1698673081.375,False,153.4,85.7,-66.7
1698673081.459,False,153.20000000000002,85.60000000000001,-66.5
1698673081.475,False,153.0,85.7,-66.3
1698673081.491,False,152.70000000000002,85.7,-66.0
1698673081.507,False,152.5,85.7,-65.8
1698673081.658,False,152.3,85.7,-65.60000000000001
1698673081.674,False,152.1,85.7,-65.4
1698673081.692,False,152.0,85.60000000000001,-65.2
1698673081.758,False,151.8,85.60000000000001,-65.10000000000001
1698673081.774,False,151.70000000000002,85.60000000000001,-64.9
1698673081.791,False,151.6,85.60000000000001,-64.8
1698673081.808,False,151.3,85.60000000000001,-64.5
1698673081.824,False,151.1,85.60000000000001,-64.4
1698673081.841,False,150.70000000000002,85.60000000000001,-64.0
1698673081.858,False,150.5,85.60000000000001,-63.800000000000004
1698673081.874,False,149.9,85.60000000000001,-63.300000000000004
1698673081.891,False,149.5,85.60000000000001,-62.900000000000006
1698673081.907,False,149.3,85.60000000000001,-62.7
1698673081.924,False,148.8,85.60000000000001,-62.2
1698673081.941,False,148.20000000000002,85.60000000000001,-61.6
1698673081.957,False,147.8,85.60000000000001,-61.2
1698673081.974,False,146.9,85.60000000000001,-60.300000000000004
