timestamp,accGGx,accGGy,accGGz
1698673075.011,0.437,0.69,0.598
1698673075.091,0.449,0.696,0.607
1698673075.171,0.453,0.688,0.622
1698673075.251,0.449,0.683,0.624
1698673075.331,0.452,0.684,0.625
1698673075.412,0.453,0.683,0.627
1698673075.491,0.442,0.687,0.622
1698673075.571,0.438,0.686,0.625
1698673075.651,0.452,0.668,0.633
1698673075.731,0.5,0.705,0.794
1698673075.811,0.493,0.738,0.868
1698673075.891,0.452,0.701,0.743
1698673075.971,0.458,0.672,0.683
1698673076.051,0.462,0.664,0.665
1698673076.132,0.458,0.668,0.66
1698673076.211,0.458,0.669,0.655
1698673076.291,0.463,0.667,0.622
1698673076.371,0.469,0.668,0.602
1698673076.451,0.473,0.665,0.607
1698673076.531,0.472,0.655,0.611
1698673076.611,0.467,0.647,0.621
1698673076.692,0.468,0.65,0.627
1698673076.771,0.48,0.668,0.638
1698673076.854,0.496,0.685,0.642
1698673076.931,0.499,0.68,0.628
1698673077.011,0.498,0.668,0.612
1698673077.093,0.511,0.667,0.603
1698673077.171,0.521,0.66,0.592
1698673077.251,0.508,0.643,0.588
1698673077.331,0.513,0.643,0.584
1698673077.411,0.519,0.636,0.579
1698673077.491,0.522,0.635,0.577
1698673077.571,0.503,0.628,0.564
1698673077.651,0.493,0.637,0.56
1698673077.731,0.507,0.663,0.573
1698673077.811,0.512,0.665,0.587
1698673077.891,0.511,0.651,0.6
1698673077.971,0.509,0.643,0.599
1698673078.051,0.511,0.642,0.595
1698673078.13,0.507,0.645,0.552
1698673078.21,0.51,0.651,0.54
1698673078.291,0.516,0.643,0.569
1698673078.37,0.513,0.643,0.579
1698673078.45,0.51,0.659,0.595
1698673078.53,0.513,0.658,0.604
1698673078.61,0.511,0.658,0.599
1698673078.69,0.515,0.648,0.609
1698673078.77,0.521,0.616,0.667
1698673078.85,0.496,0.643,0.747
1698673078.932,0.486,0.683,0.72
1698673079.01,0.506,0.715,0.585
1698673079.093,0.556,0.751,0.403
1698673079.17,0.573,0.767,0.346
1698673079.25,0.606,0.766,0.267
1698673079.333,0.629,0.733,0.129
1698673079.41,0.624,0.651,-0.041
1698673079.491,0.626,0.632,-0.117
1698673079.57,0.629,0.732,-0.093
1698673079.65,0.642,0.794,-0.08
1698673079.73,0.657,0.776,-0.049
1698673079.81,0.668,0.79,-0.002
1698673079.89,0.681,0.798,0.026
1698673079.97,0.67,0.74,0.033
1698673080.05,0.667,0.732,0.055
1698673080.13,0.672,0.761,0.074
1698673080.21,0.673,0.781,0.08
1698673080.29,0.672,0.781,0.077
1698673080.37,0.666,0.767,0.06
1698673080.45,0.661,0.78,0.053
1698673080.53,0.665,0.792,0.047
1698673080.61,0.673,0.778,0.037
1698673080.69,0.677,0.781,0.035
1698673080.77,0.678,0.771,0.038
1698673080.85,0.675,0.787,0.025
1698673080.93,0.688,0.795,0.013
1698673081.01,0.684,0.789,0.025
1698673081.09,0.667,0.788,0.053
1698673081.173,0.666,0.795,0.07
1698673081.25,0.668,0.853,0.057
1698673081.333,0.668,0.879,0.046
1698673081.41,0.679,0.831,0.048
1698673081.49,0.687,0.806,0.059
1698673081.573,0.683,0.794,0.064
1698673081.65,0.67,0.786,0.053
1698673081.73,0.662,0.783,0.046
1698673081.81,0.663,0.791,0.039
1698673081.89,0.66,0.794,0.028
1698673081.97,0.659,0.789,0.029
1698673082.05,0.661,0.788,0.031
1698673082.13,0.665,0.786,0.029
1698673082.21,0.672,0.79,0.032
1698673082.29,0.671,0.788,0.037
1698673082.37,0.678,0.781,0.032
1698673082.45,0.684,0.77,0.025
1698673082.53,0.682,0.768,0.031
1698673082.61,0.651,0.791,0.023
1698673082.69,0.65,0.789,0.046
1698673082.77,0.657,0.784,0.015
1698673082.85,0.647,0.749,-0.021
1698673082.931,0.651,0.736,-0.04
1698673083.01,0.7,0.87,0.021
1698673083.09,0.742,0.959,0.232
1698673083.17,0.754,0.967,0.427
1698673083.25,0.8,1.087,0.48
1698673083.33,0.812,1.097,0.441
1698673083.411,0.745,1.008,0.387
1698673083.49,0.662,0.89,0.302
1698673083.572,0.565,0.707,0.174
1698673083.65,0.502,0.596,0.08
1698673083.73,0.489,0.547,0.022
1698673083.81,0.487,0.517,-0.033
1698673083.89,0.529,0.554,-0.09
1698673083.97,0.601,0.642,-0.131
1698673084.05,0.621,0.664,-0.148
1698673084.13,0.588,0.637,-0.121
