timestamp,hr,conf
1698673075.383,57,18
1698673076.296,57,63
1698673077.155,57,68
1698673078.058,57,52
1698673078.937,57,59
1698673079.795,57,15
1698673080.698,57,14
1698673081.578,57,70
1698673082.47,57,21
1698673083.372,57,26
1698673084.275,57,28
1698673085.178,57,29
1698673086.08,59,22
1698673087.895,59,13
1698673088.788,59,20
1698673089.69,59,6
1698673090.593,60,0
1698673093.267,62,70
1698673094.17,62,41
1698673095.039,62,13
1698673095.941,62,5
1698673096.855,62,45
1698673097.747,62,58
1698673098.649,72,46
1698673099.518,72,36
1698673100.42,72,7
1698673101.29,72,6
1698673102.192,72,15
1698673103.095,72,9
1698673103.93,73,13
1698673104.866,73,9
1698673105.735,73,19
1698673106.638,79,92
1698673107.54,83,79
1698673108.376,86,94
1698673109.312,88,84
1698673110.148,88,59
1698673111.017,88,98
1698673111.953,88,96
1698673113.691,95,98
1698673114.56,96,98
1698673115.429,96,97
1698673116.332,98,95
1698673117.201,98,96
