timestamp,magnRawx,magnRawy,magnRawz
1698674682.062,-225,216,389
1698674682.141,-217,219,398
1698674682.221,-227,210,403
1698674682.301,-228,220,394
1698674682.381,-226,226,403
1698674682.461,-225,227,399
1698674682.541,-228,227,394
1698674682.621,-222,228,394
1698674682.701,-220,216,404
1698674682.781,-240,218,394
1698674682.861,-230,221,397
1698674682.941,-235,224,401
1698674683.021,-222,225,394
1698674683.101,-221,224,393
1698674683.181,-216,224,406
1698674683.261,-227,216,402
1698674683.341,-232,222,400
1698674683.421,-231,219,397
1698674683.501,-230,228,411
1698674683.581,-230,218,398
1698674683.661,-230,216,398
1698674683.742,-228,231,400
1698674683.821,-227,227,396
1698674683.901,-228,222,397
1698674683.981,-234,228,404
1698674684.061,-234,229,412
1698674684.141,-225,236,407
1698674684.221,-234,219,400
1698674684.301,-231,239,406
1698674684.381,-229,230,405
1698674684.461,-232,225,399
1698674684.541,-232,215,406
1698674684.621,-232,230,398
1698674684.701,-230,218,412
1698674684.781,-230,224,409
1698674684.861,-231,234,410
1698674684.941,-245,224,405
1698674685.021,-246,228,406
1698674685.101,-237,221,414
1698674685.181,-240,210,404
1698674685.261,-237,214,413
1698674685.341,-237,215,410
1698674685.421,-234,209,417
1698674685.501,-240,211,410
1698674685.581,-235,227,412
1698674685.661,-240,231,406
1698674685.741,-225,207,395
1698674685.821,-228,208,398
1698674685.901,-216,215,399
1698674685.981,-231,216,401
1698674686.061,-229,220,412
1698674686.141,-234,241,412
1698674686.221,-219,236,412
1698674686.3,-222,238,399
1698674686.381,-215,218,399
1698674686.46,-205,227,399
1698674686.541,-187,226,392
1698674686.621,-187,225,386
1698674686.7,-172,230,365
1698674686.78,-144,212,377
1698674686.861,-149,213,361
1698674686.941,-159,208,368
1698674687.02,-159,216,389
1698674687.101,-186,211,400
1698674687.18,-157,235,394
1698674687.26,-152,244,400
1698674687.341,-132,247,391
1698674687.42,-107,239,371
1698674687.5,-60,231,369
1698674687.582,-42,220,356
1698674687.66,-71,222,358
1698674687.741,-119,211,350
1698674687.82,-190,193,388
1698674687.9,-219,198,408
1698674687.98,-204,214,406
1698674688.061,-186,243,399
1698674688.141,-141,241,371
1698674688.22,-111,249,369
1698674688.301,-104,250,360
1698674688.38,-131,248,362
1698674688.46,-172,252,372
1698674688.541,-203,255,400
1698674688.62,-252,256,436
1698674688.7,-240,272,439
1698674688.78,-221,283,423
1698674688.86,-192,269,398
1698674688.941,-168,286,369
1698674689.02,-140,280,374
1698674689.1,-126,276,375
1698674689.181,-152,274,376
1698674689.26,-180,260,378
1698674689.34,-219,254,415
1698674689.42,-237,264,426
1698674689.5,-221,279,429
1698674689.58,-208,296,403
1698674689.66,-163,294,365
1698674689.741,-150,287,370
1698674689.82,-127,281,360
1698674689.9,-143,274,356
1698674689.98,-167,271,365
1698674690.06,-219,260,395
1698674690.14,-249,268,424
1698674690.22,-261,278,431
1698674690.3,-237,280,419
1698674690.38,-228,279,393
1698674690.46,-213,277,387
1698674690.54,-196,293,375
1698674690.62,-178,290,381
1698674690.7,-175,293,373
1698674690.78,-197,278,378
1698674690.86,-225,269,407
1698674690.941,-225,264,419
1698674691.02,-243,263,441
1698674691.1,-213,273,420
1698674691.18,-196,258,388
1698674691.26,-176,256,382
1698674691.34,-171,263,362
1698674691.42,-159,244,365
1698674691.5,-197,245,357
1698674691.58,-236,256,376
1698674691.66,-273,244,398
1698674691.741,-313,243,420
