ms,x,y,z
1698674840018.0,338,776,590
1698674840098.0,336,777,599
1698674840178.0,335,771,601
1698674840258.0,335,773,597
1698674840338.0,336,776,599
1698674840418.0,334,770,608
1698674840498.0,333,774,609
1698674840578.0,327,781,608
1698674840658.0,307,769,608
1698674840739.0,306,759,602
1698674840818.0,319,774,599
1698674840898.0,324,786,594
1698674840978.0,330,780,591
1698674841058.0,327,772,603
1698674841138.0,352,792,618
1698674841218.0,365,805,631
1698674841298.0,343,790,623
1698674841378.0,338,781,615
1698674841458.0,338,777,610
1698674841538.0,335,776,606
1698674841618.0,326,780,592
1698674841698.0,310,720,570
1698674841777.0,306,695,567
1698674841858.0,321,751,571
1698674841937.0,329,793,558
1698674842017.0,328,818,542
1698674842098.0,324,812,538
1698674842177.0,318,799,550
1698674842257.0,348,779,622
1698674842338.0,374,775,646
1698674842417.0,360,787,594
1698674842497.0,352,792,578
1698674842577.0,356,792,568
1698674842657.0,382,789,567
1698674842737.0,375,782,563
1698674842817.0,374,779,557
1698674842897.0,366,779,554
1698674842977.0,358,778,551
1698674843057.0,363,779,553
1698674843137.0,370,773,557
1698674843217.0,363,788,560
1698674843297.0,282,722,464
1698674843377.0,249,670,402
1698674843457.0,330,708,457
1698674843537.0,393,711,487
1698674843617.0,434,710,509
1698674843697.0,431,722,519
1698674843779.0,420,763,529
1698674843857.0,438,835,496
1698674843937.0,436,915,492
1698674844017.0,389,955,578
1698674844097.0,249,921,659
1698674844177.0,118,818,638
1698674844257.0,188,731,503
1698674844338.0,214,770,454
1698674844417.0,244,869,478
1698674844497.0,329,948,563
1698674844577.0,394,910,581
1698674844657.0,400,855,643
1698674844738.0,401,805,650
1698674844817.0,430,751,525
1698674844897.0,467,766,495
1698674844977.0,406,872,592
1698674845057.0,217,984,619
1698674845138.0,107,962,582
1698674845217.0,136,814,515
1698674845299.0,213,690,400
1698674845377.0,281,790,429
1698674845457.0,399,983,542
1698674845538.0,599,982,583
1698674845617.0,663,894,623
1698674845700.0,609,858,630
1698674845777.0,494,857,518
1698674845857.0,75,1016,492
1698674845938.0,-70,984,455
1698674846017.0,-88,908,416
1698674846099.0,21,862,385
1698674846177.0,302,924,504
1698674846257.0,622,981,671
1698674846338.0,749,946,706
1698674846417.0,635,930,655
1698674846499.0,423,930,489
1698674846577.0,183,1060,442
1698674846657.0,-134,1101,450
1698674846739.0,-251,882,395
1698674846817.0,-147,778,376
1698674846900.0,45,854,375
1698674846977.0,329,956,484
1698674847057.0,632,962,587
1698674847140.0,742,939,621
1698674847217.0,545,917,625
1698674847297.0,302,873,506
1698674847377.0,66,949,464
1698674847457.0,-162,993,563
1698674847537.0,108,971,602
1698674847617.0,333,853,462
1698674847696.0,527,796,413
1698674847777.0,633,819,483
1698674847857.0,513,838,575
1698674847936.0,319,881,613
1698674848016.0,115,931,587
1698674848096.0,-143,837,464
1698674848176.0,-38,849,471
1698674848256.0,255,1022,518
1698674848336.0,321,1098,456
1698674848416.0,450,902,493
1698674848496.0,736,645,505
1698674848576.0,670,718,519
1698674848656.0,435,870,559
1698674848736.0,278,923,536
1698674848816.0,-18,904,508
1698674848896.0,-138,837,504
1698674848976.0,-31,860,481
1698674849056.0,503,845,530
1698674849136.0,554,931,572
1698674849216.0,441,984,608
1698674849296.0,240,906,634
1698674849376.0,102,859,604
1698674849456.0,133,822,572
1698674849536.0,192,823,587
1698674849616.0,260,901,603
1698674849696.0,297,969,578
1698674849776.0,262,965,552
1698674849856.0,285,871,556
1698674850560.0,369,848,522
1698674850576.0,346,845,522
1698674851312.0,382,814,493
1698674851376.0,402,828,496
1698674851456.0,432,839,497
1698674852180.0,218,915,448
1698674852256.0,199,904,461
1698674852336.0,163,895,485
1698674852416.0,135,881,502
1698674852496.0,116,858,533
1698674852576.0,138,803,584
1698674852656.0,213,748,641
1698674852736.0,261,737,666
1698674852816.0,242,753,695
1698674852896.0,208,770,736
1698674852976.0,170,764,730
1698674853056.0,177,744,716
1698674853136.0,222,721,692
1698674853216.0,281,717,663
1698674853296.0,317,767,660
1698674853376.0,288,823,675
1698674853456.0,233,849,692
1698674853536.0,148,853,653
1698674853615.0,68,828,593
1698674853695.0,34,791,526
1698674853776.0,35,770,466
1698674853855.0,83,774,471
1698674853935.0,250,923,594
1698674854015.0,307,981,645
1698674854095.0,303,906,654
1698674854176.0,232,869,732
