ms,x,y,z
1698674840020.0,-218,236,405
1698674840100.0,-231,230,399
1698674840181.0,-222,245,406
1698674840263.0,-227,238,407
1698674840340.0,-225,226,405
1698674840421.0,-225,239,402
1698674840500.0,-222,252,398
1698674840580.0,-229,255,408
1698674840663.0,-233,245,405
1698674840741.0,-220,236,402
1698674840820.0,-230,224,410
1698674840901.0,-221,238,419
1698674840980.0,-232,241,397
1698674841060.0,-222,242,407
1698674841141.0,-213,242,422
1698674841220.0,-229,236,408
1698674841300.0,-228,244,403
1698674841381.0,-228,239,403
1698674841460.0,-222,244,408
1698674841540.0,-225,250,417
1698674841621.0,-218,250,402
1698674841700.0,-230,245,398
1698674841780.0,-227,252,399
1698674841861.0,-231,257,402
1698674841940.0,-217,246,417
1698674842020.0,-224,243,403
1698674842100.0,-214,246,400
1698674842180.0,-219,231,401
1698674842260.0,-223,238,415
1698674842340.0,-225,236,407
1698674842420.0,-225,232,410
1698674842500.0,-227,241,410
1698674842580.0,-237,219,411
1698674842660.0,-232,241,409
1698674842740.0,-230,239,407
1698674842820.0,-231,231,416
1698674842900.0,-228,242,413
1698674842980.0,-213,234,411
1698674843060.0,-234,240,407
1698674843140.0,-225,242,408
1698674843220.0,-226,230,407
1698674843300.0,-225,230,407
1698674843380.0,-225,236,407
1698674843460.0,-240,240,413
1698674843540.0,-217,245,399
1698674843620.0,-213,246,395
1698674843700.0,-209,241,400
1698674843781.0,-224,236,395
1698674843860.0,-213,238,380
1698674843940.0,-218,243,404
1698674844020.0,-217,252,405
1698674844100.0,-203,268,402
1698674844180.0,-195,262,390
1698674844260.0,-176,253,381
1698674844340.0,-169,228,376
1698674844420.0,-173,234,370
1698674844500.0,-169,210,370
1698674844580.0,-169,196,357
1698674844660.0,-149,196,359
1698674844741.0,-152,204,365
1698674844820.0,-155,198,359
1698674844900.0,-181,193,377
1698674844980.0,-196,205,397
1698674845060.0,-196,210,392
1698674845141.0,-181,218,407
1698674845220.0,-160,225,376
1698674845302.0,-136,222,376
1698674845380.0,-111,213,367
1698674845460.0,-103,223,366
1698674845541.0,-80,219,361
1698674845620.0,-78,218,365
1698674845702.0,-128,219,372
1698674845780.0,-168,208,417
1698674845859.0,-222,193,421
1698674845941.0,-218,215,425
1698674846019.0,-216,225,419
1698674846102.0,-187,248,393
1698674846180.0,-139,259,384
1698674846259.0,-98,254,371
1698674846341.0,-86,262,353
1698674846420.0,-102,283,362
1698674846502.0,-123,281,372
1698674846579.0,-195,261,400
1698674846660.0,-226,278,425
1698674846741.0,-219,272,446
1698674846819.0,-200,286,425
1698674846902.0,-173,281,387
1698674846979.0,-129,288,357
1698674847059.0,-105,298,354
1698674847143.0,-106,279,363
1698674847219.0,-153,300,378
1698674847302.0,-192,266,389
1698674847379.0,-202,276,407
1698674847459.0,-217,280,422
1698674847539.0,-187,286,403
1698674847619.0,-148,292,381
1698674847702.0,-129,309,370
1698674847779.0,-116,310,371
1698674847859.0,-141,298,371
1698674847939.0,-185,302,390
1698674848019.0,-229,296,412
1698674848102.0,-239,287,429
1698674848179.0,-251,291,436
1698674848259.0,-230,287,414
1698674848339.0,-214,302,391
1698674848419.0,-180,301,388
1698674848502.0,-166,303,375
1698674848579.0,-172,299,376
1698674848659.0,-193,292,398
1698674848739.0,-214,277,421
1698674848819.0,-223,276,425
1698674848901.0,-200,277,426
1698674848979.0,-176,291,395
1698674849059.0,-115,293,368
1698674849139.0,-113,286,365
1698674849219.0,-147,268,373
1698674849302.0,-190,267,385
1698674849379.0,-218,272,394
1698674849459.0,-235,275,409
1698674849539.0,-242,265,421
1698674849619.0,-259,253,425
1698674849701.0,-275,234,430
1698674849809.0,-275,240,435
1698674849859.0,-275,245,426
1698674850563.0,-264,272,437
1698674851309.0,-266,254,434
1698674851315.0,-283,248,425
1698674851429.0,-274,244,409
1698674851459.0,-280,239,410
1698674852183.0,-264,224,380
1698674852258.0,-248,227,379
1698674852339.0,-217,219,355
1698674852419.0,-174,226,331
1698674852498.0,-134,229,318
1698674852578.0,-69,249,314
1698674852658.0,-11,251,323
1698674852738.0,40,249,312
1698674852818.0,71,243,310
1698674852898.0,89,261,311
1698674852978.0,114,278,320
1698674853058.0,112,277,336
1698674853139.0,123,300,342
1698674853218.0,143,309,353
1698674853298.0,147,324,375
1698674853378.0,139,343,387
1698674853458.0,140,338,389
1698674853538.0,158,348,405
1698674853618.0,156,364,414
1698674853698.0,142,360,413
1698674853779.0,142,356,412
1698674853858.0,137,368,410
1698674853938.0,125,369,431
1698674854018.0,129,375,431
1698674854098.0,114,384,429
1698674854179.0,102,386,420
