ms,hr,conf
1698674961056.0,0,72
1698674962858.0,0,71
1698674963759.0,87,36
1698674964660.0,87,0
1698674965494.0,87,17
1698674966366.0,87,27
1698674967262.0,87,0
1698674969098.0,87,1
1698674970843.0,87,0
1698674972606.0,88,0
1698674974403.0,90,0
1698674975304.0,95,41
1698674976172.0,95,39
1698674977006.0,101,59
1698674977907.0,101,29
1698674978809.0,101,3
1698674979709.0,104,63
1698674980577.0,102,57
1698674981483.0,102,18
1698674982312.0,102,24
1698674984147.0,102,38
1698674985015.0,102,33
1698674985960.0,105,50
1698674986761.0,108,42
1698674987584.0,108,31
1698674988522.0,108,32
1698674989420.0,108,38
1698674990287.0,108,2
1698674992012.0,108,13
1698674992314.0,108,4
1698674992923.0,108,52
1698674994760.0,109,52
1698674995632.0,110,53
