ts,ppg
1698674961013.2637,14480.0
1698674961033.86,14478.0
1698674961054.4563,14474.0
1698674961075.0527,14471.0
1698674961095.6492,14469.0
1698674961116.2456,14468.0
1698674961136.842,14462.0
1698674961157.4385,14465.0
1698674961178.035,14460.0
1698674961198.631,14458.0
1698674961219.2275,14454.0
1698674961239.824,14452.0
1698674961260.4204,14452.0
1698674961281.0168,14444.0
1698674961301.6133,14437.0
1698674961322.2097,14431.0
1698674961342.8062,14427.0
1698674961363.4023,14423.0
1698674961383.9988,14414.0
1698674961404.5952,14410.0
1698674961425.1917,14406.0
1698674961445.788,14404.0
1698674961466.3845,14394.0
1698674961486.981,14389.0
1698674961507.5774,14386.0
1698674961528.1736,14386.0
1698674961548.77,14378.0
1698674961569.3665,14378.0
1698674961589.963,14371.0
1698674961610.559,14365.0
1698674961631.1558,14364.0
1698674961651.7522,14361.0
1698674961672.3484,14353.0
1698674961692.9448,14336.0
1698674961713.5413,14352.0
1698674961734.1377,14346.0
1698674961754.734,14343.0
1698674961775.3306,14341.0
1698674961795.927,14340.0
1698674961816.5232,14337.0
1698674961837.1196,14334.0
1698674961857.716,14330.0
1698674961878.3125,14328.0
1698674961898.909,14324.0
1698674961919.5054,14325.0
1698674961940.1018,14321.0
1698674961960.698,14318.0
1698674961981.2944,14321.0
1698674962001.8909,14311.0
1698674962022.4873,14312.0
1698674962043.0835,14310.0
1698674962063.6802,14303.0
1698674962084.2766,14300.0
1698674962104.8728,14299.0
1698674962125.4692,14290.0
1698674962146.0657,14286.0
1698674962166.662,14262.0
1698674962187.2583,14273.0
1698674962207.855,14266.0
1698674962228.4514,14257.0
1698674962249.0476,14256.0
1698674962269.644,14249.0
1698674962290.2405,14245.0
1698674962310.837,14242.0
1698674962331.433,14233.0
1698674962352.0298,14233.0
1698674962372.6262,14207.0
1698674962393.223,14225.0
1698674962413.8188,14219.0
1698674962434.4153,14216.0
1698674962455.0117,14215.0
1698674962475.6082,14209.0
1698674962496.2046,14210.0
1698674962516.801,14202.0
1698674962537.3977,14198.0
1698674962557.9937,14198.0
1698674962578.59,14195.0
1698674962599.1863,14187.0
1698674962619.783,14188.0
1698674962640.3794,14182.0
1698674962660.9758,14187.0
1698674962681.5725,14180.0
1698674962702.1685,14178.0
1698674962722.765,14173.0
1698674962743.361,14175.0
1698674962763.9578,14171.0
1698674962784.5542,14170.0
1698674962805.1506,14168.0
1698674962825.747,14163.0
1698674962846.3433,14166.0
1698674962866.9397,14159.0
1698674962887.536,14159.0
1698674962908.1326,14155.0
1698674962928.729,14152.0
1698674962949.3254,14149.0
1698674962969.922,14144.0
1698674962990.518,14136.0
1698674963011.1145,14132.0
1698674963031.711,14131.0
1698674963052.3074,14123.0
1698674963072.9038,14121.0
1698674963093.5002,14115.0
1698674963114.0967,14107.0
1698674963134.6929,14103.0
1698674963155.2893,14100.0
1698674963175.8855,14094.0
1698674963196.4822,14094.0
1698674963217.0786,14091.0
1698674963237.675,14089.0
1698674963258.2715,14079.0
1698674963278.868,14061.0
1698674963299.464,14077.0
1698674963320.0603,14075.0
1698674963340.657,14070.0
1698674963361.2534,14071.0
1698674963381.85,14070.0
1698674963402.4463,14067.0
1698674963423.0427,14060.0
1698674963443.639,14058.0
1698674963464.2354,14056.0
1698674963484.8318,14055.0
1698674963505.4282,14054.0
1698674963526.025,14052.0
1698674963546.621,14046.0
1698674963567.2175,14049.0
1698674963587.8137,14047.0
1698674963608.4102,14041.0
1698674963629.0066,14044.0
1698674963649.603,14038.0
1698674963670.1997,14038.0
1698674963690.796,14042.0
1698674963711.3923,14035.0
1698674963731.9883,14041.0
1698674963752.585,14037.0
1698674963773.1814,14032.0
1698674963793.7778,14032.0
1698674963814.3745,14031.0
1698674963834.9707,14028.0
1698674963855.5671,14028.0
1698674963876.163,14018.0
1698674963896.7598,14017.0
1698674963917.3562,14010.0
1698674963937.9526,14004.0
1698674963958.549,14004.0
1698674963979.1455,14000.0
1698674963999.742,13993.0
1698674964020.3384,13991.0
1698674964040.9346,13986.0
1698674964061.531,13985.0
1698674964082.1274,13982.0
1698674964102.724,13977.0
