ms,x,y,z
1698920028764.0,21,825,471
1698920028844.0,29,819,456
1698920028924.0,23,827,450
1698920029004.0,39,819,449
1698920029084.0,43,813,444
1698920029167.0,41,833,454
1698920029244.0,34,810,458
1698920029324.0,41,824,448
1698920029404.0,51,824,457
1698920029484.0,48,821,453
1698920029564.0,48,812,462
1698920029644.0,45,816,459
1698920029724.0,41,816,449
1698920029804.0,24,816,460
1698920029884.0,22,810,461
1698920029964.0,29,810,455
1698920030044.0,36,812,460
1698920030124.0,30,816,470
1698920030204.0,32,820,452
1698920030284.0,27,814,456
1698920030364.0,27,827,463
1698920030443.0,23,815,447
1698920030523.0,32,810,465
1698920030604.0,28,813,462
1698920030688.0,25,803,475
1698920030763.0,22,812,466
1698920030847.0,28,803,463
1698920030923.0,29,805,464
1698920031003.0,24,805,469
1698920031084.0,23,809,470
1698920031163.0,31,799,466
1698920031243.0,27,806,467
1698920031325.0,16,811,470
1698920031403.0,18,813,462
1698920031486.0,28,800,464
1698920031564.0,26,804,457
1698920031643.0,23,806,471
1698920031723.0,12,808,465
1698920031804.0,21,809,477
1698920031883.0,31,805,458
1698920031964.0,19,810,471
1698920032044.0,21,816,467
1698920032123.0,21,803,464
1698920032203.0,20,810,471
1698920032284.0,15,802,468
1698920032365.0,22,814,466
1698920032443.0,9,817,455
1698920032526.0,21,804,456
1698920032603.0,15,808,460
1698920032683.0,32,810,467
1698920032763.0,23,805,465
1698920032843.0,12,801,460
1698920032923.0,19,813,459
1698920033004.0,17,805,469
1698920033083.0,14,806,462
1698920033166.0,25,798,465
1698920033243.0,16,801,463
1698920033323.0,27,803,480
1698920033403.0,17,814,459
1698920033483.0,28,814,471
1698920033565.0,17,806,473
1698920033643.0,27,804,461
1698920033723.0,22,809,463
1698920033803.0,20,818,458
1698920033883.0,22,821,457
1698920033963.0,25,807,463
1698920034045.0,8,810,461
1698920034123.0,20,815,459
1698920034206.0,20,803,463
1698920034283.0,28,817,463
1698920034363.0,27,804,463
1698920034443.0,15,818,466
1698920034523.0,16,805,471
1698920034603.0,25,808,469
1698920034683.0,22,811,464
1698920034763.0,24,817,468
1698920034845.0,22,805,468
1698920034923.0,26,809,453
1698920035003.0,25,810,464
1698920035083.0,18,815,463
1698920035163.0,18,811,465
1698920035245.0,24,810,475
1698920035323.0,18,810,466
1698920035403.0,24,807,467
1698920035483.0,25,806,469
1698920035563.0,30,804,464
1698920035643.0,19,797,452
1698920035724.0,16,815,462
1698920035803.0,21,809,472
1698920035885.0,17,818,455
1698920035963.0,16,813,462
1698920036043.0,32,811,464
1698920036123.0,15,822,462
1698920036203.0,21,819,477
1698920036282.0,31,808,465
1698920036363.0,31,800,463
1698920036442.0,28,808,469
1698920036525.0,27,817,472
1698920036603.0,19,799,461
1698920036683.0,27,824,468
1698920036762.0,28,804,462
1698920036843.0,23,808,469
1698920036925.0,16,814,462
1698920037002.0,21,816,473
1698920037083.0,24,809,467
1698920037162.0,25,808,462
1698920037242.0,24,807,472
1698920037323.0,25,806,465
1698920037403.0,12,807,467
1698920037482.0,23,812,460
1698920037565.0,16,809,465
1698920037642.0,21,797,464
1698920037722.0,25,812,465
1698920037802.0,21,810,471
