timestamp,accGx,accGy,accGz
1698921834.002,-961,287,-166
1698921834.082,-983,301,-160
1698921834.162,-992,306,-147
1698921834.242,-971,301,-155
1698921834.322,-965,303,-158
1698921834.402,-965,301,-156
1698921834.482,-958,293,-161
1698921834.563,-963,290,-164
1698921834.642,-961,283,-162
1698921834.724,-956,276,-158
1698921834.802,-952,277,-159
1698921834.882,-953,274,-166
1698921834.962,-958,271,-166
1698921835.042,-961,268,-162
1698921835.122,-961,270,-162
1698921835.202,-961,276,-161
1698921835.282,-960,281,-163
1698921835.362,-965,282,-163
1698921835.442,-967,282,-163
1698921835.522,-963,276,-161
1698921835.602,-961,272,-143
1698921835.682,-962,271,-136
1698921835.762,-964,264,-153
1698921835.842,-965,263,-163
1698921835.922,-956,270,-165
1698921836.004,-955,275,-164
1698921836.082,-959,275,-164
1698921836.162,-960,273,-161
1698921836.242,-964,268,-161
1698921836.321,-963,258,-156
1698921836.402,-962,253,-149
1698921836.482,-970,250,-144
1698921836.561,-968,239,-147
1698921836.641,-955,221,-152
1698921836.722,-952,215,-151
1698921836.801,-968,228,-149
1698921836.881,-995,252,-143
1698921836.962,-1010,280,-118
1698921837.042,-1007,312,-92
1698921837.121,-986,344,-58
1698921837.204,-944,361,-13
1698921837.281,-909,390,7
1698921837.361,-888,374,-15
1698921837.442,-885,340,-48
1698921837.521,-953,325,-63
1698921837.601,-1137,271,-76
1698921837.682,-1320,130,-61
1698921837.761,-1216,29,-26
1698921837.841,-1072,-13,-3
1698921837.922,-986,-75,41
1698921838.001,-798,-22,56
1698921838.081,-748,124,1
1698921838.161,-918,232,-119
1698921838.241,-1077,432,-229
1698921838.321,-1154,593,-225
1698921838.402,-1363,511,-143
1698921838.482,-1503,397,-50
1698921838.561,-1440,332,29
1698921838.644,-1412,263,90
1698921838.721,-1338,-43,154
1698921838.801,-1151,-278,130
1698921838.882,-1304,-153,78
1698921838.961,-1361,65,38
1698921839.041,-1349,371,-49
1698921839.122,-1326,526,-265
1698921839.201,-1341,668,-495
1698921839.281,-1438,655,-453
1698921839.361,-1519,422,-274
1698921839.441,-1413,348,-166
1698921839.521,-1280,317,-52
1698921839.601,-1389,103,77
1698921839.682,-1419,-106,116
1698921839.761,-1212,-82,47
1698921839.841,-1156,28,-36
1698921839.921,-1272,59,-62
1698921840.001,-1313,106,-100
1698921840.081,-1339,329,-259
1698921840.161,-1369,487,-401
1698921840.241,-1283,589,-429
1698921840.321,-1345,533,-304
1698921840.401,-1478,331,-151
1698921840.481,-1345,270,-71
1698921840.561,-1280,238,41
1698921840.641,-1394,98,122
1698921840.721,-1319,-27,154
1698921840.801,-1182,-7,106
1698921840.881,-1183,26,31
1698921840.962,-1191,330,-141
1698921841.041,-1464,584,-364
1698921841.124,-1477,764,-521
1698921841.201,-1450,804,-426
1698921841.281,-1558,634,-221
1698921841.361,-1546,409,-60
1698921841.441,-1327,325,43
1698921841.522,-1227,318,100
1698921841.601,-1241,221,116
1698921841.681,-1117,129,79
1698921841.761,-997,67,16
1698921841.841,-1036,59,-25
1698921841.921,-1142,95,-64
1698921842.001,-1437,537,-163
1698921842.081,-1553,868,-273
1698921842.161,-1329,868,-302
1698921842.241,-1314,898,-189
1698921842.32,-1420,707,-57
1698921842.403,-1302,469,-10
1698921842.481,-1256,311,41
1698921842.56,-1388,195,54
1698921842.64,-1404,-1,68
1698921842.721,-1284,-83,33
1698921842.8,-1223,-20,-9
1698921842.88,-1249,79,0
1698921842.961,-1280,287,-36
1698921843.04,-1402,456,-137
1698921843.12,-1452,645,-292
1698921843.201,-1387,580,-215
1698921843.28,-1846,311,-273
1698921843.36,-1917,233,-302
1698921843.441,-1558,211,-45
1698921843.52,-1475,23,120
1698921843.603,-1325,-79,167
1698921843.681,-1206,12,136
1698921843.76,-1274,83,77
1698921843.841,-1288,163,-40
1698921843.92,-1287,284,-145
1698921844.0,-1356,427,-258
1698921844.08,-1450,641,-406
1698921844.16,-1520,707,-404
1698921844.24,-1580,524,-249
1698921844.32,-1476,342,-115
1698921844.4,-1313,242,-31
1698921844.48,-1341,197,96
1698921844.56,-1361,91,171
1698921844.641,-1156,6,174
1698921844.721,-1057,-19,175
1698921844.8,-1260,54,135
1698921844.882,-1370,205,31
1698921844.96,-1382,325,-225
1698921845.04,-1410,406,-466
1698921845.12,-1410,496,-524
1698921845.2,-1502,432,-406
1698921845.28,-1528,320,-209
1698921845.36,-1255,255,61
1698921845.44,-1286,184,120
1698921845.52,-1251,90,131
1698921845.6,-1202,-35,103
1698921845.68,-1375,-119,84
1698921845.76,-1488,108,-64
1698921845.84,-1332,327,-282
1698921845.921,-1264,376,-346
1698921846.0,-1303,540,-390
1698921846.08,-1286,602,-410
1698921846.16,-1406,461,-218
1698921846.24,-1476,311,-11
1698921846.322,-1309,245,32
1698921846.4,-1128,112,68
1698921846.48,-1114,-150,80
1698921846.56,-1225,-367,61
1698921846.641,-1386,-277,16
1698921846.72,-1653,-23,0
1698921846.8,-1652,252,-14
1698921846.88,-1314,427,-71
1698921846.96,-1083,471,-234
1698921847.04,-1017,673,-489
1698921847.12,-1177,797,-563
1698921847.2,-1465,575,-318
1698921847.28,-1638,322,-51
1698921847.361,-1592,160,28
1698921847.44,-1369,-175,74
1698921847.523,-1198,-442,47
1698921847.6,-1388,-164,93
1698921847.68,-1624,46,0
1698921847.76,-1637,295,-103
1698921847.84,-1336,406,-305
1698921847.92,-1085,505,-488
1698921848.0,-1134,725,-520
1698921848.08,-1426,607,-340
1698921848.16,-1716,400,-56
1698921848.24,-1755,316,155
1698921848.319,-1496,139,297
1698921848.399,-1203,15,297
1698921848.48,-1075,19,185
1698921848.559,-970,47,66
1698921848.64,-970,203,-156
1698921848.72,-990,446,-344
1698921848.801,-860,526,-370
1698921848.879,-787,476,-310
1698921848.96,-922,402,-163
1698921849.039,-1116,371,156
1698921849.119,-1117,382,391
1698921849.2,-1062,421,390
1698921849.279,-1036,482,390
1698921849.359,-1007,470,404
1698921849.441,-1115,303,319
1698921849.519,-1294,122,276
1698921849.599,-1293,-29,241
1698921849.68,-1238,-123,100
1698921849.759,-1056,120,-188
1698921849.84,-941,419,-267
1698921849.92,-860,923,-365
1698921850.002,-952,1241,-306
1698921850.079,-1231,1153,-77
1698921850.159,-1466,786,144
1698921850.239,-1543,544,222
1698921850.319,-1520,443,170
1698921850.399,-1408,155,120
1698921850.479,-1297,-194,106
1698921850.559,-1278,-233,61
1698921850.639,-1423,-82,48
1698921850.719,-1740,95,84
1698921850.799,-1752,463,-56
1698921850.879,-1380,839,-277
1698921850.959,-1186,966,-434
1698921851.039,-1211,884,-460
1698921851.12,-1412,729,-271
1698921851.199,-1628,562,-50
1698921851.281,-1557,402,59
1698921851.359,-1431,278,62
1698921851.439,-1191,-99,102
1698921851.519,-1013,-499,116
1698921851.599,-1222,-537,89
1698921851.679,-1442,-277,230
1698921851.76,-1457,10,188
1698921851.839,-1427,181,-9
1698921851.919,-1401,526,-161
1698921851.999,-1165,999,-423
1698921852.079,-1369,786,-234
1698921852.159,-1696,461,-22
1698921852.239,-1635,285,43
1698921852.32,-1578,111,109
1698921852.399,-1561,-97,171
1698921852.481,-1385,-264,209
1698921852.559,-1289,-263,199
1698921852.639,-1523,-31,176
1698921852.719,-1819,390,49
1698921852.799,-1738,499,-116
1698921852.879,-1515,353,-279
1698921852.959,-1405,595,-529
1698921853.039,-1416,629,-503
1698921853.119,-1566,360,-180
1698921853.199,-1610,253,2
1698921853.279,-1557,225,73
1698921853.359,-1572,200,192
1698921853.439,-1561,-9,250
1698921853.519,-1359,-151,153
1698921853.599,-1231,-89,78
1698921853.679,-1369,23,45
1698921853.761,-1442,190,-95
1698921853.839,-1500,260,-321
1698921853.919,-1538,342,-469
1698921853.999,-1363,575,-432
1698921854.079,-1379,605,-281
1698921854.159,-1385,284,-14
1698921854.239,-1422,209,71
1698921854.318,-1468,70,111
1698921854.398,-1240,-56,91
1698921854.479,-1040,-67,34
1698921854.559,-1122,-22,15
1698921854.638,-1270,72,-28
1698921854.719,-1432,327,-206
1698921854.8,-1523,630,-370
1698921854.878,-1463,917,-421
1698921854.961,-1484,934,-310
1698921855.038,-1579,626,-142
1698921855.118,-1507,399,-51
1698921855.201,-1379,326,113
1698921855.278,-1339,149,252
1698921855.358,-1343,-19,227
1698921855.438,-1347,-47,121
1698921855.518,-1448,-96,86
1698921855.598,-1527,-35,13
1698921855.678,-1497,120,-73
1698921855.758,-1508,458,-163
1698921855.838,-1498,832,-301
1698921855.918,-1347,914,-295
1698921855.998,-1357,687,-161
1698921856.078,-1445,400,-51
1698921856.158,-1327,298,-19
1698921856.239,-1333,265,60
1698921856.318,-1419,-1,102
1698921856.402,-1211,-74,9
1698921856.478,-1287,21,-15
1698921856.558,-1309,163,-59
1698921856.638,-1296,387,-154
1698921856.718,-1348,644,-324
1698921856.798,-1349,761,-465
1698921856.879,-1440,630,-375
1698921856.958,-1524,390,-225
1698921857.038,-1401,272,-175
1698921857.118,-1358,252,-34
1698921857.198,-1420,127,103
1698921857.278,-1319,7,190
1698921857.358,-1137,-5,157
1698921857.439,-1174,8,79
1698921857.518,-1302,93,-9
1698921857.598,-1435,298,-132
1698921857.68,-1508,407,-344
1698921857.758,-1486,629,-495
1698921857.838,-1498,852,-414
1698921857.918,-1576,639,-255
1698921857.998,-1533,366,-120
1698921858.078,-1406,262,-38
1698921858.158,-1387,197,51
1698921858.238,-1376,-24,183
1698921858.318,-1239,-45,176
1698921858.398,-1172,124,8
1698921858.478,-1227,49,-115
1698921858.558,-1466,391,-320
1698921858.639,-1416,731,-297
1698921858.718,-1157,842,-153
1698921858.798,-1231,893,4
1698921858.88,-1381,647,43
1698921858.958,-1290,426,49
1698921859.038,-1284,313,65
1698921859.118,-1360,55,68
1698921859.198,-1273,-155,78
1698921859.278,-1163,-94,17
1698921859.358,-1297,16,-33
1698921859.438,-1455,176,-31
1698921859.518,-1392,395,-53
1698921859.598,-1246,507,-56
1698921859.678,-1146,618,-107
1698921859.758,-1089,714,-223
1698921859.838,-1277,563,-225
1698921859.918,-1539,328,-69
1698921859.998,-1519,229,24
1698921860.077,-1319,153,77
1698921860.332,-982,102,55
1698921860.397,-1138,272,-53
1698921860.477,-1360,373,-172
1698921860.557,-1341,446,-264
1698921860.637,-1131,495,-293
1698921860.75,-962,451,-306
1698921860.797,-1117,292,-233
1698921860.877,-1106,208,-132
1698921861.05,-956,224,-72
1698921861.117,-860,194,-57
