timestamp,hr,conf
1698921834.189,0,23
1698921835.093,0,11
1698921836.008,0,33
1698921836.903,0,38
1698921837.773,0,37
1698921838.678,0,50
1698921839.583,0,51
1698921840.521,0,52
1698921841.325,50,52
1698921842.263,50,57
1698921843.135,50,0
1698921844.072,52,0
1698921845.814,53,0
1698921847.591,53,4
1698921848.494,53,59
1698921849.399,53,57
1698921850.304,53,34
1698921851.208,54,26
1698921852.113,54,18
1698921852.984,56,20
1698921853.888,56,0
1698921854.804,56,12
1698921855.665,59,8
1698921856.502,59,0
1698921859.215,60,0
1698921860.924,62,36
