ms,steps
1698921840966.0,4085
1698921841445.0,4086
1698921842408.0,4087
1698921842968.0,4088
1698921843685.0,4089
1698921844485.0,4090
1698921844805.0,4091
1698921845525.0,4092
1698921846487.0,4093
1698921847045.0,4094
1698921847604.0,4095
1698921848005.0,4096
1698921848484.0,4097
1698921849044.0,4098
1698921849445.0,4099
1698921849924.0,4100
1698921850407.0,4101
1698921851124.0,4102
1698921851524.0,4103
1698921852486.0,4104
1698921853683.0,4105
1698921854563.0,4106
1698921855206.0,4107
1698921856163.0,4108
1698921856563.0,4109
1698921857209.0,4110
1698921857523.0,4111
1698921858163.0,4112
1698921858962.0,4113
1698921859442.0,4114
1698921859842.0,4115
1698921860337.0,4116
1698921860882.0,4117
