msFromStart,interval,accx,accy,accz,accGx,accGy,accGz,rotRate_alpha,rotRate_beta,rotRate_gamma
1698920120009.0,16,0.1,-0.1,0.1,0.2,9.3,1.8,2.3000000000000003,-4.6000000000000005,0.0
1698920120025.0,16,0.1,-0.1,0.1,0.2,9.3,1.8,3.3000000000000003,-3.6,0.1
1698920120041.0,16,0.1,-0.2,0.1,0.1,9.200000000000001,1.8,3.9,-2.3000000000000003,0.30000000000000004
1698920120059.0,16,0.1,-0.1,0.1,0.1,9.3,1.6,4.2,-1.7,0.4
1698920120075.0,16,0.0,-0.1,-0.2,0.1,9.3,1.5,2.8,0.9,0.8
1698920120092.0,16,0.0,0.0,0.0,0.1,9.4,1.7000000000000002,0.4,2.1999999999999997,1.3
1698920120109.0,16,0.1,0.2,0.0,0.2,9.600000000000001,1.6,-0.2,3.0000000000000004,1.2000000000000002
1698920120125.0,16,0.2,0.5,-0.1,0.30000000000000004,9.8,1.5,-1.7,5.2,0.6000000000000001
1698920120141.0,16,0.1,0.30000000000000004,-0.2,0.2,9.600000000000001,1.5,-3.0000000000000004,3.5,0.1
1698920120159.0,16,0.0,0.2,-0.2,0.1,9.600000000000001,1.5,-4.2,2.4000000000000004,-0.8
1698920120175.0,16,-0.1,0.1,-0.2,0.0,9.4,1.5,-4.300000000000001,1.7,-1.5000000000000002
1698920120192.0,16,-0.1,-0.2,-0.2,-0.1,9.200000000000001,1.4000000000000001,-3.7000000000000006,0.1,-2.4000000000000004
1698920120208.0,16,-0.2,-0.30000000000000004,-0.30000000000000004,-0.1,9.1,1.4000000000000001,-3.4,-0.30000000000000004,-2.7
1698920120225.0,16,-0.1,-0.2,-0.1,-0.1,9.200000000000001,1.6,-3.1,-0.5,-2.4000000000000004
1698920120242.0,16,-0.1,0.0,0.0,0.0,9.4,1.7000000000000002,-2.5,-0.6000000000000001,-2.1999999999999997
1698920120258.0,16,0.0,0.0,0.0,0.0,9.3,1.7000000000000002,-2.8,-0.6000000000000001,-2.1999999999999997
