ts,alpha,beta,gamma
1698920120052.0,4,759,496
1698920120132.0,-6,767,507
1698920120212.0,-8,766,494
1698920120292.0,-21,778,493
1698920120372.0,9,761,499
1698920120452.0,9,796,477
1698920120532.0,8,812,467
1698920120614.0,23,797,471
1698920120692.0,16,802,474
1698920120775.0,16,796,469
1698920120852.0,13,810,478
1698920120933.0,6,814,464
1698920121012.0,11,795,470
1698920121092.0,13,797,475
1698920121172.0,17,806,464
1698920121252.0,20,803,475
1698920121332.0,3,793,466
1698920121412.0,19,797,469
1698920121492.0,11,801,467
1698920121572.0,3,809,466
1698920121652.0,10,794,469
1698920121732.0,7,806,456
1698920121814.0,7,803,472
1698920121892.0,13,806,465
1698920121972.0,11,809,466
1698920122052.0,7,797,471
1698920122132.0,17,803,468
1698920122212.0,4,811,464
1698920122293.0,14,794,467
1698920122372.0,7,799,471
1698920122455.0,10,808,467
1698920122532.0,14,818,467
1698920122612.0,2,809,457
1698920122692.0,1,802,464
1698920122772.0,12,798,472
1698920122855.0,3,806,467
1698920122932.0,12,789,472
1698920123012.0,0,797,465
1698920123092.0,10,797,465
1698920123172.0,11,795,464
1698920123252.0,6,793,475
1698920123334.0,7,799,474
1698920123412.0,16,801,461
1698920123494.0,22,799,460
1698920123572.0,5,808,457
1698920123652.0,9,807,478
1698920123732.0,5,812,466
1698920123812.0,-23,801,456
1698920123892.0,-22,792,488
1698920123972.0,-29,782,476
1698920124052.0,-27,788,491
1698920124132.0,-28,776,482
1698920124212.0,-11,795,477
1698920124292.0,9,796,476
1698920124373.0,36,810,449
1698920124451.0,102,820,428
1698920124534.0,160,824,389
1698920124611.0,217,793,376
1698920124691.0,252,754,352
1698920124772.0,276,742,358
1698920124851.0,280,736,368
1698920124931.0,288,725,360
1698920125012.0,280,717,342
1698920125091.0,297,695,342
1698920125174.0,302,695,348
1698920125252.0,304,704,340
1698920125331.0,301,694,335
1698920125414.0,303,688,341
1698920125492.0,292,715,367
1698920125574.0,274,741,405
1698920125651.0,225,750,429
1698920125732.0,184,792,433
1698920125811.0,142,804,439
1698920125891.0,107,805,436
1698920125972.0,123,814,430
1698920126052.0,174,793,419
1698920126131.0,243,762,402
1698920126214.0,280,722,376
1698920126291.0,313,671,342
1698920126371.0,324,647,347
1698920126451.0,320,638,343
1698920126531.0,315,637,341
1698920126614.0,303,660,338
1698920126691.0,290,691,354
1698920126771.0,258,733,387
1698920126851.0,230,744,405
1698920126932.0,185,783,423
1698920127011.0,138,800,422
1698920127092.0,102,807,439
1698920127171.0,107,797,447
1698920127254.0,128,775,458
1698920127331.0,218,762,427
1698920127411.0,273,705,405
1698920127491.0,313,662,404
1698920127571.0,310,662,409
1698920127654.0,291,645,425
1698920127731.0,288,624,437
1698920127811.0,281,598,448
1698920127891.0,292,577,455
1698920127971.0,275,558,466
1698920128051.0,268,561,446
1698920128133.0,276,556,456
1698920128211.0,273,555,456
1698920128293.0,280,533,446
1698920128371.0,264,519,444
1698920128451.0,286,514,448
1698920128531.0,270,522,446
1698920128611.0,265,546,456
1698920128691.0,267,564,445
1698920128771.0,274,578,455
1698920128851.0,281,565,452
1698920128931.0,292,531,445
1698920129012.0,286,481,431
1698920129091.0,269,445,411
1698920129173.0,263,418,427
1698920129251.0,255,409,413
1698920129334.0,258,414,399
1698920129411.0,261,408,399
1698920129491.0,270,431,395
1698920129571.0,289,449,408
1698920129651.0,273,471,432
1698920129731.0,282,502,456
1698920129811.0,264,573,471
1698920129891.0,269,589,475
1698920129971.0,275,595,457
1698920130051.0,290,561,436
1698920130131.0,305,503,409
1698920130211.0,269,426,379
1698920130291.0,265,402,390
1698920130373.0,244,396,413
1698920130450.0,244,405,430
1698920130531.0,258,413,428
1698920130611.0,261,397,417
1698920130691.0,247,389,390
1698920130771.0,263,391,385
1698920130851.0,286,423,406
1698920130930.0,294,489,463
1698920131014.0,275,570,476
1698920131090.0,285,607,470
1698920131170.0,289,593,468
1698920131251.0,300,551,453
1698920131330.0,332,517,413
1698920131413.0,327,484,378
1698920131491.0,309,454,344
1698920131570.0,301,455,324
1698920131650.0,298,471,311
1698920131731.0,293,508,301
1698920131811.0,299,543,294
1698920131892.0,288,590,293
1698920131971.0,301,625,293
1698920132053.0,287,650,300
1698920132130.0,270,680,293
1698920132210.0,246,710,301
1698920132290.0,235,739,302
1698920132370.0,211,761,317
1698920132453.0,206,783,329
1698920132530.0,186,804,337
1698920132611.0,184,812,364
1698920132691.0,170,817,369
1698920132770.0,146,827,381
1698920132850.0,119,825,403
1698920132932.0,103,838,423
1698920133010.0,76,828,433
1698920133093.0,64,820,449
1698920133171.0,43,815,446
1698920133250.0,42,820,440
1698920133330.0,30,820,453
1698920133410.0,45,822,456
1698920133490.0,44,824,454
1698920133570.0,41,811,456
1698920133651.0,61,801,470
1698920133730.0,51,811,462
1698920133810.0,67,818,459
1698920133890.0,58,812,468
1698920133972.0,67,818,465
1698920134050.0,68,814,472
1698920134133.0,71,812,461
1698920134210.0,62,805,452
1698920134290.0,76,820,466
1698920134371.0,66,799,460
1698920134450.0,74,806,457
1698920134530.0,83,807,473
1698920134610.0,64,797,466
1698920134690.0,75,798,470
1698920134770.0,66,806,465
1698920134850.0,79,802,474
1698920134930.0,78,807,462
1698920135012.0,68,803,462
1698920135090.0,67,816,454
1698920135172.0,70,808,455
1698920135250.0,56,827,452
1698920135330.0,66,831,451
1698920135410.0,54,804,455
1698920135490.0,54,814,450
1698920135571.0,60,822,458
1698920135650.0,56,812,460
1698920135730.0,58,817,454
1698920135812.0,62,816,445
1698920135890.0,68,814,463
1698920135970.0,51,818,445
1698920136050.0,54,810,457
1698920136130.0,54,817,453
1698920136212.0,60,823,463
1698920136290.0,58,817,457
