ts(msec),PPG
1698920120005.318,23939.0
1698920120025.7676,23932.0
1698920120046.217,23920.0
1698920120066.6665,23916.0
1698920120087.116,23901.0
1698920120107.5654,23887.0
1698920120128.015,23877.0
1698920120148.464,23867.0
1698920120168.9136,23862.0
1698920120189.363,23852.0
1698920120209.8125,23841.0
1698920120230.262,23846.0
1698920120250.7114,23836.0
1698920120271.161,23833.0
1698920120291.61,23833.0
1698920120312.0596,23831.0
1698920120332.509,23824.0
1698920120352.9585,23798.0
1698920120373.408,23792.0
1698920120393.8574,23771.0
1698920120414.307,23761.0
1698920120434.7563,23744.0
1698920120455.2056,23745.0
1698920120475.655,23728.0
1698920120496.1045,23723.0
1698920120516.554,23706.0
1698920120537.0034,23686.0
1698920120557.453,23661.0
1698920120577.9023,23653.0
1698920120598.3518,23632.0
1698920120618.801,23619.0
1698920120639.2505,23601.0
1698920120659.7,23590.0
1698920120680.1494,23550.0
1698920120700.5989,23521.0
1698920120721.0483,23477.0
1698920120741.4978,23430.0
1698920120761.9473,23365.0
1698920120782.3965,23289.0
1698920120802.846,23222.0
1698920120823.2954,23167.0
1698920120843.7449,23129.0
1698920120864.1943,23108.0
1698920120884.6438,23086.0
1698920120905.0933,23074.0
1698920120925.5427,23053.0
1698920120945.992,23048.0
1698920120966.4414,23035.0
1698920120986.8909,23028.0
1698920121007.3403,23018.0
1698920121027.7898,23010.0
1698920121048.2393,22989.0
1698920121068.6887,22975.0
1698920121089.1382,22963.0
1698920121109.5874,22931.0
1698920121130.0369,22889.0
1698920121150.4863,22848.0
1698920121170.9358,22830.0
1698920121191.3853,22803.0
1698920121211.8347,22802.0
1698920121232.2842,22807.0
1698920121252.7336,22826.0
1698920121273.1829,22845.0
1698920121293.6323,22861.0
1698920121314.0818,22892.0
1698920121334.5312,22923.0
1698920121354.9807,22953.0
1698920121375.4302,22969.0
1698920121395.8796,22985.0
1698920121416.3289,22988.0
1698920121436.7783,22999.0
1698920121457.2278,22998.0
1698920121477.6772,22999.0
1698920121498.1267,23004.0
1698920121518.5762,23011.0
1698920121539.0256,23005.0
1698920121559.475,23019.0
1698920121579.9243,23028.0
1698920121600.3738,23033.0
1698920121620.8232,23036.0
1698920121641.2727,23044.0
1698920121661.7222,23035.0
1698920121682.1716,23034.0
1698920121702.621,23021.0
1698920121723.0706,23026.0
1698920121743.5198,23028.0
1698920121763.9692,23031.0
1698920121784.4187,23031.0
1698920121804.8682,23020.0
1698920121825.3176,23017.0
1698920121845.767,23003.0
1698920121866.2166,23020.0
1698920121886.666,23010.0
1698920121907.1152,23005.0
1698920121927.5647,23015.0
1698920121948.0142,23008.0
1698920121968.4636,23010.0
1698920121988.913,23003.0
1698920122009.3623,23007.0
1698920122029.812,23019.0
1698920122050.2617,23009.0
1698920122070.7107,23012.0
1698920122091.1602,23017.0
1698920122111.6096,23014.0
1698920122132.059,23010.0
1698920122152.5083,23011.0
1698920122172.958,23006.0
1698920122193.4077,23009.0
1698920122213.857,23001.0
1698920122234.3062,22995.0
1698920122254.7556,22999.0
1698920122275.205,22999.0
1698920122295.6543,22997.0
1698920122316.104,22993.0
1698920122336.5537,22995.0
1698920122357.003,22991.0
1698920122377.4524,22991.0
1698920122397.9016,22982.0
1698920122418.351,22979.0
1698920122438.8003,22973.0
1698920122459.25,22974.0
1698920122479.6997,22965.0
1698920122500.149,22972.0
1698920122520.5984,22966.0
1698920122541.0476,22967.0
1698920122561.497,22966.0
1698920122581.9463,22965.0
1698920122602.396,22960.0
1698920122622.8457,22965.0
1698920122643.295,22955.0
1698920122663.7444,22956.0
1698920122684.1938,22947.0
1698920122704.643,22952.0
1698920122725.0923,22947.0
1698920122745.542,22945.0
1698920122765.9917,22943.0
1698920122786.441,22947.0
1698920122806.8904,22943.0
1698920122827.3398,22934.0
1698920122847.7893,22921.0
1698920122868.2383,22907.0
1698920122888.688,22916.0
1698920122909.1377,22913.0
1698920122929.587,22900.0
1698920122950.0364,22903.0
1698920122970.4858,22895.0
1698920122990.9353,22892.0
1698920123011.3848,22893.0
1698920123031.834,22897.0
1698920123052.2834,22899.0
1698920123072.733,22904.0
1698920123093.1824,22903.0
1698920123113.6318,22904.0
1698920123134.0813,22907.0
1698920123154.5308,22902.0
1698920123174.9802,22901.0
1698920123195.4294,22902.0
1698920123215.879,22897.0
1698920123236.3284,22894.0
1698920123256.7778,22888.0
1698920123277.2273,22899.0
1698920123297.6768,22900.0
1698920123318.1262,22886.0
1698920123338.5757,22885.0
1698920123359.025,22888.0
1698920123379.4744,22893.0
1698920123399.9238,22885.0
1698920123420.3733,22873.0
1698920123440.8228,22877.0
1698920123461.2722,22879.0
1698920123481.7217,22880.0
1698920123502.1711,22871.0
1698920123522.6204,22866.0
1698920123543.0698,22867.0
1698920123563.5193,22865.0
1698920123583.9688,22865.0
1698920123604.4182,22865.0
1698920123624.8677,22858.0
1698920123645.3171,22853.0
1698920123665.7664,22860.0
1698920123686.2158,22861.0
1698920123706.6653,22862.0
1698920123727.1147,22859.0
1698920123747.5642,22853.0
1698920123768.0137,22864.0
1698920123788.4631,22861.0
1698920123808.9126,22853.0
1698920123829.3618,22850.0
1698920123849.8113,22850.0
1698920123870.2607,22850.0
1698920123890.7102,22844.0
1698920123911.1597,22850.0
1698920123931.6091,22842.0
1698920123952.0586,22842.0
1698920123972.508,22842.0
1698920123992.9573,22836.0
1698920124013.4067,22837.0
1698920124033.8562,22829.0
1698920124054.3057,22829.0
1698920124074.7551,22823.0
1698920124095.2046,22819.0
1698920124115.654,22822.0
