timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698923720.034,-5,41,-1019,51,35,54,-17,-3044,5776,838,1139,1483,1839,1966
1698923720.035,-5,41,-1019,48,32,55,-17,-3044,5778,829,1136,1476,1838,1965
1698923720.042,-6,42,-1018,48,32,56,-17,-3043,5777,838,1129,1483,1839,1964
1698923720.087,-6,42,-1019,51,33,55,-18,-3043,5778,844,1133,1467,1839,1965
1698923720.116,-5,41,-1018,53,33,53,-18,-3043,5776,837,1132,1477,1839,1966
1698923720.131,-4,41,-1016,52,34,58,-18,-3043,5775,836,1131,1484,1840,1966
1698923720.132,-5,42,-1017,52,33,58,-18,-3042,5774,844,1134,1484,1841,1966
1698923720.154,-5,42,-1017,52,33,59,-17,-3042,5773,840,1130,1487,1841,1966
1698923720.162,-4,42,-1016,52,33,59,-18,-3042,5772,843,1132,1494,1841,1966
1698923720.185,-3,42,-1016,53,33,60,-19,-3042,5773,842,1130,1474,1839,1966
1698923720.199,-4,41,-1017,50,35,61,-19,-3042,5774,842,1132,1487,1839,1965
1698923720.222,-5,42,-1017,50,36,59,-19,-3043,5776,839,1129,1490,1840,1965
1698923720.244,-5,42,-1018,50,36,60,-19,-3044,5774,834,1130,1495,1837,1964
1698923720.267,-5,42,-1017,51,35,58,-19,-3044,5773,836,1132,1500,1838,1964
1698923720.305,-5,42,-1017,51,34,58,-18,-3044,5772,834,1138,1503,1838,1965
1698923720.312,-6,42,-1017,49,31,59,-18,-3058,5771,834,1131,1490,1838,1966
1698923720.349,-5,42,-1018,50,33,58,-17,-3055,5770,837,1132,1481,1840,1966
1698923720.35,-5,42,-1019,50,34,59,-18,-3052,5768,840,1131,1480,1840,1966
1698923720.364,-6,42,-1019,51,34,61,-17,-3050,5768,836,1129,1486,1838,1965
1698923720.394,-5,42,-1018,50,34,58,-18,-3049,5769,835,1129,1490,1838,1964
1698923720.402,-5,42,-1019,53,30,56,-18,-3047,5769,834,1124,1487,1837,1963
1698923720.439,-5,42,-1019,52,31,56,-17,-3045,5768,838,1126,1479,1839,1965
1698923720.454,-5,42,-1020,53,34,59,-18,-3044,5770,837,1121,1481,1837,1964
1698923720.462,-5,42,-1019,52,36,57,-17,-3043,5770,838,1129,1483,1839,1966
1698923720.498,-5,42,-1019,52,38,57,-17,-3044,5770,827,1133,1487,1839,1967
1698923720.5,-5,42,-1018,52,37,58,-17,-3045,5769,835,1132,1481,1840,1966
1698923720.529,-5,42,-1018,51,36,61,-18,-3045,5770,829,1130,1472,1839,1965
1698923720.544,-4,42,-1017,50,39,57,-18,-3046,5771,828,1136,1491,1838,1965
1698923720.581,-4,42,-1016,53,39,57,-18,-3046,5771,832,1133,1483,1838,1965
1698923720.583,-4,42,-1015,51,41,60,-18,-3046,5771,825,1132,1487,1838,1965
1698923720.627,-5,42,-1018,52,37,58,-19,-3046,5772,829,1132,1511,1838,1966
1698923720.629,-5,42,-1019,47,34,57,-19,-3046,5772,828,1137,1477,1839,1966
1698923720.642,-5,42,-1020,47,33,58,-19,-3045,5772,830,1139,1474,1839,1966
1698923720.68,-5,42,-1021,48,32,59,-19,-3045,5770,826,1134,1469,1842,1969
1698923720.68,-5,42,-1020,47,29,59,-19,-3045,5771,832,1138,1470,1843,1968
1698923720.709,-4,42,-1019,49,28,58,-19,-3046,5771,833,1134,1459,1842,1968
1698923720.724,-6,42,-1019,48,27,55,-19,-3045,5771,839,1136,1459,1842,1968
1698923720.74,-6,43,-1019,50,27,55,-18,-3045,5773,836,1130,1464,1842,1969
1698923720.776,-6,43,-1020,50,27,58,-18,-3045,5773,836,1135,1458,1842,1968
1698923720.785,-6,43,-1020,50,26,59,-17,-3044,5773,827,1133,1453,1842,1969
1698923720.8,-5,42,-1020,52,25,57,-18,-3044,5773,831,1133,1458,1842,1969
1698923720.822,-5,43,-1019,48,25,58,-19,-3044,5773,830,1134,1451,1843,1971
1698923720.867,-5,42,-1020,50,30,59,-19,-3045,5774,828,1127,1449,1842,1969
1698923720.867,-4,42,-1018,49,33,60,-19,-3045,5774,826,1129,1450,1842,1970
1698923720.897,-4,42,-1017,49,33,59,-18,-3045,5774,832,1128,1452,1843,1970
1698923720.912,-4,42,-1018,51,33,58,-18,-3045,5773,826,1125,1448,1844,1970
1698923720.919,-4,42,-1019,52,36,56,-17,-3046,5772,826,1130,1449,1844,1971
1698923720.949,-4,43,-1020,52,37,58,-18,-3046,5772,826,1126,1449,1843,1970
1698923720.965,-4,42,-1021,48,42,59,-18,-3046,5772,822,1132,1449,1844,1969
1698923720.987,-5,42,-1020,48,44,56,-18,-3045,5772,822,1134,1458,1844,1969
1698923721.002,-5,42,-1020,50,44,58,-19,-3046,5772,820,1133,1448,1844,1970
1698923721.032,-5,43,-1019,48,45,60,-19,-3045,5773,817,1134,1444,1844,1970
1698923721.054,-5,43,-1021,48,48,60,-19,-3045,5773,823,1131,1442,1844,1970
1698923721.062,-5,43,-1020,49,47,60,-19,-3044,5774,824,1130,1443,1843,1969
1698923721.1,-5,43,-1020,49,42,61,-19,-3044,5774,824,1130,1444,1844,1968
1698923721.101,-5,43,-1019,49,37,60,-18,-3045,5774,823,1134,1444,1843,1969
1698923721.137,-6,43,-1019,51,37,55,-18,-3044,5775,823,1133,1442,1843,1969
1698923721.144,-7,42,-1019,50,34,60,-18,-3044,5775,821,1132,1443,1842,1967
1698923721.189,-6,42,-1019,50,31,58,-18,-3043,5775,820,1131,1458,1842,1967
1698923721.19,-6,42,-1019,50,31,59,-18,-3042,5775,819,1128,1450,1842,1967
1698923721.204,-6,42,-1020,52,31,57,-18,-3041,5773,840,1127,1453,1845,1970
1698923721.234,6,41,-1019,51,32,58,-17,-3042,5773,839,1130,1463,1845,1970
1698923721.242,3,42,-1020,49,32,59,-18,-3041,5773,838,1131,1443,1845,1971
1698923721.272,1,41,-1019,50,32,59,-18,-3040,5773,833,1129,1439,1846,1971
1698923721.279,0,41,-1020,50,33,56,-18,-3040,5774,846,1126,1443,1846,1970
1698923721.331,-1,42,-1020,51,38,57,-18,-3041,5774,843,1126,1442,1845,1970
1698923721.333,-1,42,-1020,49,36,55,-18,-3041,5774,846,1129,1454,1846,1970
1698923721.362,-1,42,-1019,49,35,55,-18,-3041,5773,845,1129,1450,1844,1970
1698923721.363,-2,42,-1020,49,32,57,-18,-3041,5772,847,1127,1451,1844,1971
1698923721.384,-2,42,-1019,48,35,58,-18,-3041,5771,844,1137,1453,1844,1970
1698923721.414,-3,42,-1020,50,36,58,-18,-3042,5772,840,1138,1452,1845,1970
1698923721.422,-4,42,-1020,50,34,55,-17,-3043,5771,840,1134,1453,1844,1969
1698923721.459,-4,42,-1019,54,38,57,-17,-3043,5771,839,1138,1454,1844,1968
1698923721.46,-3,42,-1018,52,33,59,-17,-3043,5772,837,1137,1458,1846,1970
1698923721.505,-4,42,-1019,52,34,59,-18,-3043,5771,842,1132,1449,1845,1971
1698923721.506,-4,42,-1017,52,36,59,-19,-3043,5771,848,1130,1448,1846,1969
1698923721.527,-5,42,-1018,52,32,59,-18,-3044,5769,845,1133,1449,1845,1969
1698923721.542,-4,42,-1020,50,26,59,-17,-3043,5769,841,1129,1460,1844,1969
1698923721.564,-5,42,-1019,51,28,56,-18,-3044,5768,833,1124,1459,1844,1968
1698923721.579,-6,42,-1019,49,27,57,-17,-3044,5767,841,1124,1452,1842,1967
1698923721.602,-5,43,-1019,51,28,54,-17,-3044,5767,838,1118,1456,1843,1967
1698923721.64,-4,43,-1019,50,27,55,-17,-3044,5768,842,1116,1453,1842,1967
1698923721.64,-5,43,-1018,53,29,55,-17,-3045,5768,849,1106,1453,1843,1967
1698923721.662,-4,43,-1020,49,30,56,-17,-3044,5768,860,1113,1453,1844,1968
1698923721.691,-4,43,-1021,51,32,57,-16,-3044,5767,854,1108,1454,1843,1967
1698923721.699,-4,43,-1021,53,34,58,-14,-3045,5765,858,1103,1456,1844,1968
1698923721.729,-3,41,-1021,56,33,57,-15,-3045,5765,853,1098,1454,1842,1967
