ms,x,y,z
1698920214293.0,-465,677,-566
1698920214373.0,-466,673,-568
1698920214454.0,-465,670,-577
1698920214536.0,-461,669,-593
1698920214613.0,-463,669,-592
1698920214693.0,-468,669,-575
1698920214773.0,-473,664,-571
1698920214853.0,-475,662,-570
1698920214933.0,-473,663,-574
1698920215013.0,-474,665,-576
1698920215093.0,-474,663,-576
1698920215173.0,-471,657,-575
1698920215253.0,-468,654,-572
1698920215333.0,-469,655,-570
1698920215413.0,-472,661,-572
1698920215493.0,-473,668,-575
1698920215573.0,-475,671,-575
1698920215653.0,-475,674,-571
1698920215733.0,-469,674,-564
1698920215813.0,-465,673,-563
1698920215893.0,-460,675,-569
1698920215973.0,-460,679,-572
1698920216053.0,-470,677,-568
1698920216133.0,-472,672,-560
1698920216214.0,-465,671,-562
1698920216293.0,-462,673,-571
1698920216373.0,-450,698,-557
1698920216453.0,-441,710,-543
1698920216533.0,-450,692,-552
1698920216613.0,-452,682,-558
1698920216693.0,-455,678,-555
1698920216773.0,-453,677,-569
1698920216853.0,-461,672,-578
1698920216933.0,-463,673,-567
1698920217014.0,-463,671,-565
1698920217093.0,-465,668,-578
1698920217173.0,-467,672,-582
1698920217253.0,-466,674,-580
1698920217333.0,-465,673,-574
1698920217415.0,-467,669,-569
1698920217493.0,-468,670,-568
1698920217573.0,-468,671,-559
1698920217653.0,-469,671,-555
1698920217733.0,-460,680,-559
1698920217813.0,-453,688,-553
1698920217893.0,-452,692,-553
1698920217973.0,-451,691,-563
1698920218053.0,-450,688,-565
1698920218133.0,-492,741,-490
1698920218213.0,-511,768,-460
1698920218293.0,-481,726,-518
1698920218373.0,-472,717,-556
1698920218455.0,-442,700,-602
1698920218533.0,-383,651,-626
1698920218613.0,-332,586,-614
1698920218693.0,-367,608,-638
1698920218773.0,-431,624,-637
1698920218853.0,-417,625,-626
1698920218933.0,-434,700,-587
1698920219013.0,-508,736,-489
1698920219093.0,-667,713,-305
1698920219173.0,-708,698,-252
1698920219253.0,-754,659,-229
1698920219333.0,-862,673,-188
1698920219413.0,-956,674,-143
1698920219495.0,-959,608,-94
1698920219573.0,-948,548,-36
1698920219652.0,-954,489,2
1698920219733.0,-944,422,15
1698920219812.0,-925,367,1
1698920219892.0,-900,321,-22
1698920219973.0,-887,290,-34
1698920220053.0,-887,274,-30
1698920220132.0,-911,303,-20
1698920220213.0,-952,299,-12
1698920220292.0,-979,245,-12
1698920220373.0,-977,213,-20
1698920220453.0,-950,209,-29
1698920220535.0,-928,209,-45
1698920220612.0,-912,202,-48
1698920220693.0,-910,218,-53
1698920220772.0,-919,237,-73
1698920220852.0,-951,252,-81
1698920220933.0,-989,291,-85
1698920221012.0,-975,331,-93
1698920221092.0,-963,371,-98
1698920221172.0,-1006,418,-97
1698920221252.0,-1045,417,-81
1698920221332.0,-1032,385,-69
1698920221413.0,-975,339,-41
1698920221492.0,-981,313,-30
1698920221572.0,-980,285,-40
1698920221652.0,-1054,245,-53
1698920221732.0,-1139,203,-63
1698920221812.0,-1107,186,-83
1698920221893.0,-1064,162,-89
1698920221972.0,-1020,132,-73
1698920222052.0,-947,148,-66
1698920222132.0,-910,181,-85
1698920222212.0,-911,187,-108
1698920222292.0,-932,184,-129
1698920222372.0,-975,177,-148
1698920222453.0,-986,155,-165
1698920222532.0,-964,130,-179
1698920222615.0,-930,132,-204
1698920222692.0,-966,174,-235
1698920222772.0,-1060,227,-217
1698920222852.0,-1128,263,-177
1698920222932.0,-1112,284,-142
1698920223012.0,-1107,282,-91
1698920223093.0,-1095,261,-20
1698920223172.0,-1023,261,31
1698920223252.0,-953,277,39
1698920223332.0,-881,267,25
1698920223412.0,-885,233,-62
1698920223493.0,-927,195,-183
1698920223572.0,-983,199,-247
1698920223652.0,-1026,211,-256
1698920223732.0,-1068,248,50
1698920223812.0,-1056,289,-40
1698920223892.0,-1041,247,-59
1698920223972.0,-1018,146,-90
1698920224053.0,-941,109,-132
1698920224132.0,-896,109,-149
1698920224212.0,-918,136,-162
1698920224292.0,-947,152,-161
1698920224372.0,-981,151,-156
1698920224452.0,-994,205,-164
1698920224533.0,-986,232,-170
1698920224612.0,-968,219,-189
1698920224692.0,-1001,233,-217
1698920224772.0,-1059,231,-208
1698920224852.0,-1104,240,-175
1698920224932.0,-1093,262,-144
1698920225012.0,-1011,247,-64
1698920225093.0,-968,227,31
1698920225171.0,-983,249,55
1698920225252.0,-982,271,43
1698920225332.0,-953,250,23
1698920225412.0,-940,226,-32
1698920225492.0,-925,229,-104
1698920225573.0,-960,252,-154
1698920225652.0,-1019,271,-181
1698920225732.0,-1018,269,-177
1698920225811.0,-1030,215,-109
1698920225891.0,-1038,174,-8
1698920225972.0,-1094,145,35
1698920226051.0,-1022,52,-9
1698920226131.0,-973,110,-12
1698920226211.0,-971,143,-18
1698920226291.0,-973,188,-29
1698920226371.0,-973,246,-71
1698920226452.0,-957,252,-118
1698920226531.0,-917,264,-153
1698920226613.0,-901,269,-182
1698920226692.0,-909,243,-188
1698920226771.0,-899,208,-197
1698920226851.0,-904,185,-203
1698920226932.0,-954,180,-182
1698920227011.0,-1012,216,-158
1698920227091.0,-1021,254,-140
1698920227172.0,-994,258,-125
1698920227251.0,-1017,206,-109
1698920227331.0,-1017,198,-97
1698920227411.0,-983,274,-81
1698920227491.0,-996,315,-64
1698920227571.0,-1005,318,-56
1698920227654.0,-964,300,-49
1698920227731.0,-942,279,-44
1698920227811.0,-1001,264,-26
1698920227892.0,-1002,287,-31
1698920227971.0,-957,312,-73
1698920228051.0,-950,310,-124
1698920228131.0,-935,283,-192
1698920228211.0,-918,228,-231
1698920228291.0,-917,198,-231
1698920228371.0,-941,202,-197
1698920228451.0,-935,227,-197
1698920228531.0,-920,246,-225
1698920228611.0,-959,256,-257
1698920228693.0,-1064,281,-278
1698920228771.0,-1120,272,-268
1698920228851.0,-1069,228,-210
1698920228931.0,-1027,244,-153
1698920229011.0,-1039,313,-85
1698920229091.0,-1095,376,7
1698920229171.0,-1106,379,69
1698920229251.0,-1008,339,92
1698920229331.0,-891,305,43
1698920229411.0,-848,250,-55
1698920229492.0,-894,196,-164
1698920229571.0,-993,182,-234
1698920229651.0,-1119,169,-227
1698920229733.0,-1176,146,-208
1698920229811.0,-1138,170,-180
1698920229891.0,-1059,226,-132
1698920229971.0,-991,224,-71
1698920230051.0,-921,194,-52
1698920230131.0,-887,166,-84
1698920230211.0,-921,121,-120
1698920230291.0,-965,86,-151
1698920230371.0,-988,76,-169
1698920230451.0,-984,110,-185
1698920230531.0,-995,164,-201
1698920230611.0,-1037,229,-231
1698920230691.0,-1052,224,-197
1698920230774.0,-1104,288,-73
1698920230851.0,-1040,304,89
1698920230931.0,-1071,272,137
1698920231011.0,-1061,298,138
1698920231091.0,-1001,294,147
1698920231171.0,-883,282,83
1698920231251.0,-835,287,-84
1698920231331.0,-874,304,-200
1698920231411.0,-958,319,-246
1698920231491.0,-1017,299,-277
1698920231573.0,-1092,292,-243
1698920231651.0,-1161,304,-191
1698920231731.0,-1112,322,-157
1698920231813.0,-1063,328,-48
1698920231891.0,-983,271,8
1698920231971.0,-883,218,-54
1698920232050.0,-894,199,-109
1698920232130.0,-964,170,-142
1698920232211.0,-998,136,-155
1698920232290.0,-986,124,-152
1698920232370.0,-980,140,-131
1698920232451.0,-973,159,-92
1698920232530.0,-971,205,-49
1698920232613.0,-961,281,-51
1698920232691.0,-932,346,-64
1698920232770.0,-1002,362,-26
