timestamp,abs,alpha,beta,gamma
1698920729.0,False,70.3,82.9,20.1
1698920729.068,False,70.2,83.10000000000001,20.200000000000003
1698920729.1,False,70.3,83.10000000000001,20.1
1698920729.118,False,70.4,83.10000000000001,20.0
1698920729.152,False,70.60000000000001,83.10000000000001,19.8
1698920729.2,False,70.7,83.0,19.6
1698920729.234,False,70.7,83.0,19.700000000000003
1698920729.318,False,70.5,82.9,19.900000000000002
1698920729.351,False,70.3,82.9,20.1
1698920729.368,False,70.10000000000001,82.9,20.3
1698920729.384,False,70.0,82.9,20.400000000000002
1698920729.401,False,69.8,82.9,20.5
1698920729.418,False,69.7,82.9,20.700000000000003
1698920729.469,False,69.5,82.9,20.900000000000002
1698920729.501,False,69.3,83.0,21.0
1698920729.518,False,69.4,83.0,21.0
1698920729.551,False,69.3,83.0,21.0
1698920729.567,False,69.4,83.0,21.0
1698920729.584,False,69.3,83.0,21.0
1698920729.604,False,69.4,83.0,21.0
1698920729.618,False,69.3,83.0,21.1
1698920729.668,False,69.3,83.10000000000001,21.1
1698920729.686,False,69.2,83.10000000000001,21.200000000000003
1698920729.718,False,69.0,83.10000000000001,21.400000000000002
1698920729.768,False,68.7,83.10000000000001,21.6
1698920729.786,False,68.7,83.10000000000001,21.700000000000003
1698920729.835,False,68.7,83.0,21.700000000000003
1698920729.85,False,68.7,83.0,21.6
1698920729.867,False,68.7,83.0,21.700000000000003
1698920729.934,False,68.7,83.0,21.6
1698920729.967,False,69.0,82.9,21.400000000000002
1698920729.984,False,69.0,82.9,21.3
1698920730.017,False,69.10000000000001,82.9,21.3
1698920730.05,False,69.0,82.80000000000001,21.3
1698920730.067,False,69.0,82.80000000000001,21.400000000000002
1698920730.15,False,68.8,82.80000000000001,21.5
1698920730.167,False,68.8,82.80000000000001,21.6
1698920730.183,False,68.7,82.80000000000001,21.700000000000003
1698920730.283,False,68.8,82.9,21.6
1698920730.317,False,68.7,82.9,21.700000000000003
1698920730.35,False,68.5,82.9,21.900000000000002
1698920730.386,False,68.5,82.9,21.8
1698920730.401,False,68.60000000000001,82.9,21.8
1698920730.634,False,68.5,82.9,21.8
1698920730.667,False,68.5,82.9,21.900000000000002
1698920730.718,False,68.5,82.80000000000001,21.8
1698920730.752,False,68.5,82.80000000000001,21.900000000000002
1698920731.0,False,68.5,82.7,21.900000000000002
1698920731.067,False,68.5,82.7,21.8
1698920731.084,False,68.5,82.7,21.900000000000002
1698920731.184,False,68.5,82.7,21.8
1698920731.201,False,68.60000000000001,82.7,21.8
1698920731.251,False,68.5,82.7,21.900000000000002
1698920731.284,False,68.3,82.7,22.1
1698920731.318,False,68.2,82.7,22.200000000000003
1698920731.467,False,68.10000000000001,82.80000000000001,22.3
1698920731.518,False,68.0,82.80000000000001,22.400000000000002
1698920731.535,False,68.0,82.80000000000001,22.3
1698920731.551,False,68.0,82.80000000000001,22.400000000000002
1698920731.618,False,67.8,82.80000000000001,22.5
1698920731.65,False,67.8,82.80000000000001,22.6
1698920731.683,False,67.7,82.80000000000001,22.700000000000003
1698920731.834,False,67.8,82.9,22.6
1698920731.85,False,67.8,82.9,22.5
1698920731.868,False,67.8,82.9,22.6
1698920731.884,False,67.9,82.9,22.5
1698920731.918,False,67.8,82.9,22.5
1698920731.933,False,67.9,82.9,22.5
1698920732.117,False,68.0,82.9,22.3
1698920732.133,False,68.10000000000001,82.9,22.3
1698920732.2,False,68.0,82.9,22.3
1698920732.217,False,68.0,82.9,22.400000000000002
1698920732.417,False,67.8,82.9,22.6
1698920732.55,False,67.60000000000001,82.9,22.8
1698920732.6,False,67.5,82.9,22.900000000000002
1698920732.784,False,67.60000000000001,82.9,22.8
1698920732.8,False,67.7,82.9,22.6
1698920732.837,False,67.9,82.9,22.5
1698920732.901,False,68.10000000000001,82.9,22.3
1698920732.918,False,68.0,82.9,22.3
1698920732.934,False,68.10000000000001,82.9,22.3
1698920733.0,False,68.2,82.9,22.1
1698920733.084,False,68.4,82.9,22.0
1698920733.1,False,68.60000000000001,82.9,21.8
1698920733.184,False,68.7,82.80000000000001,21.6
1698920733.217,False,68.9,82.80000000000001,21.5
1698920733.319,False,69.0,82.80000000000001,21.3
1698920733.334,False,69.10000000000001,82.80000000000001,21.3
1698920733.383,False,69.3,82.80000000000001,21.1
1698920733.451,False,69.2,82.80000000000001,21.200000000000003
1698920733.535,False,69.10000000000001,82.7,21.200000000000003
1698920733.618,False,69.0,82.7,21.3
1698920733.634,False,69.10000000000001,82.7,21.3
1698920733.652,False,69.0,82.7,21.3
1698920733.667,False,69.0,82.7,21.400000000000002
1698920733.768,False,68.9,82.80000000000001,21.5
1698920733.851,False,68.8,82.80000000000001,21.5
1698920733.868,False,68.8,82.80000000000001,21.6
