ts,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698921023015.0,16,0.0,0.0,0.0,-0.5,9.200000000000001,2.3000000000000003,0.30000000000000004,-0.1,-0.2
1698921023034.0,16,0.0,0.0,0.0,-0.5,9.3,2.3000000000000003,0.2,-0.2,-0.1
1698921023048.0,16,0.0,0.0,0.0,-0.5,9.200000000000001,2.4000000000000004,0.1,-0.2,-0.1
1698921023065.0,16,0.0,0.0,0.0,-0.5,9.3,2.3000000000000003,0.1,-0.30000000000000004,0.0
1698921023083.0,16,0.0,0.0,0.0,-0.5,9.3,2.4000000000000004,-0.1,-0.1,-0.1
1698921023099.0,16,0.0,0.0,0.0,-0.5,9.3,2.3000000000000003,-0.2,0.2,-0.1
1698921023115.0,16,0.0,0.0,0.0,-0.5,9.3,2.4000000000000004,-0.1,0.2,-0.30000000000000004
1698921023132.0,16,0.0,0.0,0.0,-0.5,9.3,2.3000000000000003,0.2,0.30000000000000004,-0.2
1698921023148.0,16,0.0,0.0,0.0,-0.5,9.200000000000001,2.3000000000000003,0.2,0.2,-0.1
1698921023165.0,16,0.0,0.0,0.0,-0.5,9.200000000000001,2.4000000000000004,0.1,0.0,0.0
1698921023182.0,16,0.0,0.0,0.0,-0.5,9.200000000000001,2.3000000000000003,0.1,-0.2,-0.1
1698921023199.0,16,0.0,0.0,0.0,-0.5,9.3,2.3000000000000003,0.4,-0.2,-0.1
1698921023215.0,16,0.0,0.0,0.0,-0.5,9.3,2.3000000000000003,0.30000000000000004,-0.1,-0.1
1698921023232.0,16,0.0,0.0,0.0,-0.5,9.3,2.4000000000000004,0.4,-0.2,0.1
1698921023248.0,16,0.0,0.0,0.0,-0.5,9.3,2.3000000000000003,0.6000000000000001,-0.2,-0.1
1698921023265.0,16,0.0,0.0,0.0,-0.5,9.3,2.4000000000000004,0.6000000000000001,-0.2,0.1
1698921023282.0,16,0.0,0.0,0.0,-0.5,9.3,2.4000000000000004,0.5,-0.30000000000000004,0.0
1698921023298.0,16,0.0,0.0,0.0,-0.5,9.3,2.4000000000000004,0.30000000000000004,-0.2,-0.1
1698921023315.0,16,0.0,0.0,0.1,-0.5,9.200000000000001,2.4000000000000004,0.4,-0.2,0.0
1698921023332.0,16,0.0,0.0,0.0,-0.5,9.3,2.4000000000000004,0.4,-0.2,0.0
1698921023348.0,16,0.0,0.0,0.0,-0.5,9.3,2.3000000000000003,0.4,0.0,0.1
1698921023366.0,16,0.0,0.0,0.0,-0.5,9.3,2.4000000000000004,0.5,0.1,0.0
