msFromStart,abs,alpha,beta,gamma
1698921023034.0,False,79.9,75.5,11.9
1698921023400.0,False,79.7,75.5,12.0
1698921023433.0,False,79.7,75.5,12.100000000000001
1698921023449.0,False,79.7,75.60000000000001,12.100000000000001
1698921023649.0,False,79.5,75.7,12.3
1698921023882.0,False,79.60000000000001,75.8,12.200000000000001
1698921024100.0,False,79.80000000000001,75.8,12.0
1698921024132.0,False,79.9,75.8,11.8
1698921024366.0,False,80.10000000000001,75.7,11.700000000000001
1698921024449.0,False,80.2,75.7,11.5
1698921024466.0,False,80.30000000000001,75.7,11.4
1698921024499.0,False,80.5,75.7,11.200000000000001
1698921024517.0,False,80.60000000000001,75.7,11.100000000000001
1698921024549.0,False,80.5,75.7,11.100000000000001
1698921024599.0,False,80.60000000000001,75.7,11.100000000000001
1698921024615.0,False,80.60000000000001,75.7,11.0
1698921024649.0,False,80.5,75.7,10.9
1698921024699.0,False,80.30000000000001,75.5,11.0
1698921024716.0,False,80.2,75.5,11.0
1698921024733.0,False,80.10000000000001,75.4,11.100000000000001
1698921024749.0,False,80.0,75.4,11.200000000000001
1698921024766.0,False,79.80000000000001,75.4,11.3
1698921024782.0,False,79.7,75.4,11.3
1698921024832.0,False,79.5,75.4,11.4
1698921024933.0,False,79.60000000000001,75.5,11.200000000000001
1698921024965.0,False,79.5,75.5,11.3
1698921024999.0,False,79.30000000000001,75.5,11.4
1698921025016.0,False,79.2,75.5,11.600000000000001
1698921025049.0,False,78.9,75.4,11.9
1698921025065.0,False,78.80000000000001,75.4,12.100000000000001
1698921025083.0,False,78.60000000000001,75.3,12.3
1698921025100.0,False,78.5,75.3,12.4
1698921025199.0,False,78.30000000000001,75.2,12.600000000000001
1698921025382.0,False,78.4,75.4,12.600000000000001
1698921025433.0,False,78.30000000000001,75.4,12.8
1698921025465.0,False,78.2,75.5,12.9
1698921025499.0,False,78.2,75.5,13.100000000000001
1698921025533.0,False,78.2,75.60000000000001,13.200000000000001
1698921025582.0,False,78.0,75.60000000000001,13.4
1698921025633.0,False,78.10000000000001,75.7,13.4
1698921025732.0,False,78.2,75.7,13.200000000000001
1698921025766.0,False,78.30000000000001,75.7,13.200000000000001
1698921025899.0,False,78.4,75.60000000000001,13.0
1698921025933.0,False,78.4,75.60000000000001,13.100000000000001
1698921026035.0,False,78.2,75.60000000000001,13.200000000000001
1698921026082.0,False,78.10000000000001,75.60000000000001,13.4
