timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698921415.887,False,0.0,0,0,6846
1698921416.876,False,0.0,0,0,6846
1698921418.367,False,0.0,0,0,6846
1698921418.863,False,0.0,0,0,6846
1698921419.841,False,0.0,0,0,6846
1698921421.825,False,0.0,0,0,6846
1698921421.826,False,0.0,0,0,6846
1698921423.313,False,0.0,0,0,6846
1698921423.808,False,0.0,0,0,6846
1698921424.797,False,0.0,0,0,6846
1698921425.789,False,1.0546875,19,156,6854
1698921426.775,True,1.83203125,35,184,6869
1698921427.765,False,2.0546875,51,217,6893
1698921428.759,False,2.0546875,69,247,6911
1698921429.758,False,2.02734375,67,262,6929
1698921430.734,False,1.75,63,229,6953
1698921431.726,False,1.75,63,229,6953
1698921433.714,False,0.0,0,0,6953
1698921433.715,False,0.0,0,0,6953
1698921434.697,False,0.0,0,0,6953
1698921435.686,False,0.0,0,0,6953
