ts,ppg
1698921415008.0198,11774.0
1698921415028.47,11770.0
1698921415048.9204,11770.0
1698921415069.3708,11777.0
1698921415089.8213,11779.0
1698921415110.2715,11772.0
1698921415130.722,11772.0
1698921415151.1724,11774.0
1698921415171.6228,11769.0
1698921415192.073,11771.0
1698921415212.5234,11776.0
1698921415232.974,11781.0
1698921415253.4243,11776.0
1698921415273.8745,11777.0
1698921415294.325,11783.0
1698921415314.7754,11792.0
1698921415335.2258,11792.0
1698921415355.676,11802.0
1698921415376.1265,11804.0
1698921415396.577,11802.0
1698921415417.027,11810.0
1698921415437.4775,11809.0
1698921415457.928,11814.0
1698921415478.3784,11814.0
1698921415498.8289,11814.0
1698921415519.279,11814.0
1698921415539.7295,11814.0
1698921415560.18,11820.0
1698921415580.6304,11828.0
1698921415601.0806,11824.0
1698921415621.531,11824.0
1698921415641.9814,11827.0
1698921415662.432,11823.0
1698921415682.882,11830.0
1698921415703.3325,11834.0
1698921415723.783,11834.0
1698921415744.2334,11833.0
1698921415764.6836,11840.0
1698921415785.134,11840.0
1698921415805.5845,11838.0
1698921415826.035,11844.0
1698921415846.485,11845.0
1698921415866.9355,11855.0
1698921415887.386,11851.0
1698921415907.8364,11855.0
1698921415928.2866,11852.0
1698921415948.737,11859.0
1698921415969.1875,11852.0
1698921415989.638,11865.0
1698921416010.0884,11864.0
1698921416030.5386,11864.0
1698921416050.989,11871.0
1698921416071.4397,11871.0
1698921416091.89,11873.0
1698921416112.34,11868.0
1698921416132.7903,11877.0
1698921416153.241,11874.0
1698921416173.6914,11877.0
1698921416194.1416,11885.0
1698921416214.592,11886.0
1698921416235.0425,11885.0
1698921416255.493,11887.0
1698921416275.943,11889.0
1698921416296.3936,11893.0
1698921416316.844,11896.0
1698921416337.2944,11896.0
1698921416357.7446,11900.0
1698921416378.195,11897.0
1698921416398.6455,11903.0
1698921416419.096,11899.0
1698921416439.546,11910.0
1698921416459.9966,11904.0
1698921416480.447,11909.0
1698921416500.8977,11912.0
1698921416521.3477,11914.0
1698921416541.798,11916.0
1698921416562.2483,11917.0
1698921416582.699,11924.0
1698921416603.1492,11928.0
1698921416623.5996,11930.0
1698921416644.05,11935.0
1698921416664.5005,11938.0
1698921416684.9507,11944.0
1698921416705.4011,11946.0
1698921416725.8516,11951.0
1698921416746.302,11954.0
1698921416766.7522,11967.0
1698921416787.2026,11964.0
1698921416807.653,11960.0
1698921416828.1035,11977.0
1698921416848.5537,11974.0
1698921416869.0042,11978.0
1698921416889.4546,11979.0
1698921416909.905,11992.0
1698921416930.3552,11986.0
1698921416950.8057,11985.0
1698921416971.256,11987.0
1698921416991.7063,11997.0
1698921417012.1567,11999.0
1698921417032.6072,12000.0
1698921417053.0576,12003.0
1698921417073.508,11996.0
1698921417093.9585,11997.0
1698921417114.4087,12003.0
1698921417134.8591,11999.0
1698921417155.3096,12001.0
1698921417175.7598,12008.0
1698921417196.2102,12011.0
1698921417216.6606,12012.0
1698921417237.111,12008.0
1698921417257.5613,12004.0
1698921417278.0117,12008.0
1698921417298.4622,12010.0
1698921417318.9126,12016.0
1698921417339.3628,12011.0
1698921417359.8132,12012.0
1698921417380.2637,12023.0
1698921417400.714,12020.0
1698921417421.1643,12023.0
1698921417441.6147,12019.0
1698921417462.0652,12023.0
1698921417482.5156,12022.0
1698921417502.9658,12024.0
1698921417523.4165,12026.0
1698921417543.8667,12023.0
1698921417564.3171,12029.0
1698921417584.767,12036.0
1698921417605.2178,12036.0
1698921417625.6682,12036.0
1698921417646.119,12036.0
1698921417666.5688,12036.0
1698921417687.0193,12040.0
1698921417707.4695,12047.0
1698921417727.9202,12045.0
1698921417748.3704,12048.0
1698921417768.8208,12046.0
1698921417789.2712,12053.0
1698921417809.7217,12056.0
1698921417830.172,12063.0
1698921417850.6223,12061.0
1698921417871.0728,12070.0
1698921417891.5232,12078.0
1698921417911.9734,12080.0
1698921417932.4238,12097.0
1698921417952.8745,12093.0
1698921417973.3247,12112.0
1698921417993.775,12129.0
1698921418014.225,12149.0
1698921418034.6758,12171.0
1698921418055.1262,12186.0
1698921418075.5764,12204.0
1698921418096.0269,12223.0
1698921418116.4773,12238.0
1698921418136.9275,12252.0
1698921418157.378,12265.0
1698921418177.8284,12272.0
1698921418198.2788,12278.0
1698921418218.7292,12291.0
1698921418239.1794,12307.0
1698921418259.63,12322.0
1698921418280.0803,12335.0
1698921418300.5308,12352.0
1698921418320.981,12356.0
1698921418341.4314,12382.0
1698921418361.8818,12387.0
1698921418382.3325,12397.0
1698921418402.7825,12401.0
1698921418423.233,12420.0
1698921418443.683,12431.0
1698921418464.1338,12438.0
1698921418484.584,12451.0
1698921418505.0344,12457.0
1698921418525.4849,12471.0
1698921418545.9353,12468.0
1698921418566.3855,12484.0
1698921418586.836,12496.0
1698921418607.2864,12499.0
1698921418627.7368,12511.0
1698921418648.187,12523.0
1698921418668.6377,12537.0
