ts,abs,alpha,beta,gamma
1698921495115.0,False,86.5,73.60000000000001,6.5
1698921495132.0,False,86.60000000000001,73.60000000000001,6.5
1698921495216.0,False,86.7,73.60000000000001,6.300000000000001
1698921495232.0,False,86.80000000000001,73.60000000000001,6.300000000000001
1698921495266.0,False,86.9,73.60000000000001,6.2
1698921495299.0,False,86.9,73.5,6.1000000000000005
1698921495316.0,False,86.9,73.60000000000001,6.1000000000000005
1698921495334.0,False,86.9,73.5,6.1000000000000005
1698921495466.0,False,87.0,73.5,6.0
1698921495483.0,False,87.0,73.5,6.1000000000000005
1698921495815.0,False,86.9,73.3,6.2
1698921495950.0,False,86.9,73.10000000000001,6.2
1698921496399.0,False,87.0,73.0,6.1000000000000005
1698921496432.0,False,87.0,73.0,6.0
1698921496449.0,False,87.10000000000001,73.0,6.0
1698921496515.0,False,87.2,73.0,5.800000000000001
1698921496532.0,False,87.30000000000001,73.0,5.800000000000001
1698921496549.0,False,87.30000000000001,73.0,5.7
1698921496649.0,False,87.5,73.0,5.6000000000000005
1698921496682.0,False,87.5,73.0,5.5
1698921496715.0,False,87.60000000000001,73.0,5.5
1698921496799.0,False,87.5,73.0,5.5
1698921496832.0,False,87.4,73.0,5.6000000000000005
1698921497082.0,False,87.30000000000001,73.10000000000001,5.800000000000001
1698921497116.0,False,87.2,73.10000000000001,5.800000000000001
1698921497182.0,False,87.10000000000001,73.10000000000001,6.0
1698921497199.0,False,87.0,73.10000000000001,6.0
1698921497366.0,False,87.10000000000001,73.2,6.0
1698921497450.0,False,87.0,73.2,6.0
1698921497466.0,False,87.10000000000001,73.2,6.0
1698921497634.0,False,87.0,73.3,6.0
1698921497682.0,False,87.10000000000001,73.4,6.0
1698921498033.0,False,87.0,73.5,6.0
1698921498049.0,False,87.10000000000001,73.5,6.0
1698921498166.0,False,87.10000000000001,73.60000000000001,6.0
1698921498265.0,False,87.30000000000001,73.60000000000001,5.9
1698921498282.0,False,87.4,73.5,5.800000000000001
1698921498315.0,False,87.60000000000001,73.4,5.7
1698921498365.0,False,87.7,73.3,5.7
1698921498481.0,False,87.80000000000001,73.2,5.6000000000000005
1698921498515.0,False,87.7,73.2,5.7
1698921498548.0,False,87.80000000000001,73.2,5.7
1698921498582.0,False,87.7,73.2,5.7
1698921498598.0,False,87.80000000000001,73.2,5.7
