timestamp,magnRawx,magnRawy,magnRawz
1698921495.079,287,758,410
1698921495.163,282,755,408
1698921495.239,277,752,415
1698921495.319,282,758,409
1698921495.399,278,756,416
1698921495.479,291,754,402
1698921495.559,286,751,404
1698921495.639,287,753,406
1698921495.719,278,755,397
1698921495.799,284,764,413
1698921495.879,287,756,405
1698921495.959,292,765,410
1698921496.041,295,760,398
1698921496.119,277,758,404
1698921496.201,283,758,411
1698921496.279,291,750,415
1698921496.359,296,757,416
1698921496.439,278,751,413
1698921496.519,281,756,408
1698921496.602,291,755,405
1698921496.679,276,748,404
1698921496.759,291,761,410
1698921496.926,284,749,401
1698921497.163,291,753,408
1698921497.171,288,764,401
1698921497.239,282,759,405
1698921497.319,286,761,410
1698921497.463,286,756,407
1698921497.48,288,750,407
1698921497.646,281,752,413
1698921497.719,292,754,408
1698921497.799,284,757,418
1698921497.879,293,754,418
1698921498.009,291,761,400
1698921498.041,300,755,390
1698921498.119,289,773,400
1698921498.199,299,754,393
1698921498.279,304,760,387
1698921498.358,311,765,380
1698921498.438,294,753,373
1698921498.519,306,751,384
1698921498.598,307,748,373
1698921498.678,317,731,367
1698921498.759,328,726,354
1698921498.838,343,711,359
1698921498.919,338,709,350
1698921498.999,345,708,344
1698921499.078,349,705,352
1698921499.158,344,710,356
1698921499.239,322,720,358
1698921499.321,327,721,363
1698921499.398,320,742,379
1698921499.481,312,747,387
1698921499.558,285,761,395
1698921499.638,281,768,406
1698921499.719,282,767,405
1698921499.798,282,764,411
1698921499.881,310,741,402
1698921499.959,339,716,398
1698921500.038,357,687,372
1698921500.118,351,672,353
1698921500.199,365,641,338
1698921500.278,359,625,323
1698921500.359,353,633,326
1698921500.438,331,646,359
1698921500.518,312,675,378
1698921500.598,252,706,397
1698921500.678,188,734,413
1698921500.759,134,759,419
1698921500.838,132,747,414
1698921500.921,195,736,407
1698921500.998,267,692,371
1698921501.078,311,629,339
1698921501.158,310,577,316
1698921501.238,314,575,302
1698921501.321,329,614,320
1698921501.398,306,694,356
1698921501.478,261,740,382
1698921501.558,181,774,410
1698921501.639,112,787,425
1698921501.718,96,792,416
1698921501.798,176,795,430
1698921501.879,281,743,399
1698921501.958,346,672,361
1698921502.038,371,610,332
1698921502.118,379,570,309
1698921502.198,384,579,322
1698921502.278,397,637,359
1698921502.361,348,708,407
1698921502.438,253,773,426
1698921502.518,137,799,448
1698921502.6,63,784,457
1698921502.678,90,774,470
1698921502.76,193,776,444
1698921502.838,338,737,395
1698921502.918,402,625,334
1698921502.998,405,567,328
1698921503.078,414,561,321
1698921503.16,430,601,351
1698921503.238,391,665,398
1698921503.437,125,830,412
1698921503.478,24,814,434
1698921503.558,58,819,431
1698921503.637,175,836,426
1698921503.799,413,673,367
1698921503.878,432,589,338
1698921503.958,427,565,346
1698921504.04,428,612,360
1698921504.118,381,668,409
1698921504.201,294,735,429
1698921504.278,184,791,428
1698921504.358,77,799,427
1698921504.437,50,789,438
1698921504.518,119,807,429
1698921504.6,285,778,416
1698921504.677,391,666,358
1698921504.758,400,585,327
1698921504.837,401,535,306
1698921504.917,433,504,334
1698921504.998,456,547,317
1698921505.077,463,751,335
1698921505.327,35,801,480
1698921505.397,-59,735,490
1698921505.478,-88,690,499
1698921505.715,-78,679,508
1698921505.72,266,780,454
1698921505.84,382,706,434
1698921505.88,417,682,398
1698921506.047,430,698,365
1698921506.435,407,730,371
1698921506.443,121,755,474
1698921507.067,292,698,453
1698921507.124,301,723,453
1698921507.157,312,717,437
1698921507.244,319,726,447
1698921507.454,306,727,446
1698921507.459,274,762,453
1698921507.88,211,773,475
1698921508.234,239,759,452
1698921508.239,272,759,433
1698921508.354,273,773,425
1698921508.36,273,775,414
