timestamp,abs,alpha,beta,gamma
1698744123.155,False,87.60000000000001,74.60000000000001,1.9000000000000001
1698744123.221,False,87.5,74.60000000000001,2.0
1698744123.355,False,87.60000000000001,74.7,2.0
1698744123.373,False,87.5,74.7,2.0
1698744123.489,False,87.60000000000001,74.7,2.0
1698744123.574,False,87.5,74.7,2.0
1698744123.614,False,87.60000000000001,74.8,2.0
1698744123.821,False,87.5,74.8,2.0
1698744124.106,False,87.5,74.9,2.0
1698744124.247,False,87.5,74.9,2.1
1698744124.271,False,87.5,74.9,2.0
1698744124.605,False,87.5,74.9,2.1
1698744124.821,False,87.30000000000001,74.9,2.2
1698744124.855,False,87.30000000000001,74.8,2.3000000000000003
1698744124.922,False,87.30000000000001,74.8,2.2
1698744124.975,False,87.30000000000001,74.9,2.2
1698744125.022,False,87.30000000000001,75.10000000000001,2.2
1698744125.121,False,87.30000000000001,75.3,2.2
1698744125.171,False,87.2,75.3,2.3000000000000003
1698744125.221,False,87.10000000000001,75.3,2.4000000000000004
1698744125.272,False,87.2,75.3,2.3000000000000003
1698744125.305,False,87.2,75.3,2.2
1698744125.321,False,87.30000000000001,75.3,2.2
1698744125.388,False,87.30000000000001,75.4,2.2
1698744125.438,False,87.2,75.60000000000001,2.3000000000000003
1698744125.455,False,87.10000000000001,75.60000000000001,2.4000000000000004
1698744125.472,False,86.9,75.7,2.6
1698744125.505,False,87.0,75.60000000000001,2.5
1698744125.572,False,86.9,75.8,2.6
1698744125.588,False,86.80000000000001,75.8,2.7
1698744125.605,False,86.7,75.8,2.8000000000000003
1698744125.622,False,86.60000000000001,75.8,2.9000000000000004
1698744125.638,False,86.4,75.8,3.0
1698744125.656,False,86.4,75.9,3.1
1698744125.672,False,86.2,75.9,3.2
1698744125.722,False,86.2,76.0,3.1
1698744125.738,False,86.2,76.10000000000001,3.1
1698744125.771,False,86.30000000000001,76.2,3.0
1698744125.822,False,86.5,76.3,2.9000000000000004
1698744125.838,False,86.4,76.4,3.0
1698744125.855,False,86.4,76.4,3.1
1698744125.872,False,86.2,76.4,3.3000000000000003
1698744125.889,False,86.10000000000001,76.4,3.4000000000000004
1698744125.905,False,86.0,76.4,3.5
1698744125.921,False,85.80000000000001,76.4,3.7
1698744125.937,False,85.7,76.5,3.8000000000000003
1698744126.022,False,85.60000000000001,76.5,3.7
1698744126.038,False,85.60000000000001,76.60000000000001,3.7
1698744126.091,False,85.7,76.60000000000001,3.6
1698744126.105,False,85.80000000000001,76.60000000000001,3.4000000000000004
1698744126.138,False,85.9,76.7,3.3000000000000003
1698744126.171,False,85.80000000000001,76.80000000000001,3.3000000000000003
1698744126.222,False,85.80000000000001,76.9,3.4000000000000004
1698744126.239,False,85.60000000000001,77.0,3.5
1698744126.255,False,85.5,77.10000000000001,3.7
1698744126.272,False,85.4,77.10000000000001,3.8000000000000003
1698744126.288,False,85.30000000000001,77.2,3.9000000000000004
1698744126.305,False,85.30000000000001,77.30000000000001,3.8000000000000003
1698744126.321,False,85.4,77.4,3.6
1698744126.338,False,85.4,77.5,3.5
1698744126.354,False,85.30000000000001,77.7,3.4000000000000004
1698744126.371,False,85.10000000000001,77.80000000000001,3.5
1698744126.388,False,84.7,78.0,3.7
1698744126.404,False,84.4,78.2,3.8000000000000003
1698744126.421,False,84.30000000000001,78.30000000000001,3.8000000000000003
1698744126.438,False,83.9,78.5,3.9000000000000004
1698744126.455,False,83.60000000000001,78.60000000000001,4.0
1698744126.473,False,83.5,78.80000000000001,3.9000000000000004
1698744126.505,False,83.10000000000001,78.9,4.0
1698744126.521,False,83.0,78.9,4.0
1698744126.538,False,82.7,78.9,4.0
1698744126.556,False,82.30000000000001,78.9,4.2
1698744126.572,False,81.9,78.9,4.3
1698744126.589,False,81.7,78.9,4.4
1698744126.605,False,81.5,78.80000000000001,4.5
1698744126.639,False,81.30000000000001,78.80000000000001,4.4
1698744126.672,False,81.2,78.80000000000001,4.4
1698744126.705,False,80.9,78.80000000000001,4.5
1698744126.722,False,80.80000000000001,78.7,4.6000000000000005
1698744126.756,False,80.7,78.60000000000001,4.6000000000000005
1698744126.777,False,80.7,78.5,4.6000000000000005
1698744126.805,False,80.7,78.30000000000001,4.4
1698744126.821,False,80.80000000000001,78.30000000000001,4.4
1698744126.838,False,81.0,78.10000000000001,4.2
1698744126.855,False,81.10000000000001,78.0,4.0
1698744126.888,False,81.30000000000001,77.9,3.9000000000000004
1698744126.905,False,81.5,77.80000000000001,3.7
1698744126.921,False,81.60000000000001,77.7,3.5
1698744126.955,False,81.9,77.7,3.2
1698744126.973,False,82.30000000000001,77.60000000000001,2.9000000000000004
1698744126.988,False,82.60000000000001,77.60000000000001,2.7
1698744127.005,False,83.30000000000001,77.80000000000001,2.0
1698744127.022,False,84.0,77.80000000000001,1.4000000000000001
1698744127.038,False,84.5,77.9,1.0
1698744127.054,False,84.7,77.9,0.9
1698744127.072,False,84.9,77.9,0.8
1698744127.155,False,84.80000000000001,77.80000000000001,1.1
1698744127.171,False,84.80000000000001,77.7,1.2000000000000002
1698744127.222,False,84.9,77.5,1.2000000000000002
1698744127.238,False,85.30000000000001,77.4,0.9
1698744127.271,False,85.2,77.5,1.1
1698744127.288,False,84.9,77.5,1.4000000000000001
1698744127.305,False,84.7,77.5,1.6
1698744127.322,False,84.5,77.5,1.8
1698744127.338,False,84.4,77.5,2.0
1698744127.371,False,84.5,77.60000000000001,1.9000000000000001
1698744127.388,False,84.60000000000001,77.60000000000001,1.8
1698744127.406,False,84.9,77.60000000000001,1.5
1698744127.437,False,84.80000000000001,77.60000000000001,1.6
1698744127.472,False,85.0,77.7,1.6
