timestamp,accGGx,accGGy,accGGz
1698744123.066,0.164,0.779,-0.047
1698744123.147,0.248,0.731,-0.292
1698744123.226,0.331,0.745,-0.402
1698744123.306,0.394,0.684,-0.45
1698744123.386,0.447,0.667,-0.475
1698744123.466,0.478,0.677,-0.49
1698744123.547,0.508,0.677,-0.489
1698744123.626,0.54,0.665,-0.521
1698744123.708,0.504,0.649,-0.526
1698744123.786,0.485,0.635,-0.533
1698744123.866,0.523,0.604,-0.574
1698744123.949,0.54,0.584,-0.578
1698744124.026,0.554,0.569,-0.577
1698744124.106,0.548,0.567,-0.595
1698744124.186,0.533,0.583,-0.628
1698744124.266,0.501,0.642,-0.706
1698744124.346,0.489,0.65,-0.758
1698744124.426,0.496,0.545,-0.802
1698744124.506,0.562,0.526,-0.886
1698744124.586,0.741,0.584,-0.848
1698744124.666,0.832,0.509,-0.643
1698744124.746,0.722,0.24,-0.287
1698744124.826,0.399,-0.501,-0.178
1698744124.906,0.501,-0.648,-0.285
1698744124.986,0.597,-0.687,-0.298
1698744125.066,0.605,-0.753,-0.26
1698744125.146,0.605,-0.718,-0.238
1698744125.226,0.627,-0.733,-0.213
1698744125.306,0.661,-0.805,-0.159
1698744125.386,0.661,-0.791,-0.159
1698744125.466,0.635,-0.763,-0.251
1698744125.546,0.572,-0.782,-0.296
1698744125.626,0.456,-0.791,-0.195
1698744125.706,0.406,-0.637,-0.059
1698744125.786,0.538,-0.167,-0.09
1698744125.866,0.705,0.396,-0.297
1698744125.945,0.694,0.718,-0.512
1698744126.026,0.613,0.84,-0.586
1698744126.105,0.573,0.864,-0.539
1698744126.185,0.526,0.842,-0.495
1698744126.266,0.511,0.824,-0.469
1698744126.345,0.518,0.786,-0.449
1698744126.425,0.503,0.778,-0.437
1698744126.506,0.469,0.78,-0.436
1698744126.586,0.419,0.805,-0.443
1698744126.665,0.409,0.807,-0.436
1698744126.746,0.394,0.836,-0.427
1698744126.825,0.437,0.875,-0.401
1698744126.905,0.45,0.869,-0.38
1698744126.987,0.404,0.851,-0.397
1698744127.065,0.399,0.845,-0.41
1698744127.148,0.403,0.893,-0.425
1698744127.225,0.395,1.005,-0.428
1698744127.305,0.369,1.093,-0.431
1698744127.388,0.334,1.152,-0.446
1698744127.465,0.319,1.111,-0.453
1698744127.545,0.306,1.002,-0.47
1698744127.626,0.231,0.858,-0.501
1698744127.706,0.147,0.644,-0.479
1698744127.785,0.06,0.49,-0.417
1698744127.865,-0.074,0.429,-0.377
1698744127.946,-0.306,0.401,-0.302
1698744128.025,-0.653,0.492,-0.197
1698744128.105,-0.966,0.661,-0.126
1698744128.185,-1.063,0.71,-0.084
1698744128.265,-1.042,0.678,-0.083
1698744128.345,-1.0,0.637,-0.097
1698744128.425,-0.809,0.547,-0.146
1698744128.505,-0.793,0.537,-0.177
1698744128.585,-0.834,0.558,-0.198
1698744128.665,-0.878,0.627,-0.212
1698744128.745,-0.823,0.678,-0.218
1698744128.825,-0.826,0.736,-0.184
1698744128.906,-0.974,0.744,-0.129
1698744128.985,-1.073,0.658,-0.103
1698744129.065,-1.06,0.556,-0.096
1698744129.145,-0.966,0.453,-0.085
1698744129.225,-0.839,0.384,-0.074
