timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698745693.717,False,0.0,0,0,6362
1698745695.203,False,0.0,0,0,6362
1698745695.697,False,0.0,0,0,6362
1698745696.686,False,0.0,0,0,6362
1698745697.676,False,0.0,0,0,6362
1698745699.161,False,0.0,0,0,6362
1698745699.656,False,0.0,0,0,6362
1698745700.644,False,0.0,0,0,6362
1698745702.131,False,0.0,0,0,6362
1698745703.124,False,0.5546875,15,117,6383
1698745704.113,False,0.69140625,31,120,6393
1698745705.103,False,0.96875,44,125,6405
1698745706.093,False,1.02734375,58,131,6419
1698745707.081,False,1.08203125,58,130,6431
1698745708.568,False,1.13671875,57,125,6443
1698745709.064,False,1.1640625,58,120,6457
1698745710.054,False,1.19140625,58,117,6469
1698745711.041,False,1.21875,58,119,6482
1698745712.032,False,1.21875,58,119,6482
1698745713.022,False,1.21875,58,122,6495
1698745714.011,False,1.21875,60,124,6519
1698745715.001,False,1.21875,60,124,6519
1698745715.996,False,0.0,0,0,6519
1698745717.496,False,0.0,0,0,6519
1698745717.971,False,0.44140625,13,124,6542
1698745718.961,False,0.58203125,30,123,6550
1698745720.448,False,0.859375,42,124,6562
1698745720.94,False,0.9140625,58,123,6573
1698745721.933,False,1.0,58,118,6585
1698745722.918,False,1.02734375,57,114,6596
1698745723.911,False,1.02734375,57,114,6596
1698745724.903,False,1.08203125,58,108,6609
1698745725.894,False,1.109375,56,106,6622
1698745726.884,False,1.13671875,58,109,6634
1698745727.874,False,1.1640625,56,113,6647
1698745728.864,False,1.1640625,57,118,6660
1698745729.851,False,1.1640625,57,121,6672
1698745731.337,False,1.13671875,56,124,6685
1698745731.833,False,1.08203125,58,124,6695
1698745732.822,False,1.08203125,58,124,6695
1698745734.308,False,0.0,0,0,6695
1698745734.802,False,0.0,0,0,6695
