ts,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698745693007.0,16,0.0,0.1,0.0,-0.7000000000000001,8.8,4.0,1.7,3.1,1.0
1698745693024.0,16,0.0,0.1,0.0,-0.7000000000000001,8.8,3.9000000000000004,1.3,3.4,0.9
1698745693040.0,16,0.0,0.1,0.0,-0.7000000000000001,8.8,3.9000000000000004,1.0,3.7000000000000006,0.9
1698745693057.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.8,3.9000000000000004,0.30000000000000004,4.1000000000000005,1.2000000000000002
1698745693074.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.700000000000001,3.9000000000000004,0.8,4.6000000000000005,1.3
1698745693090.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.8,3.8000000000000003,1.3,5.2,1.5000000000000002
1698745693107.0,16,0.1,0.1,-0.1,-0.6000000000000001,8.8,3.8000000000000003,2.3000000000000003,6.1000000000000005,2.3000000000000003
1698745693124.0,16,0.1,0.0,-0.1,-0.7000000000000001,8.8,3.8000000000000003,3.5,7.0,3.3000000000000003
1698745693140.0,16,0.0,-0.1,-0.1,-0.7000000000000001,8.700000000000001,3.8000000000000003,4.1000000000000005,7.2,3.6
1698745693157.0,16,-0.1,-0.1,0.0,-0.8,8.6,3.9000000000000004,4.800000000000001,6.8,3.9
1698745693173.0,16,-0.2,-0.1,0.0,-0.9,8.700000000000001,3.9000000000000004,5.300000000000001,6.000000000000001,4.7
1698745693190.0,16,-0.2,-0.1,0.0,-0.9,8.700000000000001,3.9000000000000004,4.7,5.6,4.7
1698745693207.0,16,-0.1,-0.1,0.0,-0.8,8.6,3.8000000000000003,3.2,4.7,3.7000000000000006
1698745693224.0,16,-0.1,-0.2,0.0,-0.8,8.5,3.8000000000000003,2.7,3.9,3.3000000000000003
1698745693240.0,16,-0.1,-0.2,0.0,-0.8,8.6,3.8000000000000003,3.3000000000000003,3.4,3.2
1698745693257.0,16,-0.2,-0.2,0.0,-0.9,8.6,3.9000000000000004,4.7,2.5,2.9
1698745693274.0,16,-0.2,-0.2,0.1,-0.9,8.6,3.9000000000000004,5.8,1.6,2.4000000000000004
1698745693290.0,16,-0.1,-0.1,0.1,-0.9,8.700000000000001,3.9000000000000004,5.9,1.3,2.1999999999999997
1698745693307.0,16,-0.1,0.0,0.1,-0.9,8.700000000000001,3.9000000000000004,5.500000000000001,0.5,1.8
1698745693324.0,16,-0.1,0.0,0.1,-0.9,8.8,3.8000000000000003,4.800000000000001,-0.7,1.7
1698745693340.0,16,-0.2,0.1,0.1,-0.9,8.8,3.8000000000000003,4.300000000000001,-1.4,1.5000000000000002
1698745693357.0,16,-0.2,0.1,0.1,-0.9,8.9,3.8000000000000003,3.2,-2.8,0.9
1698745693373.0,16,-0.1,0.1,0.1,-0.9,8.9,3.8000000000000003,1.9,-4.300000000000001,0.2
1698745693390.0,16,-0.1,0.1,0.0,-0.8,8.9,3.8000000000000003,0.5,-5.9,-0.2
1698745693407.0,16,0.0,0.1,0.0,-0.8,8.9,3.8000000000000003,0.0,-6.6000000000000005,-0.2
1698745693424.0,16,0.1,0.1,0.0,-0.7000000000000001,8.9,3.8000000000000003,-0.5,-7.699999999999999,-0.5
1698745693440.0,16,0.1,0.0,-0.1,-0.6000000000000001,8.8,3.7,-0.7,-7.8,-0.8
1698745693458.0,16,0.2,0.0,-0.1,-0.5,8.8,3.7,-0.4,-7.1000000000000005,-1.0999999999999999
1698745693474.0,16,0.2,0.1,-0.1,-0.5,8.9,3.7,0.5,-5.8,-1.0
1698745693490.0,16,0.1,0.1,-0.1,-0.6000000000000001,8.9,3.6,1.0,-5.0,-0.7
1698745693507.0,16,0.1,0.1,-0.1,-0.6000000000000001,8.9,3.6,1.2000000000000002,-4.9,-0.4
1698745693524.0,16,0.1,0.1,-0.1,-0.6000000000000001,8.9,3.6,1.8,-4.6000000000000005,-0.1
1698745693540.0,16,0.1,0.0,-0.1,-0.6000000000000001,8.9,3.7,2.3000000000000003,-4.300000000000001,0.0
1698745693557.0,16,0.1,0.0,0.0,-0.5,8.8,3.7,3.0000000000000004,-3.9,0.0
1698745693573.0,16,0.1,0.0,0.0,-0.6000000000000001,8.8,3.7,3.4,-3.8,0.30000000000000004
1698745693590.0,16,0.0,0.0,0.0,-0.6000000000000001,8.8,3.7,3.3000000000000003,-3.7000000000000006,0.5
1698745693607.0,16,0.0,0.0,0.0,-0.6000000000000001,8.8,3.7,3.2,-4.0,0.6000000000000001
1698745693624.0,16,0.0,0.0,0.1,-0.6000000000000001,8.8,3.8000000000000003,2.9,-4.5,0.4
1698745693640.0,16,0.0,0.0,0.0,-0.6000000000000001,8.9,3.7,2.9,-4.5,0.30000000000000004
1698745693657.0,16,0.0,0.0,0.1,-0.6000000000000001,8.8,3.8000000000000003,2.4000000000000004,-4.6000000000000005,0.0
1698745693674.0,16,0.1,0.0,0.1,-0.5,8.8,3.8000000000000003,1.5000000000000002,-4.2,-0.2
1698745693691.0,16,0.1,0.0,0.1,-0.5,8.8,3.8000000000000003,0.8,-3.5,0.1
1698745693707.0,16,0.0,0.0,0.1,-0.6000000000000001,8.9,3.8000000000000003,0.5,-3.0000000000000004,0.4
1698745693723.0,16,0.0,0.1,0.1,-0.5,8.9,3.8000000000000003,0.30000000000000004,-2.3000000000000003,0.4
1698745693740.0,16,0.0,0.1,0.1,-0.5,8.9,3.8000000000000003,0.1,-1.4,0.1
1698745693757.0,16,0.0,0.1,0.1,-0.6000000000000001,8.9,3.9000000000000004,-0.5,-1.0,0.1
1698745693774.0,16,0.0,0.0,0.1,-0.6000000000000001,8.9,3.8000000000000003,-2.0,0.30000000000000004,-0.30000000000000004
1698745693791.0,16,0.0,0.0,0.1,-0.6000000000000001,8.9,3.8000000000000003,-3.2,1.5000000000000002,-0.30000000000000004
1698745693808.0,16,0.0,0.0,0.1,-0.6000000000000001,8.9,3.8000000000000003,-3.7000000000000006,3.0000000000000004,-0.2
1698745693824.0,16,0.0,0.0,0.1,-0.6000000000000001,8.8,3.8000000000000003,-3.7000000000000006,3.8,-0.1
1698745693840.0,16,0.0,0.0,0.0,-0.6000000000000001,8.8,3.8000000000000003,-3.8,5.1,0.0
1698745693857.0,16,0.0,0.0,0.0,-0.6000000000000001,8.8,3.8000000000000003,-4.1000000000000005,5.500000000000001,0.30000000000000004
1698745693874.0,16,0.0,0.0,0.0,-0.6000000000000001,8.8,3.8000000000000003,-4.9,5.9,0.6000000000000001
1698745693890.0,16,0.0,0.0,0.0,-0.6000000000000001,8.8,3.8000000000000003,-5.300000000000001,6.4,0.8
1698745693907.0,16,0.0,0.0,0.0,-0.6000000000000001,8.8,3.8000000000000003,-5.300000000000001,6.9,0.9
1698745693924.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.8,3.8000000000000003,-5.500000000000001,7.2,1.0999999999999999
1698745693940.0,16,-0.1,0.0,-0.1,-0.7000000000000001,8.8,3.8000000000000003,-5.7,6.4,1.0
1698745693957.0,16,-0.1,0.0,-0.1,-0.8,8.700000000000001,3.8000000000000003,-5.8,5.8,0.8
1698745693973.0,16,-0.1,0.0,-0.1,-0.7000000000000001,8.8,3.8000000000000003,-5.8,4.800000000000001,0.30000000000000004
1698745693990.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.8,3.8000000000000003,-5.6,4.2,-0.2
1698745694007.0,16,0.0,0.1,-0.1,-0.7000000000000001,8.9,3.7,-5.9,3.9,-0.30000000000000004
1698745694024.0,16,0.0,0.1,-0.2,-0.7000000000000001,8.9,3.7,-6.2,3.4,-0.9
1698745694040.0,16,0.1,0.1,-0.1,-0.6000000000000001,8.9,3.7,-6.5,2.8,-1.3
1698745694056.0,16,0.1,0.1,-0.1,-0.5,8.8,3.8000000000000003,-6.5,2.3000000000000003,-1.4
1698745694074.0,16,0.2,0.1,-0.1,-0.5,8.8,3.8000000000000003,-6.1000000000000005,1.2000000000000002,-1.7
1698745694090.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.8,3.8000000000000003,-5.2,-0.6000000000000001,-1.6
1698745694107.0,16,-0.1,0.0,-0.2,-0.8,8.700000000000001,3.7,-5.0,-1.0999999999999999,-1.0
1698745694124.0,16,-0.1,0.0,-0.1,-0.8,8.8,3.9000000000000004,-5.4,-2.5,0.0
1698745694140.0,16,0.0,0.1,0.0,-0.6000000000000001,8.8,3.9000000000000004,-4.2,-2.8,0.0
1698745694157.0,16,0.1,0.1,0.0,-0.5,8.8,4.0,-3.3000000000000003,-2.3000000000000003,0.0
1698745694174.0,16,0.1,0.0,0.0,-0.6000000000000001,8.700000000000001,4.0,-2.3000000000000003,-0.9,-0.2
1698745694190.0,16,-0.1,-0.1,0.0,-0.8,8.6,4.0,-2.9,-0.6000000000000001,-0.1
1698745694207.0,16,-0.2,-0.1,0.0,-0.9,8.700000000000001,4.0,-3.7000000000000006,-0.6000000000000001,-0.1
1698745694224.0,16,-0.2,-0.1,0.0,-0.9,8.6,4.0,-4.9,-0.6000000000000001,-0.4
1698745694240.0,16,-0.1,0.0,0.0,-0.8,8.700000000000001,4.0,-5.0,-1.0999999999999999,-0.9
1698745694256.0,16,-0.1,0.0,0.0,-0.8,8.700000000000001,4.0,-4.7,-0.9,-1.0999999999999999
1698745694274.0,16,0.0,0.0,0.0,-0.7000000000000001,8.700000000000001,4.0,-4.1000000000000005,-0.6000000000000001,-1.0999999999999999
1698745694290.0,16,0.0,0.0,0.0,-0.7000000000000001,8.700000000000001,4.0,-3.9,0.30000000000000004,-0.6000000000000001
1698745694307.0,16,0.0,0.0,0.0,-0.7000000000000001,8.700000000000001,4.0,-3.9,0.5,-0.2
1698745694324.0,16,0.0,-0.1,0.0,-0.7000000000000001,8.6,4.0,-3.7000000000000006,0.9,0.4
1698745694340.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.6,4.0,-3.3000000000000003,1.0,0.7
1698745694356.0,16,0.2,0.0,0.0,-0.5,8.700000000000001,4.1000000000000005,-2.5,0.7,0.6000000000000001
1698745694373.0,16,0.2,0.1,0.0,-0.4,8.700000000000001,4.0,-1.7,0.2,0.4
1698745694390.0,16,0.0,0.1,-0.1,-0.7000000000000001,8.8,4.0,-1.0999999999999999,0.0,0.6000000000000001
1698745694407.0,16,-0.2,0.0,-0.1,-0.9,8.6,4.0,-2.3000000000000003,0.8,0.4
1698745694424.0,16,-0.1,0.0,-0.1,-0.8,8.6,4.0,-2.9,0.2,0.0
1698745694440.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.6,4.0,-2.6,-0.30000000000000004,-0.1
1698745694457.0,16,0.0,0.0,-0.1,-0.7000000000000001,8.700000000000001,4.0,-1.8,-0.2,0.0
1698745694473.0,16,0.0,0.0,0.0,-0.7000000000000001,8.700000000000001,4.0,-0.6000000000000001,0.1,-0.2
1698745694490.0,16,0.0,0.0,0.0,-0.7000000000000001,8.700000000000001,4.0,-1.0999999999999999,0.30000000000000004,-0.2
