ts,alpha,beta,gamma
1698744198053.0,-395,606,187
1698744198133.0,-417,602,207
1698744198213.0,-435,584,219
1698744198293.0,-431,581,222
1698744198373.0,-434,584,223
1698744198453.0,-434,584,220
1698744198533.0,-422,594,218
1698744198613.0,-411,613,204
1698744198693.0,-397,624,177
1698744198773.0,-351,644,158
1698744198853.0,-302,648,139
1698744198933.0,-262,663,137
1698744199013.0,-225,681,123
1698744199093.0,-214,678,127
1698744199174.0,-203,697,127
1698744199253.0,-190,681,128
1698744199333.0,-196,688,123
1698744199413.0,-197,688,120
1698744199493.0,-197,699,127
1698744199573.0,-191,684,118
1698744199653.0,-195,694,120
1698744199733.0,-184,707,126
1698744199813.0,-200,698,129
1698744199893.0,-188,695,117
1698744199973.0,-184,693,128
1698744200053.0,-184,691,136
1698744200133.0,-188,702,127
1698744200213.0,-196,704,126
1698744200293.0,-191,694,132
1698744200373.0,-187,692,127
1698744200453.0,-197,692,126
1698744200538.0,-237,687,128
1698744200613.0,-276,668,141
1698744200693.0,-340,641,155
1698744200773.0,-371,628,170
1698744200853.0,-416,619,196
1698744200933.0,-419,602,210
1698744201013.0,-436,598,203
1698744201093.0,-433,606,212
1698744201173.0,-433,605,203
1698744201253.0,-432,615,205
1698744201333.0,-429,608,206
1698744201414.0,-432,617,213
1698744201493.0,-439,614,208
1698744201573.0,-443,611,213
1698744201653.0,-433,609,220
1698744201733.0,-438,616,212
1698744201813.0,-442,621,224
1698744201893.0,-445,613,207
1698744201973.0,-437,616,213
1698744202053.0,-433,620,203
1698744202133.0,-435,619,214
1698744202213.0,-426,625,210
1698744202293.0,-428,621,206
1698744202373.0,-428,621,209
1698744202453.0,-420,621,202
1698744202533.0,-427,601,199
1698744202614.0,-425,604,200
1698744202693.0,-415,574,201
1698744202775.0,-411,561,202
1698744202853.0,-402,584,184
1698744202933.0,-398,604,183
1698744203014.0,-393,629,188
1698744203093.0,-370,647,179
1698744203175.0,-353,666,175
1698744203252.0,-339,701,169
1698744203333.0,-301,743,184
1698744203415.0,-244,803,196
1698744203492.0,-158,841,207
1698744203575.0,-80,846,219
1698744203652.0,4,833,224
1698744203732.0,52,798,225
1698744203815.0,79,772,228
1698744203892.0,92,757,226
1698744203975.0,94,749,213
1698744204053.0,94,743,217
1698744204132.0,91,749,217
1698744204212.0,98,738,214
1698744204293.0,100,735,208
1698744204375.0,108,733,221
1698744204452.0,102,734,229
1698744204532.0,115,736,219
1698744204612.0,117,733,225
1698744204692.0,106,749,226
1698744204775.0,78,775,222
1698744204852.0,61,784,216
1698744204932.0,12,805,221
1698744205013.0,-24,838,241
1698744205092.0,-46,854,242
1698744205175.0,-41,862,249
1698744205252.0,-20,848,247
1698744205332.0,25,821,236
1698744205412.0,45,798,237
1698744205492.0,87,773,231
1698744205575.0,93,743,234
1698744205652.0,103,728,217
1698744205732.0,115,720,229
1698744205812.0,115,702,219
1698744205892.0,116,705,217
1698744205975.0,94,738,225
1698744206052.0,67,780,240
1698744206132.0,50,824,254
1698744206212.0,9,833,259
1698744206292.0,-15,860,268
1698744206374.0,-29,859,276
1698744206452.0,-34,855,276
1698744206532.0,-12,843,260
1698744206612.0,30,827,240
1698744206692.0,39,813,239
1698744206772.0,69,792,245
1698744206852.0,90,755,231
1698744206932.0,101,726,232
1698744207012.0,92,729,238
1698744207092.0,95,735,232
1698744207172.0,80,753,231
1698744207252.0,69,779,243
1698744207332.0,36,811,262
1698744207412.0,10,827,258
1698744207492.0,-15,846,259
1698744207572.0,-29,845,255
1698744207652.0,-5,832,246
1698744207732.0,36,785,231
1698744207812.0,97,738,223
1698744207892.0,117,675,226
1698744207972.0,142,635,246
1698744208052.0,153,634,264
1698744208132.0,156,609,290
1698744208212.0,144,616,320
1698744208292.0,144,599,332
1698744208373.0,132,586,346
1698744208452.0,127,568,348
1698744208532.0,121,577,358
1698744208612.0,125,581,351
1698744208692.0,118,585,355
1698744208772.0,130,617,356
1698744208852.0,130,648,362
1698744208932.0,91,689,362
1698744209012.0,80,706,373
1698744209092.0,76,700,379
1698744209172.0,81,701,372
1698744209252.0,92,660,368
1698744209332.0,99,605,383
1698744209414.0,105,579,372
1698744209492.0,104,555,364
1698744209572.0,106,593,368
1698744209653.0,107,630,373
1698744209731.0,98,663,370
1698744209812.0,95,665,367
1698744209891.0,103,650,384
1698744209971.0,98,618,377
1698744210053.0,97,600,372
1698744210131.0,97,606,384
1698744210214.0,84,622,401
1698744210292.0,60,644,394
1698744210371.0,70,650,390
1698744210453.0,68,666,407
1698744210532.0,81,657,386
1698744210614.0,93,645,376
1698744210691.0,116,609,384
1698744210772.0,118,576,376
1698744210854.0,135,561,358
1698744210931.0,133,557,362
1698744211014.0,139,553,356
1698744211091.0,127,541,345
1698744211171.0,129,551,356
1698744211251.0,129,543,356
1698744211331.0,157,561,352
1698744211414.0,174,579,331
1698744211491.0,186,594,320
1698744211571.0,189,624,313
1698744211651.0,177,635,323
1698744211731.0,184,656,308
1698744211814.0,167,704,302
1698744211891.0,132,748,271
1698744211972.0,72,801,240
1698744212051.0,-21,848,228
1698744212131.0,-117,862,231
1698744212215.0,-149,867,233
1698744212291.0,-153,850,227
1698744212371.0,-203,786,175
1698744212451.0,-245,717,146
1698744212531.0,-297,704,171
1698744212613.0,-345,706,186
1698744212691.0,-381,695,200
1698744212771.0,-412,702,213
1698744212851.0,-414,724,238
1698744212931.0,-427,730,254
1698744213013.0,-419,731,257
1698744213091.0,-421,727,275
1698744213171.0,-426,734,276
1698744213251.0,-423,720,278
1698744213331.0,-416,728,284
1698744213414.0,-431,721,280
1698744213491.0,-425,721,288
1698744213571.0,-422,714,274
1698744213651.0,-422,728,289
1698744213731.0,-422,729,276
1698744213814.0,-424,729,273
