ts(msec),PPG
1698744198014.2712,24759.0
1698744198034.754,24764.0
1698744198055.2363,24761.0
1698744198075.719,24763.0
1698744198096.2014,24772.0
1698744198116.684,24771.0
1698744198137.1667,24775.0
1698744198157.6492,24776.0
1698744198178.1318,24780.0
1698744198198.6145,24785.0
1698744198219.097,24786.0
1698744198239.5796,24793.0
1698744198260.062,24798.0
1698744198280.545,24805.0
1698744198301.027,24805.0
1698744198321.5098,24809.0
1698744198341.9924,24808.0
1698744198362.475,24805.0
1698744198382.9575,24793.0
1698744198403.4402,24789.0
1698744198423.9226,24766.0
1698744198444.4053,24702.0
1698744198464.888,24702.0
1698744198485.3704,24652.0
1698744198505.853,24602.0
1698744198526.3357,24516.0
1698744198546.818,24459.0
1698744198567.3008,24402.0
1698744198587.7834,24368.0
1698744198608.266,24339.0
1698744198628.7483,24313.0
1698744198649.231,24287.0
1698744198669.7136,24263.0
1698744198690.1963,24248.0
1698744198710.6787,24250.0
1698744198731.1614,24249.0
1698744198751.644,24252.0
1698744198772.1265,24257.0
1698744198792.6091,24252.0
1698744198813.0916,24256.0
1698744198833.5742,24253.0
1698744198854.057,24265.0
1698744198874.5393,24269.0
1698744198895.022,24280.0
1698744198915.5046,24289.0
1698744198935.987,24298.0
1698744198956.4695,24302.0
1698744198976.9524,24296.0
1698744198997.4348,24302.0
1698744199017.9175,24302.0
1698744199038.4,24308.0
1698744199058.8826,24306.0
1698744199079.3652,24318.0
1698744199099.8477,24323.0
1698744199120.3303,24330.0
1698744199140.813,24342.0
1698744199161.2954,24351.0
1698744199181.778,24365.0
1698744199202.2605,24380.0
1698744199222.7432,24377.0
1698744199243.2258,24383.0
1698744199263.7085,24385.0
1698744199284.191,24384.0
1698744199304.6736,24379.0
1698744199325.156,24368.0
1698744199345.639,24351.0
1698744199366.121,24348.0
1698744199386.6038,24337.0
1698744199407.0864,24327.0
1698744199427.5688,24314.0
1698744199448.0515,24301.0
1698744199468.5342,24288.0
1698744199489.0166,24282.0
1698744199509.4993,24269.0
1698744199529.982,24253.0
1698744199550.4644,24248.0
1698744199570.947,24231.0
1698744199591.4294,24209.0
1698744199611.912,24193.0
1698744199632.3948,24186.0
1698744199652.8772,24167.0
1698744199673.36,24154.0
1698744199693.8423,24145.0
1698744199714.325,24134.0
1698744199734.8076,24115.0
1698744199755.29,24097.0
1698744199775.7727,24078.0
1698744199796.2554,24051.0
1698744199816.7378,24032.0
1698744199837.2205,24017.0
1698744199857.7031,23999.0
1698744199878.1855,23996.0
1698744199898.6682,23985.0
1698744199919.151,23965.0
1698744199939.6333,23953.0
1698744199960.116,23961.0
1698744199980.5984,23959.0
1698744200001.081,23964.0
1698744200021.5637,23960.0
1698744200042.046,23950.0
1698744200062.5288,23957.0
1698744200083.0117,23966.0
1698744200103.494,23959.0
1698744200123.9766,23960.0
1698744200144.459,23966.0
1698744200164.9417,23969.0
1698744200185.4243,23967.0
1698744200205.9067,23977.0
1698744200226.3894,23981.0
1698744200246.872,24002.0
1698744200267.3545,24012.0
1698744200287.8372,24033.0
1698744200308.3196,24059.0
1698744200328.8022,24080.0
1698744200349.285,24099.0
1698744200369.767,24111.0
1698744200390.25,24127.0
1698744200410.733,24138.0
1698744200431.215,24154.0
1698744200451.6978,24159.0
1698744200472.1804,24168.0
1698744200492.6628,24176.0
1698744200513.1455,24186.0
1698744200533.628,24200.0
1698744200554.1106,24213.0
1698744200574.5933,24224.0
1698744200595.0757,24240.0
