ms,x,y,z
1698744354041.0,-403,640,675
1698744354121.0,-387,656,688
1698744354201.0,-384,670,692
1698744354282.0,-399,664,670
1698744354361.0,-410,672,643
1698744354441.0,-416,674,649
1698744354521.0,-417,673,650
1698744354601.0,-372,708,769
1698744354680.0,-349,720,826
1698744354760.0,-381,691,724
1698744354841.0,-395,684,679
1698744354920.0,-403,683,661
1698744355000.0,-406,676,649
1698744355081.0,-407,667,648
1698744355160.0,-411,664,649
1698744355240.0,-414,660,644
1698744355321.0,-414,661,645
1698744355400.0,-412,666,653
1698744355480.0,-406,670,657
1698744355561.0,-405,672,666
1698744355640.0,-409,660,670
1698744355720.0,-407,652,660
1698744355801.0,-407,653,653
1698744355880.0,-409,651,664
1698744355960.0,-408,653,658
1698744356041.0,-401,656,651
1698744356120.0,-406,671,677
1698744356200.0,-417,721,760
1698744356280.0,-364,848,800
1698744356360.0,-231,939,709
1698744356440.0,-129,917,535
1698744356520.0,-82,967,323
1698744356600.0,36,963,144
1698744356680.0,222,864,-10
1698744356760.0,363,795,-158
1698744356840.0,445,710,-277
1698744356920.0,500,643,-369
1698744357000.0,541,628,-418
1698744357080.0,540,659,-414
1698744357160.0,540,676,-411
1698744357240.0,572,678,-440
1698744357320.0,591,677,-456
1698744357400.0,597,676,-456
1698744357480.0,610,670,-449
1698744357560.0,661,679,-514
1698744357640.0,680,686,-548
1698744357720.0,641,672,-505
1698744357800.0,624,655,-483
1698744357880.0,613,647,-477
1698744357960.0,603,646,-474
1698744358040.0,599,636,-477
1698744358120.0,600,633,-480
1698744358200.0,600,646,-485
1698744358281.0,593,665,-492
1698744358360.0,582,691,-485
1698744358440.0,572,703,-486
1698744358520.0,559,707,-487
1698744358600.0,550,706,-482
1698744358680.0,553,704,-473
1698744358760.0,553,701,-450
1698744358840.0,548,708,-439
1698744358920.0,544,728,-437
1698744359000.0,529,721,-455
1698744359080.0,505,670,-462
1698744359160.0,480,643,-485
1698744359240.0,419,695,-503
1698744359320.0,262,781,-504
1698744359400.0,-28,805,-477
1698744359480.0,-411,930,-395
1698744359560.0,-735,1060,-278
1698744359640.0,-858,1001,-177
1698744359720.0,-826,859,-84
1698744359800.0,-778,715,-21
1698744359880.0,-773,632,-3
1698744359960.0,-817,584,-22
1698744360040.0,-852,560,-62
1698744360120.0,-832,524,-116
1698744360200.0,-789,441,-166
1698744360280.0,-795,394,-173
1698744360360.0,-818,423,-176
1698744360440.0,-823,462,-182
1698744360520.0,-830,523,-183
1698744360600.0,-856,527,-186
1698744360679.0,-886,504,-191
1698744360759.0,-923,476,-210
1698744360840.0,-941,456,-229
1698744360919.0,-888,441,-222
1698744360999.0,-831,445,-191
1698744361080.0,-815,479,-156
1698744361159.0,-829,507,-122
1698744361239.0,-895,550,-108
1698744361320.0,-934,578,-123
1698744361399.0,-889,554,-144
1698744361479.0,-816,513,-153
1698744361560.0,-762,477,-155
1698744361639.0,-754,476,-157
1698744361719.0,-831,510,-166
1698744361800.0,-921,557,-174
1698744361879.0,-962,568,-186
1698744361959.0,-950,503,-193
1698744362039.0,-894,388,-97
1698744362119.0,-897,419,-73
1698744362199.0,-879,462,-68
1698744362279.0,-871,476,-59
1698744362359.0,-886,480,-71
1698744362439.0,-880,482,-80
1698744362520.0,-896,488,-82
1698744362599.0,-936,487,-79
1698744362679.0,-927,468,-89
1698744362760.0,-956,447,-87
1698744362839.0,-986,422,-121
1698744362919.0,-981,427,-154
1698744362999.0,-941,345,-133
1698744363079.0,-875,321,-104
1698744363159.0,-843,438,-67
1698744363239.0,-824,494,-64
1698744363319.0,-832,523,-73
1698744363399.0,-832,520,-83
1698744363482.0,-828,494,-103
1698744363559.0,-1007,389,-175
1698744363639.0,-1010,312,-216
1698744363722.0,-983,304,-213
1698744363799.0,-925,306,-173
1698744363879.0,-932,360,-133
1698744363959.0,-944,401,-99
1698744364039.0,-899,419,-72
1698744364121.0,-861,449,-54
1698744364199.0,-872,504,-81
1698744364279.0,-896,560,-121
1698744364359.0,-889,592,-162
1698744364439.0,-883,597,-193
1698744364521.0,-883,592,-193
1698744364599.0,-902,567,-168
1698744364682.0,-951,523,-140
1698744364759.0,-955,489,-122
1698744364839.0,-929,444,-109
1698744364921.0,-948,415,-92
1698744364999.0,-950,397,-74
1698744365081.0,-878,372,-44
1698744365159.0,-864,365,-49
1698744365240.0,-872,386,-72
1698744365321.0,-893,436,-78
1698744365399.0,-888,490,-77
1698744365481.0,-925,520,-75
1698744365559.0,-987,530,-75
1698744365639.0,-976,518,-78
1698744365720.0,-934,464,-108
1698744365799.0,-919,351,-163
1698744365881.0,-938,242,-172
1698744365959.0,-910,238,-124
1698744366039.0,-904,283,-75
1698744366120.0,-936,315,-45
1698744366199.0,-934,362,-21
