timestamp,hr,conf
1698744543.818,88,66
1698744544.65,88,38
1698744545.548,88,60
1698744546.447,88,16
1698744548.21,89,61
1698744549.042,89,57
1698744549.941,89,39
1698744550.839,89,9
1698744551.704,89,73
1698744552.603,89,62
1698744553.435,91,46
1698744554.333,91,27
1698744555.232,89,48
1698744556.13,89,54
1698744556.995,89,61
1698744558.726,89,0
1698744562.23,90,0
1698744564.049,93,43
1698744564.951,91,61
1698744565.78,91,66
1698744566.679,91,32
1698744567.727,91,16
1698744568.577,91,14
1698744569.351,91,9
1698744570.172,91,38
1698744571.07,91,18
1698744571.968,91,15
1698744572.87,91,1
1698744573.732,91,55
1698744574.598,91,80
1698744575.495,91,82
1698744576.394,92,70
1698744577.325,92,55
1698744578.157,94,62
1698744579.089,95,57
1698744579.989,93,55
1698744580.852,93,36
1698744581.751,93,44
1698744582.626,93,46
1698744583.514,93,90
1698744584.412,93,91
1698744585.349,93,66
1698744586.148,93,32
1698744587.041,93,38
