timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698748143.015,20,-73,-1009,28,33,15,424,58,826,794,1198,1844,1507,1874
1698748143.031,21,-73,-1009,28,34,14,423,58,826,798,1212,1843,1509,1872
1698748143.052,22,-73,-1009,30,34,12,422,58,826,797,1213,1842,1508,1871
1698748143.097,21,-73,-1009,29,34,16,422,58,827,786,1214,1842,1502,1872
1698748143.105,20,-73,-1010,29,37,17,422,58,827,789,1214,1846,1500,1872
1698748143.106,19,-72,-1011,26,35,15,422,58,828,779,1214,1846,1499,1876
1698748143.12,19,-73,-1010,26,37,18,422,58,829,786,1212,1843,1503,1874
1698748143.15,19,-73,-1009,25,35,14,421,58,829,781,1211,1843,1495,1877
1698748143.187,18,-73,-1010,26,34,15,421,59,829,786,1210,1846,1492,1876
1698748143.189,19,-73,-1010,27,33,15,422,59,829,790,1210,1846,1493,1876
1698748143.202,19,-73,-1009,28,31,14,422,58,831,787,1212,1848,1493,1877
1698748143.225,21,-73,-1009,25,29,14,422,58,832,791,1211,1850,1490,1879
1698748143.262,20,-73,-1009,28,29,12,423,58,833,793,1214,1849,1488,1880
1698748143.264,20,-74,-1009,30,34,12,424,58,834,787,1213,1850,1490,1881
1698748143.292,21,-74,-1009,30,32,13,424,58,836,792,1213,1849,1483,1879
1698748143.33,21,-73,-1009,29,32,13,425,58,835,791,1214,1850,1483,1882
1698748143.331,21,-73,-1008,28,32,13,425,57,835,787,1213,1850,1484,1882
1698748143.352,21,-73,-1008,25,31,14,424,58,835,792,1213,1848,1485,1881
1698748143.383,20,-73,-1009,27,32,14,424,58,835,807,1212,1847,1487,1880
1698748143.384,19,-73,-1008,25,31,12,423,58,834,816,1212,1847,1486,1882
1698748143.42,19,-74,-1008,30,32,14,422,58,834,807,1212,1848,1495,1882
1698748143.427,20,-74,-1008,29,33,15,421,58,833,814,1212,1846,1493,1879
1698748143.45,20,-74,-1009,29,32,15,421,58,834,816,1208,1846,1494,1879
1698748143.487,20,-73,-1008,27,33,13,421,58,834,818,1208,1846,1492,1881
1698748143.489,20,-73,-1009,25,38,14,420,58,834,813,1208,1846,1487,1884
1698748143.502,20,-74,-1009,26,37,17,420,58,834,794,1208,1840,1539,1878
1698748143.548,20,-74,-1010,28,36,15,420,59,835,789,1212,1839,1565,1878
1698748143.549,20,-74,-1010,28,33,14,420,59,834,789,1214,1843,1585,1879
1698748143.585,20,-74,-1011,28,34,17,420,59,833,771,1211,1843,1579,1877
1698748143.586,20,-73,-1010,30,31,14,420,59,832,768,1208,1847,1557,1876
1698748143.623,20,-73,-1010,31,28,11,419,58,832,752,1207,1845,1574,1879
1698748143.624,20,-74,-1009,31,27,16,419,58,832,739,1204,1847,1556,1884
1698748143.66,20,-73,-1009,29,26,16,420,59,831,728,1198,1844,1472,1890
1698748143.667,20,-74,-1009,31,22,16,420,59,831,728,1202,1841,1440,1896
1698748143.691,19,-73,-1009,31,22,14,420,59,831,732,1195,1832,1487,1895
1698748143.705,20,-73,-1009,31,22,12,420,58,830,742,1195,1815,1399,1902
1698748143.742,20,-72,-1009,29,23,14,421,58,829,723,1206,1820,1385,1899
1698748143.743,20,-72,-1010,29,26,13,421,58,827,730,1198,1818,1393,1903
1698748143.78,20,-72,-1010,28,26,14,421,58,827,748,1209,1821,1365,1909
1698748143.787,20,-72,-1010,32,26,13,422,58,826,732,1224,1814,1354,1903
1698748143.817,20,-72,-1009,31,28,13,421,57,826,738,1188,1801,1495,1894
1698748143.825,20,-72,-1010,29,28,16,421,56,826,731,1214,1799,1489,1891
1698748143.864,20,-72,-1010,28,28,16,421,57,825,723,1221,1810,1417,1895
1698748143.865,20,-72,-1009,26,28,16,421,56,826,741,1217,1808,1410,1893
1698748143.886,20,-72,-1009,29,29,14,422,56,826,742,1214,1799,1445,1892
1698748143.9,20,-72,-1009,28,29,15,423,57,828,735,1202,1800,1368,1897
1698748143.945,20,-72,-1009,29,31,14,423,56,828,742,1198,1797,1359,1893
1698748143.946,20,-71,-1009,29,29,15,423,57,828,741,1200,1784,1333,1885
1698748143.975,20,-72,-1010,30,29,16,423,57,827,738,1203,1801,1261,1891
1698748144.02,21,-71,-1010,30,29,15,424,57,828,742,1187,1810,1304,1893
1698748144.021,21,-71,-1010,27,29,14,425,56,829,736,1188,1799,1397,1884
1698748144.023,22,-72,-1010,27,28,15,425,56,830,734,1200,1802,1259,1890
1698748144.042,22,-71,-1010,27,27,16,424,56,830,735,1197,1803,1229,1896
1698748144.065,22,-72,-1009,29,27,15,424,56,830,758,1196,1801,1279,1896
1698748144.095,22,-71,-1009,28,31,16,424,56,832,755,1194,1792,1290,1893
1698748144.147,22,-71,-1009,31,31,15,423,55,831,753,1199,1806,1261,1895
1698748144.148,22,-71,-1008,31,31,16,423,55,833,733,1194,1794,1399,1888
1698748144.162,21,-70,-1008,31,28,14,423,55,833,740,1194,1787,1419,1880
1698748144.177,21,-71,-1007,29,31,16,423,55,832,770,1187,1789,1282,1891
