ts,accGx,accGy,accGz
1698744748023.0,-402,623,690
1698744748105.0,-404,625,693
1698744748183.0,-399,625,700
1698744748263.0,-397,609,705
1698744748343.0,-396,590,719
1698744748423.0,-390,584,733
1698744748503.0,-375,590,737
1698744748583.0,-361,599,737
1698744748663.0,-359,608,732
1698744748743.0,-364,606,727
1698744748823.0,-361,598,729
1698744748903.0,-386,587,704
1698744748983.0,-378,585,712
1698744749063.0,-371,598,732
1698744749143.0,-380,605,735
1698744749223.0,-375,606,754
1698744749302.0,-366,616,765
1698744749383.0,-357,596,742
1698744749463.0,-354,557,737
1698744749542.0,-369,555,750
1698744749622.0,-382,566,747
1698744749703.0,-401,545,805
1698744749782.0,-398,816,797
1698744749862.0,-276,1151,642
1698744749944.0,-129,1076,447
1698744750022.0,-30,905,186
1698744750102.0,61,831,-81
1698744750183.0,166,822,-245
1698744750262.0,294,788,-337
1698744750342.0,389,723,-407
1698744750426.0,486,712,-462
1698744750502.0,499,703,-497
1698744750582.0,505,692,-516
1698744750665.0,512,676,-526
1698744750742.0,514,673,-537
1698744750825.0,515,663,-544
1698744750903.0,515,665,-543
1698744750982.0,517,673,-540
1698744751064.0,584,672,-591
1698744751142.0,614,668,-618
1698744751225.0,567,670,-577
1698744751302.0,545,665,-559
1698744751382.0,529,655,-550
1698744751463.0,521,668,-552
1698744751542.0,521,674,-549
1698744751622.0,520,655,-555
1698744751702.0,520,667,-559
1698744751782.0,520,705,-556
1698744751862.0,508,662,-550
1698744751942.0,492,675,-534
1698744752022.0,466,694,-532
1698744752102.0,478,677,-533
1698744752182.0,500,713,-490
1698744752262.0,520,729,-457
1698744752342.0,581,695,-467
1698744752422.0,639,679,-512
1698744752502.0,655,684,-556
1698744752582.0,644,793,-641
1698744752662.0,696,931,-552
1698744752742.0,693,901,-163
1698744752822.0,595,983,379
1698744752902.0,557,1212,737
1698744752982.0,340,1062,684
1698744753062.0,35,857,200
1698744753142.0,140,1011,-186
1698744753222.0,502,961,-403
1698744753302.0,523,784,-478
1698744753382.0,539,722,-482
1698744753462.0,536,656,-485
1698744753543.0,510,594,-495
1698744753622.0,484,536,-495
1698744753702.0,465,505,-486
1698744753782.0,455,508,-502
1698744753862.0,456,537,-503
1698744753942.0,430,592,-501
1698744754024.0,411,706,-520
1698744754102.0,434,775,-532
1698744754184.0,458,764,-518
1698744754262.0,474,734,-501
1698744754342.0,495,677,-495
1698744754423.0,513,644,-497
1698744754502.0,520,646,-500
1698744754584.0,532,657,-488
1698744754662.0,548,586,-468
1698744754742.0,578,679,-463
1698744754822.0,628,744,-457
1698744754902.0,682,781,-483
1698744754982.0,704,785,-586
1698744755062.0,689,756,-658
1698744755141.0,629,689,-623
1698744755221.0,553,597,-569
1698744755301.0,525,538,-571
1698744755381.0,526,522,-608
1698744755462.0,520,505,-643
1698744755541.0,504,479,-694
1698744755621.0,486,447,-750
1698744755702.0,482,415,-774
1698744755781.0,475,367,-779
1698744755861.0,468,344,-809
1698744755942.0,455,421,-906
1698744756021.0,406,574,-960
1698744756101.0,385,496,-814
1698744756182.0,389,445,-829
1698744756261.0,401,414,-865
1698744756341.0,421,384,-867
1698744756422.0,426,381,-845
1698744756502.0,390,422,-827
1698744756581.0,402,419,-717
1698744756662.0,505,362,-584
1698744756741.0,569,372,-537
1698744756821.0,542,430,-409
1698744756902.0,520,426,-364
1698744756981.0,511,408,-441
1698744757061.0,466,391,-466
1698744757141.0,425,378,-520
1698744757221.0,404,410,-595
1698744757301.0,398,489,-708
1698744757383.0,429,519,-808
1698744757461.0,479,513,-852
1698744757544.0,518,484,-986
1698744757622.0,464,415,-984
1698744757701.0,373,366,-876
1698744757782.0,274,355,-826
1698744757861.0,273,428,-836
1698744757944.0,321,494,-845
1698744758021.0,358,505,-814
1698744758101.0,382,500,-794
1698744758182.0,399,445,-827
1698744758261.0,421,403,-839
1698744758341.0,420,423,-798
1698744758421.0,400,446,-775
1698744758501.0,398,469,-758
1698744758581.0,414,491,-739
1698744758661.0,432,508,-730
1698744758741.0,431,508,-681
1698744758821.0,423,510,-654
1698744758901.0,432,514,-709
1698744758981.0,441,521,-706
1698744759062.0,435,514,-714
1698744759141.0,430,498,-716
1698744759221.0,437,512,-716
1698744759301.0,455,537,-724
1698744759381.0,471,543,-721
1698744759461.0,476,537,-714
1698744759541.0,479,545,-655
1698744759621.0,486,547,-630
1698744759701.0,493,526,-670
1698744759782.0,490,513,-677
1698744759861.0,498,507,-672
1698744759941.0,459,502,-678
1698744760021.0,321,474,-753
1698744760101.0,111,470,-772
1698744760181.0,-14,572,-405
1698744760261.0,10,803,191
