ts,ppg
1698744748014.566,22701.0
1698744748035.0012,22814.0
1698744748055.4363,22958.0
1698744748075.8716,23051.0
1698744748096.307,23253.0
1698744748116.742,23360.0
1698744748137.1772,23524.0
1698744748157.6123,23695.0
1698744748178.0476,23877.0
1698744748198.483,24055.0
1698744748218.9182,24220.0
1698744748239.3535,24369.0
1698744748259.7886,24424.0
1698744748280.224,24540.0
1698744748300.6592,24532.0
1698744748321.0942,24533.0
1698744748341.5295,24554.0
1698744748361.9648,24514.0
1698744748382.4,24431.0
1698744748402.8352,24416.0
1698744748423.2705,24330.0
1698744748443.7056,24262.0
1698744748464.1409,24169.0
1698744748484.5762,23972.0
1698744748505.0117,23834.0
1698744748525.4463,23739.0
1698744748545.8818,23560.0
1698744748566.3171,23493.0
1698744748586.7522,23467.0
1698744748607.1875,23380.0
1698744748627.6228,23333.0
1698744748648.058,23266.0
1698744748668.4932,23213.0
1698744748688.9285,23153.0
1698744748709.3635,23079.0
1698744748729.7988,23001.0
1698744748750.234,22974.0
1698744748770.6694,22890.0
1698744748791.1045,22887.0
1698744748811.5398,22885.0
1698744748831.975,22918.0
1698744748852.4102,22910.0
1698744748872.8457,22968.0
1698744748893.2808,22967.0
1698744748913.7158,22965.0
1698744748934.1511,22939.0
1698744748954.5864,22827.0
1698744748975.0215,22848.0
1698744748995.4568,22947.0
1698744749015.892,23099.0
1698744749036.3274,23267.0
1698744749056.7625,23451.0
1698744749077.1978,23593.0
1698744749097.633,23693.0
1698744749118.068,23705.0
1698744749138.5034,23756.0
1698744749158.9387,23802.0
1698744749179.3738,23858.0
1698744749199.809,23893.0
1698744749220.2444,23943.0
1698744749240.6794,23995.0
1698744749261.1147,24033.0
1698744749281.55,24078.0
1698744749301.985,24168.0
1698744749322.4204,24188.0
1698744749342.8557,24286.0
1698744749363.291,24339.0
1698744749383.726,24389.0
1698744749404.1614,24404.0
1698744749424.5967,24459.0
1698744749445.0315,24522.0
1698744749465.467,24596.0
1698744749485.9023,24651.0
1698744749506.3374,24739.0
1698744749526.7727,24742.0
1698744749547.208,24774.0
1698744749567.643,24832.0
1698744749588.0784,24818.0
1698744749608.5137,24833.0
1698744749628.949,24843.0
1698744749649.384,24850.0
1698744749669.819,24894.0
1698744749690.2546,24882.0
1698744749710.6897,24846.0
1698744749731.125,24849.0
1698744749751.5603,24854.0
1698744749771.9954,24906.0
1698744749792.431,24913.0
1698744749812.866,24898.0
1698744749833.301,24950.0
1698744749853.7363,24969.0
1698744749874.1716,24941.0
1698744749894.607,24981.0
1698744749915.042,24977.0
1698744749935.4773,25005.0
1698744749955.9126,25041.0
1698744749976.3477,25115.0
1698744749996.783,25123.0
1698744750017.2185,25150.0
1698744750037.6533,25171.0
1698744750058.0886,25204.0
1698744750078.524,25187.0
1698744750098.959,25274.0
1698744750119.3943,25248.0
1698744750139.8296,25239.0
1698744750160.265,25252.0
1698744750180.7,25314.0
1698744750201.1353,25353.0
1698744750221.5706,25361.0
1698744750242.0056,25424.0
1698744750262.441,25443.0
1698744750282.8762,25427.0
1698744750303.3113,25430.0
1698744750323.7466,25424.0
1698744750344.182,25410.0
1698744750364.617,25416.0
1698744750385.0522,25390.0
1698744750405.4875,25334.0
1698744750425.9226,25360.0
1698744750446.358,25329.0
1698744750466.7932,25322.0
1698744750487.2285,25334.0
1698744750507.6636,25340.0
1698744750528.0989,25351.0
1698744750548.5342,25400.0
1698744750568.9692,25389.0
1698744750589.4043,25440.0
1698744750609.8398,25428.0
1698744750630.275,25463.0
1698744750650.7102,25518.0
1698744750671.1455,25544.0
1698744750691.5806,25537.0
1698744750712.016,25596.0
1698744750732.4512,25621.0
1698744750752.8865,25612.0
1698744750773.3215,25636.0
1698744750793.7568,25659.0
1698744750814.192,25711.0
1698744750834.6272,25694.0
1698744750855.0625,25712.0
1698744750875.4978,25763.0
1698744750895.9329,25750.0
1698744750916.3682,25792.0
1698744750936.8037,25765.0
1698744750957.2383,25773.0
1698744750977.6738,25768.0
1698744750998.1091,25772.0
1698744751018.5444,25767.0
1698744751038.9795,25773.0
1698744751059.4148,25762.0
1698744751079.85,25797.0
1698744751100.2852,25751.0
1698744751120.7205,25781.0
1698744751141.1558,25734.0
1698744751161.5908,25765.0
1698744751182.026,25760.0
1698744751202.4614,25721.0
1698744751222.8965,25720.0
1698744751243.3318,25709.0
1698744751263.767,25725.0
1698744751284.2024,25644.0
1698744751304.6377,25582.0
1698744751325.0728,25524.0
1698744751345.508,25495.0
1698744751365.943,25438.0
1698744751386.3784,25489.0
1698744751406.8137,25572.0
1698744751427.2488,25597.0
1698744751447.684,25691.0
1698744751468.1194,25674.0
1698744751488.5544,25794.0
1698744751508.9895,25817.0
1698744751529.425,25860.0
1698744751549.86,25925.0
1698744751570.2954,25945.0
1698744751590.7307,25913.0
1698744751611.166,25923.0
1698744751631.601,25941.0
1698744751652.0364,25882.0
1698744751672.4717,25844.0
1698744751692.9067,25844.0
1698744751713.342,25768.0
1698744751733.777,25756.0
1698744751754.2124,25672.0
1698744751774.6477,25645.0
1698744751795.083,25562.0
1698744751815.518,25556.0
1698744751835.9534,25527.0
1698744751856.389,25530.0
1698744751876.824,25544.0
1698744751897.259,25656.0
1698744751917.6943,25786.0
1698744751938.1296,25931.0
1698744751958.5647,26098.0
1698744751999.4353,26263.0
1698744752019.8704,26326.0
1698744752040.3057,26412.0
1698744752060.741,26445.0
1698744752081.176,26431.0
1698744752101.611,26426.0
1698744752122.0466,26419.0
1698744752142.482,26393.0
1698744752162.917,26412.0
1698744752183.3523,26309.0
1698744752203.7876,26361.0
1698744752224.223,26303.0
1698744752244.658,26293.0
1698744752265.0933,26321.0
1698744752285.5283,26282.0
1698744752305.9636,26276.0
1698744752326.399,26313.0
1698744752346.834,26276.0
1698744752367.2693,26275.0
1698744752387.7046,26298.0
1698744752408.14,26250.0
1698744752428.575,26264.0
1698744752449.0105,26242.0
1698744752469.4456,26183.0
1698744752489.8806,26157.0
1698744752510.316,26174.0
1698744752530.7512,26119.0
1698744752551.1863,26055.0
1698744752571.6216,26078.0
1698744752592.057,26054.0
1698744752612.492,26038.0
1698744752632.9272,26024.0
1698744752653.3623,26043.0
1698744752673.7976,26028.0
1698744752694.233,26012.0
1698744752714.6682,25995.0
1698744752735.1035,25942.0
1698744752755.5386,25953.0
1698744752775.974,25894.0
1698744752796.4092,25869.0
1698744752816.8442,25884.0
1698744752837.2795,25834.0
1698744752857.7148,25813.0
1698744752878.15,25832.0
1698744752898.5852,25818.0
1698744752919.0205,25797.0
1698744752939.4556,25750.0
1698744752959.8909,25743.0
1698744752980.3262,25729.0
1698744753000.7617,25764.0
1698744753021.1963,25736.0
1698744753041.6318,25739.0
1698744753062.0671,25753.0
1698744753082.5022,25757.0
1698744753102.9375,25790.0
1698744753123.3728,25757.0
1698744753143.808,25790.0
1698744753164.2432,25782.0
1698744753184.6785,25726.0
1698744753205.1135,25726.0
1698744753225.5488,25689.0
1698744753245.984,25646.0
1698744753266.4194,25605.0
1698744753286.8545,25542.0
1698744753307.2898,25518.0
1698744753327.725,25531.0
1698744753348.1602,25542.0
1698744753368.5957,25588.0
1698744753389.0308,25587.0
1698744753409.4658,25569.0
1698744753429.9011,25533.0
1698744753450.3364,25510.0
1698744753470.7715,25521.0
1698744753491.2068,25486.0
1698744753511.642,25473.0
1698744753532.0774,25500.0
1698744753552.5125,25448.0
1698744753572.9478,25472.0
1698744753593.383,25433.0
1698744753613.818,25468.0
1698744753634.2534,25421.0
1698744753654.6887,25397.0
1698744753675.1238,25380.0
1698744753695.559,25396.0
1698744753715.9944,25343.0
1698744753736.4294,25329.0
1698744753756.8647,25320.0
1698744753777.3,25312.0
1698744753797.735,25300.0
1698744753818.1704,25321.0
1698744753838.6057,25302.0
1698744753859.041,25237.0
1698744753879.476,25254.0
1698744753899.9114,25188.0
1698744753920.3467,25150.0
1698744753940.7815,25162.0
1698744753961.217,25130.0
1698744753981.6523,25108.0
1698744754002.0874,25041.0
1698744754022.5227,25056.0
1698744754042.958,25037.0
1698744754063.393,24993.0
1698744754083.8284,24998.0
1698744754104.2637,24967.0
1698744754124.699,24905.0
1698744754145.134,24904.0
1698744754165.569,24860.0
1698744754186.0046,24862.0
1698744754206.4397,24876.0
1698744754226.875,24914.0
1698744754247.3103,24858.0
1698744754267.7454,24846.0
1698744754288.181,24818.0
1698744754308.616,24797.0
1698744754329.051,24760.0
1698744754349.4863,24731.0
1698744754369.9216,24743.0
1698744754390.357,24749.0
1698744754410.792,24860.0
1698744754431.2273,24996.0
1698744754451.6626,25092.0
1698744754472.0977,25064.0
1698744754492.533,25164.0
1698744754512.9685,25415.0
1698744754533.4033,25578.0
1698744754553.8386,25786.0
1698744754574.274,25923.0
1698744754594.709,25932.0
1698744754615.1443,25944.0
1698744754635.5796,25710.0
1698744754656.015,25482.0
1698744754676.45,25265.0
1698744754696.8853,25054.0
1698744754717.3206,24910.0
1698744754737.7556,24710.0
1698744754758.191,24681.0
1698744754778.6262,24616.0
1698744754799.0613,24595.0
1698744754819.4966,24575.0
1698744754839.932,24607.0
1698744754860.367,24577.0
1698744754880.8022,24575.0
1698744754901.2375,24581.0
1698744754921.6726,24621.0
1698744754942.108,24603.0
1698744754962.5432,24620.0
1698744754982.9785,24655.0
1698744755003.4136,24650.0
1698744755023.8489,24654.0
1698744755044.2842,24656.0
1698744755064.7192,24656.0
1698744755085.1543,24618.0
1698744755105.5898,24618.0
1698744755126.025,24645.0
1698744755146.4602,24599.0
1698744755166.8955,24598.0
1698744755187.3306,24597.0
1698744755207.766,24651.0
1698744755228.2012,24663.0
1698744755248.6365,24695.0
1698744755269.0715,24722.0
1698744755289.5068,24718.0
1698744755309.942,24790.0
