timestamp,accGx,accGy,accGz
1698745575.009,-1147,913,-114
1698745575.075,-1002,1042,-2
1698745575.155,-788,1027,68
1698745575.235,-699,870,54
1698745575.339,-682,744,21
1698745575.395,-676,705,44
1698745575.475,-680,674,96
1698745575.555,-683,647,141
1698745576.09,-606,812,-105
1698745576.115,-626,803,-22
1698745576.195,-700,855,76
1698745576.275,-761,1000,117
1698745576.356,-744,1180,203
1698745576.435,-716,1182,345
1698745576.515,-778,1002,384
1698745576.595,-779,894,342
1698745576.675,-598,905,286
1698745576.755,-283,881,360
1698745576.835,38,773,564
1698745576.915,212,666,673
1698745576.995,318,621,675
1698745577.107,419,620,665
1698745577.155,471,639,602
1698745577.235,496,667,514
1698745577.315,514,692,459
1698745577.395,531,731,423
1698745577.475,538,776,379
1698745577.555,534,779,374
1698745577.635,533,799,383
1698745577.715,529,811,389
1698745577.795,524,811,387
1698745577.875,528,814,385
1698745577.955,530,817,385
1698745578.035,524,815,381
1698745578.115,522,805,372
1698745578.195,523,798,371
1698745578.276,527,794,371
1698745578.355,533,796,368
1698745578.435,543,805,413
1698745578.515,542,804,434
1698745578.595,530,809,390
1698745578.675,529,815,368
1698745578.755,532,813,375
1698745578.835,535,817,382
1698745578.915,533,814,387
1698745578.995,511,775,344
1698745579.075,412,798,355
1698745579.155,374,819,372
1698745579.235,335,843,388
1698745579.314,257,896,375
1698745579.394,167,911,305
1698745579.509,225,976,262
1698745579.557,363,1123,248
1698745579.634,472,1185,224
1698745579.714,535,1141,181
1698745579.794,513,1040,130
1698745579.874,436,921,82
1698745579.957,292,810,35
1698745580.034,94,720,82
1698745580.114,-293,704,135
1698745580.194,-790,711,99
1698745580.274,-1076,720,71
1698745580.356,-1104,690,13
1698745580.434,-1027,639,-53
1698745580.517,-945,630,-57
1698745580.594,-933,776,-67
1698745580.679,-955,801,-102
1698745580.827,-980,766,-138
1698745580.838,-993,660,-150
1698745580.977,-934,526,-131
1698745580.994,-910,460,-106
1698745581.074,-964,405,-58
1698745581.156,-1043,359,-16
1698745581.234,-1062,308,57
1698745581.317,-1025,323,52
1698745581.399,-961,416,-21
1698745581.474,-909,465,-24
1698745581.699,-905,517,-221
1698745581.877,-1024,708,-288
1698745581.955,-1076,586,-238
1698745582.034,-986,479,-170
1698745582.117,-902,427,-99
1698745582.194,-943,330,12
1698745582.274,-1007,292,54
1698745582.356,-1091,344,21
1698745582.434,-1087,399,-53
1698745582.516,-964,365,-106
1698745582.757,-977,671,-285
1698745582.834,-999,690,-309
1698745582.916,-1013,701,-289
1698745582.994,-1008,607,-238
1698745583.074,-889,492,-193
1698745583.155,-834,435,-140
1698745583.234,-839,387,-67
1698745583.316,-945,361,-27
1698745583.394,-1070,336,-22
1698745583.474,-1129,360,-59
1698745583.554,-1062,359,-90
1698745583.634,-930,354,-103
1698745583.714,-892,426,-196
1698745583.794,-995,669,-261
1698745583.874,-1066,716,-319
1698745583.954,-1105,665,-310
1698745584.039,-1056,499,-260
1698745584.157,-933,385,-201
1698745584.194,-913,354,-111
1698745584.274,-973,315,-33
1698745584.354,-1046,295,17
1698745584.434,-1058,309,22
1698745584.514,-1039,408,-54
1698745584.594,-945,461,-93
1698745584.674,-857,415,-156
1698745584.754,-886,502,-304
1698745584.998,-1112,615,-343
1698745585.074,-1132,507,-282
1698745585.154,-997,400,-224
1698745585.234,-896,360,-114
1698745585.313,-891,249,-12
1698745585.393,-1039,231,25
1698745585.473,-1097,374,-32
1698745585.553,-1072,461,-105
1698745585.633,-960,412,-145
1698745585.778,-914,448,-230
1698745585.793,-907,586,-318
1698745586.08,-1195,665,-264
1698745586.113,-1107,527,-208
1698745586.193,-954,438,-185
1698745586.273,-886,373,-94
1698745586.353,-857,333,-33
1698745586.433,-925,288,-26
1698745586.513,-1033,310,-50
1698745586.593,-1093,422,-95
1698745586.673,-1050,433,-125
1698745586.753,-954,383,-219
1698745586.833,-925,481,-292
1698745586.913,-950,630,-401
1698745587.01,-1049,701,-389
1698745587.073,-1069,621,-307
1698745587.19,-986,490,-229
1698745587.233,-883,402,-160
1698745587.313,-894,347,-69
1698745587.393,-978,296,-6
1698745587.473,-1024,251,54
1698745587.553,-1084,293,41
1698745587.633,-1099,380,-26
1698745587.713,-1004,377,-115
1698745587.793,-960,378,-249
1698745587.873,-954,528,-315
1698745587.953,-961,662,-338
1698745588.033,-1004,693,-389
1698745588.113,-1081,655,-385
1698745588.193,-1067,551,-299
1698745588.273,-948,436,-210
1698745588.353,-887,353,-153
1698745588.433,-874,302,-105
1698745588.513,-969,296,-3
1698745588.593,-1095,445,-74
1698745588.673,-1120,499,-166
1698745588.753,-976,410,-227
1698745588.833,-895,467,-284
1698745588.913,-890,647,-323
1698745588.993,-957,719,-368
1698745589.073,-879,687,-389
1698745589.153,-906,681,-356
1698745589.233,-1033,561,-276
1698745589.313,-943,407,-224
1698745589.393,-853,350,-150
1698745589.473,-849,313,-71
1698745589.553,-926,290,-21
1698745589.633,-1000,324,23
1698745589.713,-1091,446,-46
1698745589.793,-1062,452,-135
1698745589.873,-952,379,-172
1698745589.953,-930,444,-222
1698745590.033,-937,615,-288
1698745590.113,-1002,695,-297
1698745590.193,-999,637,-280
1698745590.273,-985,510,-225
1698745590.353,-963,402,-157
1698745590.433,-986,347,-91
1698745590.552,-1014,300,-35
1698745590.608,-1023,263,32
1698745590.673,-1064,298,30
1698745590.753,-1066,412,-58
1698745590.833,-994,462,-120
1698745590.913,-943,454,-219
1698745590.993,-910,525,-334
1698745591.073,-962,664,-388
1698745591.153,-1028,703,-391
1698745591.232,-1116,643,-356
1698745591.312,-1130,516,-307
1698745591.393,-993,393,-226
1698745591.472,-884,346,-126
1698745591.553,-843,301,-45
1698745591.633,-910,278,-18
1698745591.718,-1108,417,-52
1698745591.792,-1112,498,-172
1698745591.873,-973,438,-218
1698745591.952,-877,444,-281
1698745592.032,-843,531,-308
1698745592.113,-912,626,-344
1698745592.192,-1002,669,-335
1698745592.272,-1045,652,-319
1698745592.352,-1079,588,-285
1698745592.498,-1039,467,-201
1698745592.512,-964,388,-140
1698745592.798,-952,287,0
1698745592.832,-1046,253,-44
1698745592.98,-1108,317,-136
1698745592.992,-1021,383,-198
1698745593.078,-883,346,-266
1698745593.158,-827,411,-294
1698745593.232,-855,568,-314
1698745593.313,-1133,622,-348
1698745593.392,-1199,526,-286
1698745593.472,-1184,364,-230
1698745593.552,-1054,187,-156
1698745594.001,-1202,402,5
1698745594.12,-1215,357,-77
1698745594.192,-1050,348,15
1698745594.272,-933,400,50
1698745594.352,-870,425,37
1698745594.432,-817,435,17
1698745594.513,-838,496,5
1698745594.592,-880,588,-52
1698745594.672,-905,602,-135
1698745594.752,-946,548,-191
1698745594.959,-828,364,-223
1698745594.992,-855,385,-206
1698745595.143,-927,398,-173
1698745595.154,-985,441,-161
1698745595.235,-958,461,-190
1698745595.312,-858,437,-196
1698745595.392,-778,454,-191
1698745595.472,-809,495,-196
1698745595.552,-830,556,-229
1698745595.769,-937,703,-308
1698745595.792,-989,671,-333
1698745596.131,-892,344,-211
1698745596.218,-903,298,-152
1698745596.272,-997,274,-103
1698745596.352,-1080,296,-62
1698745596.432,-1080,345,-190
1698745596.514,-913,312,-225
1698745596.592,-884,373,-281
1698745596.675,-872,551,-291
1698745596.752,-940,666,-299
1698745596.832,-971,691,-319
1698745596.914,-975,625,-280
1698745596.992,-972,547,-236
1698745597.074,-940,497,-130
1698745597.271,-1040,376,-19
1698745597.314,-1061,295,3
1698745597.451,-1039,263,30
1698745597.541,-1054,322,-6
1698745597.552,-1045,394,-78
1698745597.689,-957,429,-98
1698745597.713,-914,457,-137
1698745597.791,-882,535,-229
1698745597.874,-965,729,-334
1698745597.951,-1040,708,-356
1698745598.031,-1044,552,-274
1698745598.231,-921,431,-43
1698745598.274,-918,355,-39
1698745598.352,-972,303,-26
1698745598.431,-1014,289,6
1698745598.513,-1063,339,-32
1698745598.591,-1082,393,-89
1698745598.674,-982,321,-113
1698745598.751,-926,322,-151
1698745598.831,-952,526,-197
1698745598.912,-1027,730,-274
1698745598.991,-1050,773,-325
1698745599.074,-1051,683,-322
1698745599.151,-996,536,-277
1698745599.231,-874,473,-196
1698745599.313,-865,448,-108
1698745599.391,-945,356,-55
1698745599.474,-1050,270,-14
1698745599.551,-1121,242,23
1698745599.631,-1032,388,-54
1698745599.712,-858,410,-88
1698745599.791,-859,498,-157
1698745599.874,-967,622,-281
1698745599.951,-1034,703,-362
1698745600.031,-1050,721,-358
1698745600.112,-1111,644,-282
1698745600.191,-1073,484,-226
1698745600.271,-962,455,-185
1698745600.351,-950,462,-79
1698745600.431,-958,378,-7
1698745600.512,-1005,287,51
1698745600.591,-1097,276,54
1698745600.671,-1127,362,-46
1698745600.751,-1031,391,-124
1698745600.831,-939,232,-285
1698745600.911,-908,252,-396
1698745600.991,-944,521,-392
1698745601.071,-1008,639,-417
1698745601.151,-1051,670,-386
1698745601.231,-994,457,-249
1698745601.312,-887,398,-168
1698745601.391,-870,369,-77
1698745601.471,-933,331,-27
1698745601.551,-1019,296,8
1698745601.632,-1090,325,-29
1698745601.712,-1089,346,-112
1698745601.791,-978,306,-151
1698745601.871,-909,338,-183
1698745601.951,-934,475,-236
1698745602.031,-1021,626,-321
1698745602.111,-1040,654,-370
1698745602.191,-1063,601,-371
1698745602.271,-1062,483,-340
1698745602.351,-966,384,-273
1698745602.431,-909,352,-175
1698745602.511,-893,303,-81
1698745602.591,-946,280,-24
1698745602.729,-1001,289,17
1698745602.751,-1066,466,-107
1698745602.831,-918,345,-141
1698745602.911,-873,431,-166
1698745602.999,-912,707,-175
1698745603.071,-996,817,-253
1698745603.155,-1052,764,-327
1698745603.329,-1033,515,-244
1698745603.391,-942,404,-215
1698745603.839,-1068,358,-33
1698745603.959,-901,385,-139
1698745604.03,-912,487,-203
1698745604.111,-951,674,-287
1698745604.19,-985,742,-349
1698745604.27,-1069,726,-359
1698745604.351,-1037,465,-220
1698745604.43,-904,366,-179
1698745604.51,-880,382,-105
1698745604.591,-908,354,-15
1698745604.67,-950,263,50
1698745604.75,-1073,322,-2
1698745604.951,-970,419,-66
1698745604.99,-861,475,-147
1698745605.131,-886,640,-255
1698745605.15,-980,730,-356
1698745605.253,-982,682,-393
1698745605.341,-1042,658,-364
1698745605.39,-1137,566,-322
1698745605.674,-880,330,-71
1698745606.089,-895,466,-207
1698745606.11,-898,655,-326
1698745606.271,-1094,706,-444
1698745606.389,-1206,620,-348
1698745606.43,-1239,507,-264
1698745606.51,-1092,391,-187
1698745606.591,-947,336,-65
1698745606.67,-904,313,4
1698745606.75,-942,265,28
1698745606.83,-1014,277,40
1698745606.91,-1120,426,-48
1698745607.204,-948,470,-283
1698745607.321,-1021,661,-474
1698745607.39,-1089,631,-418
1698745607.47,-1117,571,-335
1698745607.55,-988,372,-162
1698745607.63,-927,327,-65
1698745608.402,-990,556,-434
1698745608.43,-1043,563,-379
1698745608.582,-1084,549,-311
1698745608.94,-948,276,-3
1698745608.99,-1007,339,-46
1698745609.392,-708,1234,-394
1698745609.691,-649,885,-344
1698745609.71,-425,580,-440
1698745610.562,425,55,-876
1698745610.711,408,41,-878
1698745610.749,416,40,-883
1698745610.835,420,42,-872
1698745610.909,410,46,-861
1698745610.989,367,36,-834
1698745611.069,267,19,-785
1698745611.149,123,15,-752
1698745611.229,-19,79,-725
1698745611.735,-966,770,-354
1698745611.822,-869,694,-342
1698745611.869,-847,648,-325
1698745611.949,-884,599,-289
1698745612.029,-930,540,-250
1698745612.109,-938,482,-209
1698745612.189,-939,428,-169
1698745612.269,-955,391,-137
1698745612.349,-981,401,-127
1698745612.935,-856,429,-205
1698745613.05,-798,407,-201
1698745613.069,-731,432,-175
1698745613.26,-845,518,-189
1698745613.309,-838,535,-203
1698745613.389,-809,553,-194
1698745613.469,-809,562,-186
1698745613.549,-808,594,-191
1698745613.629,-843,657,-181
1698745614.192,-362,859,450
1698745614.312,-298,818,413
1698745614.349,-311,841,348
1698745614.58,-249,900,388
1698745614.591,-212,906,356
1698745615.09,-295,930,227
1698745615.149,-308,933,230
1698745615.392,-406,1045,76
1698745615.84,280,329,-518
1698745615.869,455,182,-545
1698745616.5,740,67,-678
1698745616.513,724,95,-693
