ms,x,y,z
1698745575006.0,-42,904,344
1698745575011.0,64,871,285
1698745575126.0,90,850,242
1698745575158.0,64,820,199
1698745575336.0,41,806,187
1698745575341.0,21,837,196
1698745575456.0,13,836,202
1698745575478.0,-9,836,197
1698745576087.0,-7,841,195
1698745576093.0,-8,889,265
1698745576146.0,5,909,289
1698745576198.0,15,906,310
1698745576278.0,7,893,338
1698745576358.0,-3,888,371
1698745576438.0,-75,886,389
1698745576520.0,-159,878,376
1698745576598.0,-228,899,329
1698745576678.0,-293,879,298
1698745576758.0,-343,844,255
1698745576838.0,-376,794,237
1698745576920.0,-407,771,236
1698745576998.0,-401,751,225
1698745577110.0,-425,731,232
1698745577158.0,-422,741,235
1698745577238.0,-423,726,251
1698745577321.0,-428,722,247
1698745577397.0,-434,730,249
1698745577477.0,-436,724,248
1698745577558.0,-435,723,251
1698745577637.0,-431,716,237
1698745577720.0,-443,718,248
1698745577798.0,-438,730,243
1698745577877.0,-438,720,242
1698745577957.0,-423,724,240
1698745578038.0,-438,724,252
1698745578120.0,-434,726,242
1698745578197.0,-434,728,239
1698745578279.0,-431,723,241
1698745578357.0,-437,715,246
1698745578437.0,-434,721,254
1698745578520.0,-424,728,250
1698745578597.0,-434,716,249
1698745578677.0,-434,722,251
1698745578757.0,-439,716,255
1698745578837.0,-429,718,244
1698745578920.0,-434,734,242
1698745578997.0,-440,721,246
1698745579077.0,-432,732,241
1698745579157.0,-446,746,242
1698745579237.0,-427,739,237
1698745579320.0,-419,760,232
1698745579506.0,-402,790,233
1698745579512.0,-389,813,249
1698745579566.0,-365,830,234
1698745579637.0,-324,839,219
1698745579720.0,-328,833,215
1698745579797.0,-338,838,226
1698745579877.0,-358,820,235
1698745579960.0,-356,817,234
1698745580037.0,-328,839,238
1698745580120.0,-227,898,253
1698745580197.0,-101,931,273
1698745580318.0,15,913,270
1698745580359.0,72,880,272
1698745580437.0,106,859,253
1698745580520.0,125,815,233
1698745580676.0,157,781,232
1698745580685.0,166,753,232
1698745580835.0,167,767,231
1698745580840.0,134,804,248
1698745580980.0,100,853,276
1698745580997.0,64,864,288
1698745581077.0,51,893,310
1698745581159.0,28,910,330
1698745581237.0,13,919,305
1698745581396.0,34,921,263
1698745581402.0,77,878,244
1698745581696.0,118,862,255
1698745581702.0,182,812,254
1698745581880.0,203,801,264
