timestamp,accRawx,accRawy,accRawz,rotRawx,rotRawy,rotRawz,magnRawx,magnRawy,magnRawz,pressure1,pressure2,pressure3,pressure4,pressure5
1698749175.0,-49,-53,-1038,96,151,-10,-2992,1809,-689,1039,30,1309,2020,1817
1698749175.037,-48,-53,-1039,95,153,-8,-2992,1810,-688,1102,38,1311,2028,1828
1698749175.041,-48,-53,-1039,93,153,-8,-2992,1810,-687,1016,27,1322,2027,1819
1698749175.059,-47,-54,-1039,92,151,-9,-2992,1810,-687,1034,16,1324,2041,1839
1698749175.097,-47,-54,-1040,96,151,-10,-2992,1811,-688,1025,17,1325,2056,1830
1698749175.1,-47,-54,-1040,94,153,-10,-2993,1810,-688,1013,14,1327,2043,1831
1698749175.134,-47,-54,-1040,94,152,-8,-2993,1812,-688,1023,22,1344,2052,1834
1698749175.172,-47,-54,-1040,93,151,-10,-2993,1813,-688,1020,14,1348,2076,1831
1698749175.195,-47,-55,-1040,95,151,-10,-2993,1814,-687,1024,8,1354,2109,1842
1698749175.216,-46,-55,-1040,94,148,-11,-2994,1815,-687,1038,13,1355,2121,1851
1698749175.255,-46,-55,-1040,93,152,-10,-2994,1815,-686,1046,16,1361,2121,1869
1698749175.258,-46,-55,-1039,94,151,-11,-2995,1816,-686,1090,32,1369,2128,1878
1698749175.276,-46,-55,-1040,96,153,-10,-2996,1816,-687,1082,26,1376,2146,1875
1698749175.284,-46,-55,-1040,97,153,-11,-2997,1816,-687,1065,38,1378,2162,1884
1698749175.288,-45,-55,-1040,96,150,-10,-2998,1816,-687,1054,25,1393,2167,1883
1698749175.307,-44,-55,-1041,97,154,-10,-2998,1817,-687,1042,20,1380,2152,1914
1698749175.311,-45,-55,-1041,96,156,-11,-2999,1818,-686,1044,28,1379,2161,1896
1698749175.337,-44,-55,-1040,95,160,-12,-3000,1819,-687,1053,17,1382,2152,1893
1698749175.501,-45,-56,-1040,94,159,-12,-3001,1820,-688,1041,3,1377,2138,1892
1698749175.554,-44,-55,-1040,97,162,-14,-3002,1821,-690,1048,0,1382,2135,1887
1698749175.561,-45,-55,-1040,97,159,-16,-3002,1821,-690,1061,0,1399,2149,1885
1698749175.577,-45,-55,-1040,95,159,-13,-3002,1821,-689,1049,0,1390,2154,1894
1698749175.584,-45,-55,-1039,95,156,-12,-3002,1822,-689,1044,0,1383,2170,1894
1698749175.591,-45,-56,-1039,96,155,-13,-3003,1822,-688,1034,0,1374,2161,1890
1698749175.596,-45,-55,-1040,95,155,-14,-3003,1822,-687,1051,0,1383,2161,1899
1698749175.599,-45,-55,-1040,99,154,-15,-3003,1822,-687,1054,0,1388,2161,1892
1698749175.607,-44,-56,-1040,97,153,-13,-3003,1823,-688,1055,1,1391,2169,1910
1698749175.61,-44,-56,-1040,100,152,-14,-3001,1822,-688,1092,0,1431,2178,1897
1698749175.616,-45,-56,-1041,100,150,-14,-3001,1822,-689,1090,0,1415,2178,1897
